Bosque,Codigo,Tanda,Dia,Tiempo,Polinizador,Order,Pollinator_genus,Pollinator_subgenus,Pollinator_species,subespecie,Pollinator_sex,morphoespecie,Det,Comments,numero visitas 1,Planta 1,numero visitas2,Planta 2,numero visitas,Planta,capturado?,Código,observaciones
Pinar Puebla,PP,1,19.2.2020,,,,,,,,,,,,,,,,,,,,"OJO, cuadrante cambiado PPCS10.1, PPCS6.1 y PPCL1..1 no sirven"
Pinares de Hinojos,PH,1,20.2.2020,,,,,,,,,,,,,,,,,,,,"OJO, cuadrante cambiado PHc1, PHc2 y PHc3 no sirven"
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,,2,RO3,0,0,0,0,no,,
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,,1,RO1,0,0,0,0,no,,
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,,1,RO1,0,0,0,0,no,,
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,,5,RO2,0,0,0,0,no,,
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,,21,RO2,0,0,0,0,no,,
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,,2,RO3,3,RO2,0,0,no,,
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,,20,RO2,0,0,0,0,no,,
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,,8,RO2,0,0,0,0,no,,
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,,7,RO2,0,0,0,0,no,,
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,,2,asphodelus racemosus,0,0,0,0,no,,
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,,3,asphodelus racemosus,0,0,0,0,no,,
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",abeja,Hymenoptera,Anthophora,,dispar,,male,,CMF,,1,asphodelus racemosus,0,0,0,0,si,VSAR1,
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,,3,asphodelus racemosus,0,0,0,0,no,,
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",sirfido oscuro,Diptera,,,,,,sirfido oscuro,,,1,asphodelus racemosus,0,0,0,0,no,,
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,,8,asphodelus racemosus,0,0,0,0,no,,
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,,1,asphodelus racemosus,0,0,0,0,no,,
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",abeja =VSAR1,Hymenoptera,Anthophora,,dispar,,male,,,,1,asphodelus racemosus,0,0,0,0,no,,
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",sirfido oscuro,Diptera,,,,,,sirfido oscuro,,,1,asphodelus racemosus,0,0,0,0,no,,
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",mosca,Diptera,Empis,,sp,,,,CMF,,2,asphodelus racemosus,0,0,0,0,si,VSAR2,
