Bosque,Codigo,Tanda,Dia,ID,Especie planta,Numero flores,GPS,x,y
Pinar Aznalcazar,PA,3,28.4.2020,CA1,cistus albidus,12,"PACA1,2,3",10,10
Pinar Aznalcazar,PA,3,28.4.2020,CA2,cistus albidus,33,"PACA1,2,3",10,10
Pinar Aznalcazar,PA,3,28.4.2020,CA3,cistus albidus,10,"PACA1,2,3",10,10
Pinar Aznalcazar,PA,4,6.5.2020,cc1,Reseda phyteuma,30,,2,4
Pinar Aznalcazar,PA,4,6.5.2020,cc1,Lysimachia arvensis,3,,2,4
Pinar Aznalcazar,PA,4,6.5.2020,cc1,Campanula lusitanica,2,,2,4
Pinar Aznalcazar,PA,4,6.5.2020,cc1,cistus crispus,16,,2,4
Pinar Aznalcazar,PA,6,29.5.2020,cc1,Galactite tomentosa,9,,2,4
Pinar Aznalcazar,PA,6,29.5.2020,cc1,Andryala integrifolia,4,,2,4
Pinar Aznalcazar,PA,6,29.5.2020,cc1,cistus crispus,3,,2,4
Pinar Aznalcazar,PA,5,21.5.2020,cc1,Galactite tomentosa,8,,2,4
Pinar Aznalcazar,PA,5,21.5.2020,cc1,Calendula arvensis,6,,2,4
Pinar Aznalcazar,PA,5,21.5.2020,cc1,Andryala integrifolia,7,,2,4
Pinar Aznalcazar,PA,5,21.5.2020,cc1,cistus crispus,6,,2,4
Pinar Aznalcazar,PA,4,6.5.2020,cc2,Lysimachia arvensis,2,,2,4
Pinar Aznalcazar,PA,4,6.5.2020,cc2,cistus crispus,27,,2,4
Pinar Aznalcazar,PA,6,29.5.2020,cc2,cistus crispus,5,,2,4
Pinar Aznalcazar,PA,5,21.5.2020,cc2,cistus crispus,11,,2,4
Pinar Aznalcazar,PA,4,6.5.2020,cc3,Leontodon,4,,2,4
Pinar Aznalcazar,PA,4,6.5.2020,cc3,Lysimachia arvensis,3,,2,4
Pinar Aznalcazar,PA,4,6.5.2020,cc3,cistus crispus,30,,2,4
Pinar Aznalcazar,PA,6,29.5.2020,cc3,cistus crispus,14,,2,4
Pinar Aznalcazar,PA,5,21.5.2020,cc3,cistus crispus,12,,2,4
Pinar Aznalcazar,PA,2,10.03.2020,CS1,Cistus salvifolius,1,PACS1,2,4
Pinar Aznalcazar,PA,3,28.4.2020,CS1,Reseda phyteuma,60,PACS2,5,12
