Bosque,Codigo,Tanda,Dia,Tiempo,Polinizador,Order,Pollinator_genus,Pollinator_subgenus,Pollinator_species,subespecie,Pollinator_sex,morphoespecie,Det,Comments,numero.visitas.1,Planta.1,numero.visitas2,Planta.2,numero.visitas,Planta,capturado.,Código,observaciones,Pollinator,Pollinator_id,Plant_id,Plant,quad,quad2,year
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,NA,2,RO3,0,0,0,0,no,,,NA,Apis mellifera,VCRO3,Rosmarinus officinalis,"10,4","10,4",2020
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,NA,1,RO1,0,0,0,0,no,,,NA,Apis mellifera,VCRO1,Rosmarinus officinalis,"18,7","18,7",2020
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,NA,1,RO1,0,0,0,0,no,,,NA,Apis mellifera,VCRO1,Rosmarinus officinalis,"18,7","18,7",2020
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,NA,5,RO2,0,0,0,0,no,,,NA,Apis mellifera,VCRO2,Rosmarinus officinalis,"4,2","4,2",2020
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,NA,21,RO2,0,0,0,0,no,,,NA,Apis mellifera,VCRO2,Rosmarinus officinalis,"4,2","4,2",2020
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,NA,2,RO3,3,RO2,0,0,no,,,NA,Apis mellifera,VCRO3,Rosmarinus officinalis,"10,4","10,4",2020
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,NA,20,RO2,0,0,0,0,no,,,NA,Apis mellifera,VCRO2,Rosmarinus officinalis,"4,2","4,2",2020
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,NA,8,RO2,0,0,0,0,no,,,NA,Apis mellifera,VCRO2,Rosmarinus officinalis,"4,2","4,2",2020
Villamanrique Chaparral,VC,1,21.2.2020,nuboso,apis mellifera,,,,,,,,,NA,7,RO2,0,0,0,0,no,,,NA,Apis mellifera,VCRO2,Rosmarinus officinalis,"4,2","4,2",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,2,asphodelus racemosus,0,0,0,0,no,,,NA,Apis mellifera,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,3,asphodelus racemosus,0,0,0,0,no,,,NA,Apis mellifera,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",abeja,Hymenoptera,Anthophora,,dispar,,male,,CMF,NA,1,asphodelus racemosus,0,0,0,0,si,VSAR1,,Anthophora dispar,Anthophora dispar,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,3,asphodelus racemosus,0,0,0,0,no,,,NA,Apis mellifera,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",sirfido oscuro,Diptera,,,,,,sirfido oscuro,,NA,1,asphodelus racemosus,0,0,0,0,no,,,NA,Syrphidae 3,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,8,asphodelus racemosus,0,0,0,0,no,,,NA,Apis mellifera,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,1,asphodelus racemosus,0,0,0,0,no,,,NA,Apis mellifera,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",abeja =VSAR1,Hymenoptera,Anthophora,,dispar,,male,,,NA,1,asphodelus racemosus,0,0,0,0,no,,,Anthophora dispar,Anthophora dispar,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",sirfido oscuro,Diptera,,,,,,sirfido oscuro,,NA,1,asphodelus racemosus,0,0,0,0,no,,,NA,Syrphidae 3,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",mosca,Diptera,Empis,,sp,,,,CMF,NA,2,asphodelus racemosus,0,0,0,0,si,VSAR2,,Empis sp,Empis sp,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",sirfido oscuro,Diptera,,,,,,sirfido oscuro,,NA,2,asphodelus racemosus,0,0,0,0,no,,,NA,Syrphidae 3,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,1,asphodelus racemosus,0,0,0,0,no,,,NA,Apis mellifera,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",mosca=VSAR2,Diptera,,,,,,,,NA,1,asphodelus racemosus,0,0,0,0,no,,,NA,Empis sp,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,2,asphodelus racemosus,0,0,0,0,no,,,NA,Apis mellifera,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,3,asphodelus racemosus,0,0,0,0,no,,,NA,Apis mellifera,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",escarabajo peludo marron,Coleoptera,,,,,,,,NA,1,asphodelus racemosus,0,0,0,0,no,,,NA,Tropinota squalida,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Villamanrique Sur,VS,1,25.2.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,3,asphodelus racemosus,0,0,0,0,no,,,NA,Apis mellifera,VSasphodelus racemosus,Asphodelus racemosus,NA,"14,21",2020
Pinar Aznalcazar,PA,1,26.2.2020,nublado,apis mellifera,,,,,,,,,NA,3,RO1,0,0,0,0,no,,,NA,Apis mellifera,PARO1,Rosmarinus officinalis,"4,23","4,23",2020
Pinar Aznalcazar,PA,1,26.2.2020,nublado,apis mellifera,,,,,,,,,NA,2,RO1,0,0,0,0,no,,,NA,Apis mellifera,PARO1,Rosmarinus officinalis,"4,23","4,23",2020
Pinar Aznalcazar,PA,1,26.2.2020,nublado,mosca,Diptera,Empis,,sp,,,,CMF,NA,3,RO1,0,0,0,0,si,PACRO1,,Empis sp,Empis sp,PARO1,Rosmarinus officinalis,"4,23","4,23",2020
Pinar Aznalcazar,PA,1,26.2.2020,nublado,apis mellifera,,,,,,,,,NA,9,RO1,0,0,0,0,no,,,NA,Apis mellifera,PARO1,Rosmarinus officinalis,"4,23","4,23",2020
Pinar Aznalcazar,PA,1,26.2.2020,nublado,apis mellifera,,,,,,,,,NA,11,RO2,0,0,0,0,no,,,NA,Apis mellifera,PARO2,Rosmarinus officinalis,"7,9","7,9",2020
Pinar Aznalcazar,PA,1,26.2.2020,nublado,mosca=PACRO1,Diptera,Empis,,sp,,,,,NA,3,RO3,0,0,0,0,no,,,Empis sp,Empis sp,PARO3,Rosmarinus officinalis,"7,9","7,9",2020
Pinar Aznalcazar,PA,1,26.2.2020,nublado,apis mellifera,,,,,,,,,NA,6,RO1,0,0,0,0,no,,,NA,Apis mellifera,PARO1,Rosmarinus officinalis,"4,23","4,23",2020
Pinar Aznalcazar,PA,1,26.2.2020,nublado,mosca=PACRO1,Diptera,Empis,,sp,,,,,NA,2,RO1,0,0,0,0,no,,,Empis sp,Empis sp,PARO1,Rosmarinus officinalis,"4,23","4,23",2020
Villamanrique Chaparral,VC,2,3.3.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,3,RO3,0,,0,0,no,,,NA,Apis mellifera,VCRO3,Rosmarinus officinalis,"10,4","10,4",2020
Villamanrique Chaparral,VC,2,3.3.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,10,RO3,2,RO7,0,0,no,,,NA,Apis mellifera,VCRO3,Rosmarinus officinalis,"10,4","10,4",2020
Villamanrique Chaparral,VC,2,3.3.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,12,RO3,0,0,0,0,no,,,NA,Apis mellifera,VCRO3,Rosmarinus officinalis,"10,4","10,4",2020
Villamanrique Chaparral,VC,2,3.3.2020,"despejado, fresco",mariposa arlequin,,,,,,,,,NA,1,RO3,0,0,0,0,no,,,NA,Zerynthia rumina,VCRO3,Rosmarinus officinalis,"10,4","10,4",2020
Villamanrique Chaparral,VC,2,3.3.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,10,RO4,0,0,0,0,no,,,NA,Apis mellifera,VCRO4,Rosmarinus officinalis,"24,7","24,7",2020
Villamanrique Chaparral,VC,2,3.3.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,6,RO1,0,0,0,0,no,,,NA,Apis mellifera,VCRO1,Rosmarinus officinalis,"18,7","18,7",2020
Villamanrique Chaparral,VC,2,3.3.2020,"despejado, fresco",eucera,,,,,,,,,NA,1,RO5,0,0,0,0,no,,,NA,Eucera sp,VCRO5,Rosmarinus officinalis,"6,2","6,2",2020
Villamanrique Chaparral,VC,2,3.3.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,5,RO2,0,0,0,0,no,,,NA,Apis mellifera,VCRO2,Rosmarinus officinalis,"4,2","4,2",2020
Villamanrique Chaparral,VC,2,3.3.2020,"despejado, fresco",apis mellifera,,,,,,,,,NA,10,RO3,0,0,0,0,no,,,NA,Apis mellifera,VCRO3,Rosmarinus officinalis,"10,4","10,4",2020
