Fecha,Hora,Bosque,Ronda,Codigo-vuelo-dia,Codigo-Vuelos,Orden_vuelo,Planta_vistada,coord_flores(x),coord_flores(y),nº visitas,coord_planta(x),coord_planta(y),planta(dentro cuadro),,,Codigo_captura,idem capturados,Order,Pollinator_genus,Pollinator_subgenus,Pollinator_species,subespecie,Pollinator_sex,morphoespecie,Det,Comments,tiempo,T (ºC),HR %,observaciones,,,,,,,,,,,,,,,,,,,,
09.03.2021,11:00,Pinar Aznalcazar,1,AV1-01,AV1-01.01,1,Lavandula stoechas,2,10,8,2,10,,,,,,Hymenoptera,Apis,,mellifera,,,,,,soleado,9,60,"pocas flores, nada de actividad. También ha habido una sólo visita de un Lasioglossum y una Eristalis a una flor de Cistus salviifolius ",,,,,,,,,,,,,,,,,,,,
02.03.2021,11:00,Pinar Hinojos,1,HV1-01,HV1-01.01,1,Halimium calycinum,8,4,4,8,4,,,,,,Hymenoptera,Anthophora,,retusa,,male,,,,sol y nubes,16,30,,,,,,,,,,,,,,,,,,,,,
02.03.2021,11:00,Pinar Hinojos,1,HV1-01,HV1-01.02,2,Halimium calycinum,8,1,5,8,1,,,,,,Hymenoptera,Anthophora,,retusa,,male,,,,sol y nubes,16,30,,,,,,,,,,,,,,,,,,,,,
02.03.2021,11:00,Pinar Hinojos,1,HV1-01,HV1-01.03,3,Halimium calycinum,4,4,10,4,4,,,,,,Hymenoptera,Anthophora,,retusa,,male,,,,sol y nubes,16,30,,,,,,,,,,,,,,,,,,,,,
02.03.2021,12:00,Pinar Hinojos,1,HV1-02,HV1-02.01,1,Ulex australis,6,4,11,6,4,,,,,,Hymenoptera,Bombus,,terrestris,,,,,obrera,sol y nubes,16,30,,,,,,,,,,,,,,,,,,,,,
02.03.2021,13:00,Pinar Hinojos,1,HV1-03,HV1-03.01,1,Ulex australis,7,3,8,7,3,,,,,,Hymenoptera,Apis,,mellifera,,,,,,sol y nubes,27,44,,,,,,,,,,,,,,,,,,,,,
02.03.2021,13:00,Pinar Hinojos,1,HV1-03,HV1-03.02,2,Ulex australis,7,4,4,7,4,,,,,,Hymenoptera,Apis,,mellifera,,,,,,sol y nubes,27,44,,,,,,,,,,,,,,,,,,,,,
02.03.2021,13:30,Pinar Hinojos,1,HV1-04,HV1-04.01,1,Halimium calycinum,8,1,3,8,1,,,,,,Hymenoptera,Anthophora,,retusa,,male,,,,sol y nubes,27,44,,,,,,,,,,,,,,,,,,,,,
02.03.2021,13:30,Pinar Hinojos,1,HV1-04,HV1-04.02,2,Ulex australis,7,3,4,7,3,,,,,,Hymenoptera,Anthophora,,retusa,,male,,,,sol y nubes,27,44,,,,,,,,,,,,,,,,,,,,,
02.03.2021,13:30,Pinar Hinojos,1,HV1-04,HV1-04.03,3,Halimium calycinum,8,4,3,8,4,,,,,,Hymenoptera,Anthophora,,retusa,,male,,,,sol y nubes,27,44,,,,,,,,,,,,,,,,,,,,,
02.03.2021,14:00,Pinar Hinojos,1,HV1-05,HV1-05.01,1,Ulex australis,9,5,17,9,5,,,,,,Hymenoptera,Bombus,,terrestris,,,,,obrera,sol y nubes,27,44,,,,,,,,,,,,,,,,,,,,,
02.03.2021,14:00,Pinar Hinojos,1,HV1-05,HV1-05.02,2,Ulex australis,8,4,2,8,4,,,,,,Hymenoptera,Bombus,,terrestris,,,,,obrera,sol y nubes,27,44,,,,,,,,,,,,,,,,,,,,,
02.03.2021,14:00,Pinar Hinojos,1,HV1-05,HV1-05.03,3,Ulex australis,6,4,9,6,4,,,,,,Hymenoptera,Bombus,,terrestris,,,,,obrera,sol y nubes,27,44,,,,,,,,,,,,,,,,,,,,,
02.03.2021,14:30,Pinar Hinojos,1,HV1-06,HV1-06.01,1,Ulex australis,5,1,15,4,1,,,,,,Hymenoptera,Bombus,,terrestris,,,,,obrera,sol y nubes,27,44,,,,,,,,,,,,,,,,,,,,,
02.03.2021,14:30,Pinar Hinojos,1,HV1-06,HV1-06.02,2,Ulex australis,4,1,2,4,1,,,,,,Hymenoptera,Bombus,,terrestris,,,,,obrera,sol y nubes,27,44,,,,,,,,,,,,,,,,,,,,,
02.03.2021,14:30,Pinar Hinojos,1,HV1-06,HV1-06.03,3,Ulex australis,2,2,2,2,2,,,,,,Hymenoptera,Bombus,,terrestris,,,,,obrera,sol y nubes,27,44,,,,,,,,,,,,,,,,,,,,,
11.03.2021,11:20,Pinar Hinojos,2,HV2-01,HV2-01.01,1,Halimium calycinum,2,1,4,2,1,,,,,HC2-01,Diptera,Melanostoma,,sp,,,,,,soleado,15,55,,,,,,,,,,,,,,,,,,,,,
11.03.2021,11:35,Pinar Hinojos,2,HV2-02,HV2-02.01,1,Halimium calycinum,2,1,2,2,1,,,,,HC2-02,Diptera,Episyrphus,,balteatus,,female,,,,soleado,15,55,,,,,,,,,,,,,,,,,,,,,
11.03.2021,11:50,Pinar Hinojos,2,HV2-03,HV2-03.01,1,Ulex australis,3,3,7,3,3,,,,,,Hymenoptera,Anthophora,,sp,,male,,,,soleado,15,55,,,,,,,,,,,,,,,,,,,,,
11.03.2021,12:30,Pinar Hinojos,2,HV2-04,HV2-04.01,1,Halimium calycinum,2,1,2,2,1,,,,,HT2-05,Hymenoptera,Lasioglossum,,morio,,female,,,,soleado,25,47,,,,,,,,,,,,,,,,,,,,,
11.03.2021,12:40,Pinar Hinojos,2,HV2-05,HV2-05.01,1,Halimium calycinum,5,4,2,5,4,,,,,HT2-05,Hymenoptera,Lasioglossum,,morio,,female,,,,soleado,25,47,,,,,,,,,,,,,,,,,,,,,
11.03.2021,12:55,Pinar Hinojos,2,HV2-05,HV2-05.02,2,Halimium calycinum,8,4,6,8,4,,,,,HT2-05,Hymenoptera,Lasioglossum,,morio,,female,,,,soleado,25,47,,,,,,,,,,,,,,,,,,,,,
11.03.2021,13:40,Pinar Hinojos,2,HV2-06,HV2-06.01,1,Halimium calycinum,8,4,2,8,4,,,,,HT2-05,Hymenoptera,Lasioglossum,,morio,,female,,,,soleado,25,47,,,,,,,,,,,,,,,,,,,,,
11.03.2021,14:00,Pinar Hinojos,2,HV2-07,HV2-07.01,1,Halimium calycinum,8,4,3,8,4,,,,,HT2-05,Hymenoptera,Lasioglossum,,morio,,female,,,,soleado,25,47,,,,,,,,,,,,,,,,,,,,,
