"","Fecha","Bosque","Ronda","SP","X","Y","i","flores_disponibles","Escapos_indivi"
"1","09/03/2021","Pinar Aznalcazar",1,"Cistus salviifolius",3,6,NA,1,NA
"2","09/03/2021","Pinar Aznalcazar",1,"Cistus salviifolius",3,9,NA,1,NA
"3","09/03/2021","Pinar Aznalcazar",1,"Cistus salviifolius",4,9,NA,1,NA
"4","09/03/2021","Pinar Aznalcazar",1,"Cistus salviifolius",6,4,NA,2,NA
"5","09/03/2021","Pinar Aznalcazar",1,"Cistus salviifolius",7,2,NA,1,NA
"6","09/03/2021","Pinar Aznalcazar",1,"Cistus salviifolius",9,3,NA,2,NA
"7","09/03/2021","Pinar Aznalcazar",1,"Lavandula stoechas",2,10,NA,100,NA
"8","02/03/2021","Pinar Hinojos",1,"Halimium calycinum",1,1,2,8,NA
"9","02/03/2021","Pinar Hinojos",1,"Halimium calycinum",4,4,NA,2,NA
"10","02/03/2021","Pinar Hinojos",1,"Halimium calycinum",4,5,NA,32,NA
"11","02/03/2021","Pinar Hinojos",1,"Halimium calycinum",5,4,NA,3,NA
"12","02/03/2021","Pinar Hinojos",1,"Halimium calycinum",8,1,NA,9,NA
"13","02/03/2021","Pinar Hinojos",1,"Halimium calycinum",8,4,NA,28,NA
"14","02/03/2021","Pinar Hinojos",1,"Ulex australis",3,3,NA,42,NA
"15","02/03/2021","Pinar Hinojos",1,"Ulex australis",4,1,NA,114,NA
"16","02/03/2021","Pinar Hinojos",1,"Ulex australis",4,4,NA,230,NA
"17","02/03/2021","Pinar Hinojos",1,"Ulex australis",6,4,NA,98,NA
"18","02/03/2021","Pinar Hinojos",1,"Ulex australis",7,3,NA,78,NA
"19","02/03/2021","Pinar Hinojos",1,"Ulex australis",7,4,NA,21,NA
"20","02/03/2021","Pinar Hinojos",1,"Ulex australis",8,4,NA,253,NA
"21","02/03/2021","Pinar Hinojos",1,"Ulex australis",8,5,NA,62,NA
"22","02/03/2021","Pinar Hinojos",1,"Ulex australis",8,7,NA,39,NA
"23","02/03/2021","Pinar Hinojos",1,"Ulex australis",8,9,NA,87,NA
"24","02/03/2021","Pinar Hinojos",1,"Ulex australis",8,10,NA,96,NA
