"","Bosque","Codigo","Tanda","Dia","ID","Especie.planta","Numero.flores","GPS","x","y"
"1","Pinar Aznalcazar","PA",3,"28.4.2020","CA1","Cistus albidus",12,"PACA1,2,3",10,10
"2","Pinar Aznalcazar","PA",3,"28.4.2020","CA2","Cistus albidus",33,"PACA1,2,3",10,10
"3","Pinar Aznalcazar","PA",3,"28.4.2020","CA3","Cistus albidus",10,"PACA1,2,3",10,10
"4","Pinar Aznalcazar","PA",4,"6.5.2020","cc1","Reseda phyteuma",30,"",2,4
"5","Pinar Aznalcazar","PA",4,"6.5.2020","cc1","Lysimachia arvensis",3,"",2,4
"6","Pinar Aznalcazar","PA",4,"6.5.2020","cc1","Campanula lusitanica",2,"",2,4
"7","Pinar Aznalcazar","PA",4,"6.5.2020","cc1","Cistus crispus",16,"",2,4
"8","Pinar Aznalcazar","PA",6,"29.5.2020","cc1","Galactites tomentosa",9,"",2,4
"9","Pinar Aznalcazar","PA",6,"29.5.2020","cc1","Andryala integrifolia",4,"",2,4
"10","Pinar Aznalcazar","PA",6,"29.5.2020","cc1","Cistus crispus",3,"",2,4
"11","Pinar Aznalcazar","PA",5,"21.5.2020","cc1","Galactites tomentosa",8,"",2,4
"12","Pinar Aznalcazar","PA",5,"21.5.2020","cc1","Calendula arvensis",6,"",2,4
"13","Pinar Aznalcazar","PA",5,"21.5.2020","cc1","Andryala integrifolia",7,"",2,4
"14","Pinar Aznalcazar","PA",5,"21.5.2020","cc1","Cistus crispus",6,"",2,4
"15","Pinar Aznalcazar","PA",4,"6.5.2020","cc2","Lysimachia arvensis",2,"",2,4
"16","Pinar Aznalcazar","PA",4,"6.5.2020","cc2","Cistus crispus",27,"",2,4
"17","Pinar Aznalcazar","PA",6,"29.5.2020","cc2","Cistus crispus",5,"",2,4
"18","Pinar Aznalcazar","PA",5,"21.5.2020","cc2","Cistus crispus",11,"",2,4
"19","Pinar Aznalcazar","PA",4,"6.5.2020","cc3","Leontodon hispidus",4,"",2,4
"20","Pinar Aznalcazar","PA",4,"6.5.2020","cc3","Lysimachia arvensis",3,"",2,4
"21","Pinar Aznalcazar","PA",4,"6.5.2020","cc3","Cistus crispus",30,"",2,4
"22","Pinar Aznalcazar","PA",6,"29.5.2020","cc3","Cistus crispus",14,"",2,4
"23","Pinar Aznalcazar","PA",5,"21.5.2020","cc3","Cistus crispus",12,"",2,4
"24","Pinar Aznalcazar","PA",2,"10.03.2020","CS1","Cistus salviifolius",1,"PACS1",2,4
"25","Pinar Aznalcazar","PA",3,"28.4.2020","CS1","Reseda phyteuma",60,"PACS2",5,12
"26","Pinar Aznalcazar","PA",3,"28.4.2020","CS1","Leontodon hispidus",6,"PACS2",5,12
"27","Pinar Aznalcazar","PA",3,"28.4.2020","CS1","Lysimachia arvensis",4,"PACS2",5,12
"28","Pinar Aznalcazar","PA",3,"28.4.2020","CS1","Cistus salviifolius",2,"PACS2",5,12
"29","Pinar Aznalcazar","PA",3,"28.4.2020","CS10","Cistus salviifolius",14,"PACS11",10,10
"30","Pinar Aznalcazar","PA",3,"28.4.2020","CS11","Cistus salviifolius",8,"PACS12",10,10
"31","Pinar Aznalcazar","PA",3,"28.4.2020","CS12","Cistus salviifolius",9,"PACS13",10,10
"32","Pinar Aznalcazar","PA",4,"6.5.2020","cs12","Echium plantagineum",4,"",10,10
"33","Pinar Aznalcazar","PA",4,"6.5.2020","cs12","Cistus salviifolius",1,"",10,10
"34","Pinar Aznalcazar","PA",3,"28.4.2020","CS2","Galactites tomentosa",8,"PACS3",10,10
"35","Pinar Aznalcazar","PA",3,"28.4.2020","CS2","Cistus salviifolius",1,"PACS3",10,10
"36","Pinar Aznalcazar","PA",3,"28.4.2020","CS3","Leontodon hispidus",1,"PACS4",10,10
"37","Pinar Aznalcazar","PA",3,"28.4.2020","CS3","Reseda phyteuma",1,"PACS4",10,10
"38","Pinar Aznalcazar","PA",3,"28.4.2020","CS3","Cistus salviifolius",2,"PACS4",10,10
"39","Pinar Aznalcazar","PA",3,"28.4.2020","CS4","Lysimachia arvensis",13,"PACS5",10,10
"40","Pinar Aznalcazar","PA",3,"28.4.2020","CS4","Cistus salviifolius",6,"PACS5",10,10
"41","Pinar Aznalcazar","PA",3,"28.4.2020","CS5","Leontodon hispidus",2,"PACS6",10,10
"42","Pinar Aznalcazar","PA",3,"28.4.2020","CS5","Cistus salviifolius",3,"PACS6",10,10
"43","Pinar Aznalcazar","PA",3,"28.4.2020","CS6","Cistus salviifolius",3,"PACS7",10,10
