"","Bosque","Codigo","Dia","ID","Especie.planta","Frutos","id","quad","quad2","periodo","periodo2","flores","flores2","fruit_set"
"1","Villamanrique sur","VS","2.06.2020","cc1","Cistus crispus",400,"VSCC1","20,16","20,16",3,"3",20,20,20
"2","Villamanrique sur","VS","2.06.2020","cs1","Cistus salviifolius",110,"VSCS1","13,17","13,17",2,"2",2,2,55
"3","Villamanrique sur","VS","2.06.2020","cs2","Cistus salviifolius",8,"VSCS2","13,17","13,17",2,"2",1,1,8
"4","Villamanrique sur","VS","2.06.2020","cs4","Cistus salviifolius",200,"VSCS4","9,18","9,18",2,"2",4,4,50
"5","Villamanrique sur","VS","2.06.2020","cs7","Cistus salviifolius",50,"VSCS7",NA,"9,14",NA,"4",NA,3,16.6666666666667
"6","Villamanrique sur","VS","2.06.2020","cs8","Cistus salviifolius",40,"VSCS8",NA,"11,15",NA,"3",NA,4,10
"7","Villamanrique sur","VS","2.06.2020","cs9","Cistus salviifolius",130,"VSCS9",NA,"11,15",NA,"3",NA,11,11.8181818181818
"8","Villamanrique sur","VS","2.06.2020","cs12","Cistus salviifolius",130,"VSCS12",NA,"4,24",NA,"3",NA,3,43.3333333333333
"9","Villamanrique sur","VS","2.06.2020","cs13","Cistus salviifolius",50,"VSCS13","2,4","2,4",4,"4",7,7,7.14285714285714
"10","Villamanrique sur","VS","2.06.2020","cs14","Cistus salviifolius",240,"VSCS14","10,21","10,21",4,"4",5,5,48
"11","Villamanrique sur","VS","2.06.2020","hh1","Halimium halimifolium",70,"VSHH1","18,14","18,14",3,"3",3,3,23.3333333333333
"12","Villamanrique sur","VS","2.06.2020","hh2","Halimium halimifolium",140,"VSHH2","18,14","18,14",3,"3",2,2,70
"13","Villamanrique sur","VS","2.06.2020","hh3","Halimium halimifolium",400,"VSHH3","9,12","9,12",3,"3",6,6,66.6666666666667
"14","Villamanrique sur","VS","2.06.2020","hh4","Halimium halimifolium",280,"VSHH4","10,10","10,10",3,"3",6,6,46.6666666666667
"15","Villamanrique sur","VS","2.06.2020","hh5","Halimium halimifolium",70,"VSHH5","10,10","10,10",3,"3",30,30,2.33333333333333
"16","Villamanrique sur","VS","2.06.2020","hh6","Halimium halimifolium",300,"VSHH6","9,4","9,4",3,"3",40,40,7.5
"17","Villamanrique sur","VS","2.06.2020","hh7","Halimium halimifolium",120,"VSHH7","9,4","9,4",3,"3",20,20,6
"18","Villamanrique sur","VS","2.06.2020","hh8","Halimium halimifolium",330,"VSHH8","9,4","9,4",3,"3",30,30,11
"19","Villamanrique sur","VS","2.06.2020","hh9","Halimium halimifolium",80,"VSHH9","9,4","9,4",3,"3",60,60,1.33333333333333
"20","Villamanrique sur","VS","2.06.2020","hh10","Halimium halimifolium",70,"VSHH10","5,4","5,4",3,"3",15,15,4.66666666666667
