Bosque,Codigo,Dia,ID,Especie planta,Frutos
Villamanrique sur,VS,2.06.2020,cc1,cistus crispus,400
Villamanrique sur,VS,2.06.2020,cs1, cistus salvifolius,110
Villamanrique sur,VS,2.06.2020,cs2,cistus salvifolius,8
Villamanrique sur,VS,2.06.2020,cs4, cistus salvifolius,200
Villamanrique sur,VS,2.06.2020,cs7,cistus salvifolius,50
Villamanrique sur,VS,2.06.2020,cs8, cistus salvifolius,40
Villamanrique sur,VS,2.06.2020,cs9,cistus salvifolius,130
Villamanrique sur,VS,2.06.2020,cs12,cistus salvifolius,130
Villamanrique sur,VS,2.06.2020,cs13,cistus salvifolius,50
Villamanrique sur,VS,2.06.2020,cs14, cistus salvifolius,240
Villamanrique sur,VS,2.06.2020,hh1,halimium halimifolium,70
Villamanrique sur,VS,2.06.2020,hh2,halimium halimifolium,140
Villamanrique sur,VS,2.06.2020,hh3,halimium halimifolium,400
Villamanrique sur,VS,2.06.2020,hh4,halimium halimifolium,280
Villamanrique sur,VS,2.06.2020,hh5,halimium halimifolium,70
Villamanrique sur,VS,2.06.2020,hh6,halimium halimifolium,300
Villamanrique sur,VS,2.06.2020,hh7,halimium halimifolium,120
Villamanrique sur,VS,2.06.2020,hh8,halimium halimifolium,330
Villamanrique sur,VS,2.06.2020,hh9,halimium halimifolium,80
Villamanrique sur,VS,2.06.2020,hh10,halimium halimifolium,70
Villamanrique sur,VS,2.06.2020,hh11,halimium halimifolium,140
Villamanrique sur,VS,2.06.2020,hh12,halimium halimifolium,100
Villamanrique sur,VS,2.06.2020,hh14,halimium halimifolium,380
Villamanrique sur,VS,2.06.2020,hh15,halimium halimifolium,120
Villamanrique sur,VS,2.06.2020,hh16,halimium halimifolium,240
Villamanrique sur,VS,2.06.2021,hh17,halimium halimifolium,80
Villamanrique sur,VS,2.06.2022,hh18,halimium halimifolium,280
Villamanrique sur,VS,2.06.2023,hh19,halimium halimifolium,400
Villamanrique sur,VS,2.06.2020,hh20,halimium halimifolium,140
Villamanrique sur,VS,2.06.2020,hh21,halimium halimifolium,160
Villamanrique sur,VS,2.06.2020,hh22,halimium halimifolium,30
Villamanrique sur,VS,2.06.2020,hh23,halimium halimifolium,40
Villamanrique sur,VS,2.06.2020,hh24,halimium halimifolium,60
Villamanrique sur,VS,2.06.2020,hh25,halimium halimifolium,80
Pinar Aznalcazar,PA,2.06.2020,ls12,lavandula stoechas,22
Pinar Aznalcazar,PA,2.06.2020,cs1,cistus salvifolius,20
Pinar Aznalcazar,PA,2.06.2020,cs9,cistus salvifolius,30
Pinar Aznalcazar,PA,2.06.2020,cs10,cistus salvifolius,100
Pinar Aznalcazar,PA,2.06.2020,cs11,cistus salvifolius,20
Pinar Aznalcazar,PA,2.06.2020,ls1,lavandula stoechas,30
Pinar Aznalcazar,PA,2.06.2020,ls12,lavandula stoechas,22
Pinar Aznalcazar,PA,2.06.2020,cs4,cistus salvifolius,60
Pinar Aznalcazar,PA,2.06.2020,cs11,cistus salvifolius,40
Pinar Aznalcazar,PA,2.06.2020,cc1,cistus crispus,50
Pinar Aznalcazar,PA,2.06.2020,cc2,cistus crispus,60
Pinar Aznalcazar,PA,2.06.2020,cc3,cistus crispus,40
Pinar Puebla,PP,2.06.2020,cc1,cistus crispus,140
Pinar Puebla,PP,2.06.2020,cl1,cistus ladanifer,50
Pinar Puebla,PP,2.06.2020,cl2,cistus ladanifer,60
Pinar Puebla,PP,2.06.2020,cl3,cistus ladanifer,60
Pinar Puebla,PP,2.06.2020,cl4,cistus ladanifer,15
Pinar Puebla,PP,2.06.2020,cl6,cistus ladanifer,31
Pinar Puebla,PP,2.06.2020,cl7,cistus ladanifer,32
Pinar Puebla,PP,2.06.2020,cs1,cistus salvifolius,24
Pinar Puebla,PP,2.06.2020,cs2,cistus salvifolius,22
Pinar Puebla,PP,2.06.2020,cs3,cistus salvifolius,6
Pinar Puebla,PP,2.06.2020,cs4,cistus salvifolius,23
Pinar Puebla,PP,2.06.2020,cs5,cistus salvifolius,50
Pinar Puebla,PP,2.06.2020,cs6,cistus salvifolius,14
Pinar Puebla,PP,2.06.2020,cs7,cistus salvifolius,40
Pinar Puebla,PP,2.06.2020,cs9,cistus salvifolius,50
Pinar Puebla,PP,2.06.2020,cs11,cistus salvifolius,100
Pinar Puebla,PP,2.06.2020,cs12,cistus salvifolius,70
Pinar Puebla,PP,2.06.2020,cs13,cistus salvifolius,115
Pinar Puebla,PP,2.06.2020,cs14,cistus salvifolius,40
Pinar Puebla,PP,2.06.2020,cs15,cistus salvifolius,130
Pinar Puebla,PP,2.06.2020,cs16,cistus salvifolius,50
Pinar Puebla,PP,2.06.2020,cs17,cistus salvifolius,40
Pinar Puebla,PP,2.06.2020,cs19,cistus salvifolius,160
Pinar Puebla,PP,2.06.2020,cs20,cistus salvifolius,60
Pinar Puebla,PP,2.06.2020,cs21,cistus salvifolius,90
Pinar Puebla,PP,2.06.2020,cs22,cistus salvifolius,50
Pinar Puebla,PP,2.06.2020,cs23,cistus salvifolius,90
Pinar Puebla,PP,2.06.2020,cs24,cistus salvifolius,67
Pinar Puebla,PP,2.06.2020,cs25,cistus salvifolius,60
Pinar Puebla,PP,2.06.2020,cs26,cistus salvifolius,160
Pinar Puebla,PP,2.06.2020,cs27,cistus salvifolius,130
Pinar Puebla,PP,2.06.2020,cs29,cistus salvifolius,100
Pinar Puebla,PP,2.06.2020,cs31,cistus salvifolius,70
Pinar Puebla,PP,2.06.2020,cs32,cistus salvifolius,50
Pinar Puebla,PP,2.06.2020,cs33,cistus salvifolius,40
Pinar Puebla,PP,2.06.2020,cs34,cistus salvifolius,25
Pinar Puebla,PP,2.06.2020,cs35,cistus salvifolius,70
Pinar Puebla,PP,2.06.2020,cs36,cistus salvifolius,70
Pinar Puebla,PP,2.06.2020,cs37,cistus salvifolius,45
Pinar Puebla,PP,2.06.2020,cs38,cistus salvifolius,34
Pinar Puebla,PP,2.06.2020,cs40,cistus salvifolius,47
Pinar Puebla,PP,2.06.2020,cs41,cistus salvifolius,40
Pinar Puebla,PP,2.06.2020,cs42,cistus salvifolius,50
Pinar Puebla,PP,2.06.2020,cs43,cistus salvifolius,33
Pinar Puebla,PP,2.06.2020,cs44,cistus salvifolius,40
Pinar Puebla,PP,2.06.2020,cs45,cistus salvifolius,30
Pinar Puebla,PP,2.06.2020,cs46,cistus salvifolius,40
Pinar Puebla,PP,2.06.2020,cs47,cistus salvifolius,80
Pinar Hinojos,PH,1.06.2020,hc12,halimium comutatum,60
Pinar Hinojos,PH,1.06.2020,hc14,halimium comutatum,30
Pinar Hinojos,PH,1.06.2020,hc15,halimium comutatum,50
Pinar Hinojos,PH,1.06.2020,hc6,halimium comutatum,20
Pinar Hinojos,PH,1.06.2020,hc5,halimium comutatum,12
Pinar Hinojos,PH,1.06.2020,CLi1,cistus libanotis,40
Pinar Hinojos,PH,1.06.2020,hc9,halimium comutatum,5
Pinar Hinojos,PH,1.06.2020,CLi3,cistus libanotis,2
Pinar Hinojos,PH,1.06.2020,hc10,halimium comutatum,0
Pinar Hinojos,PH,1.06.2020,hc2,halimium comutatum,3
Pinar Hinojos,PH,1.06.2020,hc3,halimium comutatum,4
Pinar Hinojos,PH,1.06.2020,hc13,halimium comutatum,9
Pinar Hinojos,PH,1.06.2020,hc4,halimium comutatum,3
Villamanrique chaparral,VC,1.06.2020,cc1,cistus crispus,160
Villamanrique chaparral,VC,1.06.2020,cc2,cistus crispus,230
Villamanrique chaparral,VC,1.06.2020,cc3,cistus crispus,50
Villamanrique chaparral,VC,1.06.2020,cc4,cistus crispus,30
Villamanrique chaparral,VC,1.06.2020,cc6,cistus crispus,180
Villamanrique chaparral,VC,1.06.2020,cc7,cistus crispus,300
Villamanrique chaparral,VC,1.06.2020,cc8,cistus crispus,140
Villamanrique chaparral,VC,1.06.2020,cc9,cistus crispus,80
Villamanrique chaparral,VC,1.06.2020,cc10,cistus crispus,40
Villamanrique chaparral,VC,1.06.2020,cc12,cistus crispus,70
Villamanrique chaparral,VC,1.06.2020,cc14,cistus crispus,130
Villamanrique chaparral,VC,1.06.2020,cc15,cistus crispus,70
Villamanrique chaparral,VC,1.06.2020,cc16,cistus crispus,60
Villamanrique chaparral,VC,1.06.2020,cc17,cistus crispus,50
Villamanrique chaparral,VC,1.06.2020,cc18,cistus crispus,80
Villamanrique chaparral,VC,1.06.2020,cc19,cistus crispus,90
Villamanrique chaparral,VC,1.06.2020,cc20,cistus crispus,160
Villamanrique chaparral,VC,1.06.2020,cc21,cistus crispus,70
Villamanrique chaparral,VC,1.06.2020,cc22,cistus crispus,180
Villamanrique chaparral,VC,1.06.2020,cc23,cistus crispus,230
Villamanrique chaparral,VC,1.06.2020,cc24,cistus crispus,70
Villamanrique chaparral,VC,1.06.2020,cs1,cistus salvifolius,30
Villamanrique chaparral,VC,1.06.2020,cs2,cistus salvifolius,20
Villamanrique chaparral,VC,1.06.2020,cs3,cistus salvifolius,20
Villamanrique chaparral,VC,1.06.2020,cs4,cistus salvifolius,70
Villamanrique chaparral,VC,1.06.2020,cs7,cistus salvifolius,260
Villamanrique chaparral,VC,1.06.2020,cs8,cistus salvifolius,130
Villamanrique chaparral,VC,1.06.2020,cs9,cistus salvifolius,110
Villamanrique chaparral,VC,1.06.2020,cs10,cistus salvifolius,50
Villamanrique chaparral,VC,1.06.2020,cs11,cistus salvifolius,50
Villamanrique chaparral,VC,1.06.2020,cs12,cistus salvifolius,40
Villamanrique chaparral,VC,1.06.2020,cs13,cistus salvifolius,30
Villamanrique chaparral,VC,1.06.2020,cs15,cistus salvifolius,50
Villamanrique chaparral,VC,1.06.2020,cs16,cistus salvifolius,120
Villamanrique chaparral,VC,1.06.2020,cs17,cistus salvifolius,20
Villamanrique chaparral,VC,1.06.2020,cs18,cistus salvifolius,60
Villamanrique chaparral,VC,1.06.2020,cs19,cistus salvifolius,20
Villamanrique chaparral,VC,1.06.2020,cs20,cistus salvifolius,30
