"Fecha","Bosque","xy","Planta","flores","xy2","x","y","periodo"
"04/07/2020",3,"0.09","Potentilla erecta",6,"0,09","0","09",1
"04/07/2020",3,"0.09","Lotus corniculatus",1,"0,09","0","09",1
"04/07/2020",3,"1.09","Potentilla erecta",7,"1,09","1","09",1
"04/07/2020",3,"2.09","Potentilla erecta",9,"2,09","2","09",1
"04/07/2020",3,"2.09","Ranunculus sp.",1,"2,09","2","09",1
"04/07/2020",3,"3.09","Potentilla erecta",3,"3,09","3","09",1
"04/07/2020",3,"3.09","Lotus corniculatus",2,"3,09","3","09",1
"04/07/2020",3,"4.09","Lotus corniculatus",2,"4,09","4","09",1
"04/07/2020",3,"4.09","Potentilla erecta",3,"4,09","4","09",1
"04/07/2020",3,"5.09","Potentilla erecta",4,"5,09","5","09",1
"04/07/2020",3,"6.09","Lotus corniculatus",2,"6,09","6","09",1
"04/07/2020",3,"7.09","Potentilla erecta",2,"7,09","7","09",1
"04/07/2020",3,"8.09","Potentilla erecta",8,"8,09","8","09",1
"04/07/2020",3,"9.09","Potentilla erecta",2,"9,09","9","09",1
"04/07/2020",3,"10.09","Potentilla erecta",5,"10,09","10","09",1
"04/07/2020",3,"11.09","0",0,"11,09","11","09",1
"04/07/2020",3,"12.09","Potentilla erecta",3,"12,09","12","09",1
"04/07/2020",3,"12.09","Lotus corniculatus",2,"12,09","12","09",1
"04/07/2020",3,"13.09","0",0,"13,09","13","09",1
"04/07/2020",3,"14.09","Thymus praecox subsp. polytrichus",19,"14,09","14","09",1
"04/07/2020",3,"14.09","Prunella grandiflora",3,"14,09","14","09",1
"04/07/2020",3,"14.09","Lotus corniculatus",9,"14,09","14","09",1
"04/07/2020",3,"14.09","Potentilla erecta",5,"14,09","14","09",1
"04/07/2020",3,"15.09","Lotus corniculatus",6,"15,09","15","09",1
"04/07/2020",3,"15.09","Erica cinerea",4,"15,09","15","09",1
"04/07/2020",3,"15.09","Prunella grandiflora",2,"15,09","15","09",1
"04/07/2020",3,"15.09","Hutchinsia alpina",1,"15,09","15","09",1
"04/07/2020",3,"15.09","Potentilla erecta",3,"15,09","15","09",1
"04/07/2020",3,"16.09","Prunella grandiflora",8,"16,09","16","09",1
"04/07/2020",3,"16.09","Potentilla erecta",2,"16,09","16","09",1
"04/07/2020",3,"16.09","Trifolium pratense",1,"16,09","16","09",1
"04/07/2020",3,"16.09","Lotus corniculatus",2,"16,09","16","09",1
"04/07/2020",3,"17.09","Lotus corniculatus",2,"17,09","17","09",1
"04/07/2020",3,"17.09","Potentilla erecta",3,"17,09","17","09",1
"04/07/2020",3,"17.09","Erica cinerea",1,"17,09","17","09",1
"04/07/2020",3,"18.09","Erica cinerea",3,"18,09","18","09",1
"04/07/2020",3,"18.09","Lotus corniculatus",3,"18,09","18","09",1
"04/07/2020",3,"18.09","Potentilla erecta",2,"18,09","18","09",1
"04/07/2020",3,"19.09","Lotus corniculatus",6,"19,09","19","09",1
"04/07/2020",3,"20.09","Lotus corniculatus",6,"20,09","20","09",1
"04/07/2020",3,"20.09","Medicago lupulina",6,"20,09","20","09",1
"04/07/2020",3,"20.09","Hutchinsia alpina",1,"20,09","20","09",1
