"Fecha","Bosque","X.Y","Planta","Flores","Observaciones","Periodo","x","y"
0021-04-14,1,"24.00","0",0,"",1,"24","00"
0021-04-14,1,"23.00","0",0,"",1,"23","00"
0021-04-14,1,"22.00","Viola riviniana",1,"",1,"22","00"
0021-04-14,1,"22.00","Taraxacum sp.",1,"",1,"22","00"
0021-04-14,1,"22.00","Helleborus viridis",3,"",1,"22","00"
0021-04-14,1,"21.00","Bellis perennis",2,"",1,"21","00"
0021-04-14,1,"21.00","Viola riviniana",1,"",1,"21","00"
0021-04-14,1,"20.00","Helleborus viridis",2,"",1,"20","00"
0021-04-14,1,"20.00","Taraxacum sp.",1,"",1,"20","00"
0021-04-14,1,"19.00","0",0,"",1,"19","00"
0021-04-14,1,"18.00","0",0,"",1,"18","00"
0021-04-14,1,"17.00","0",0,"",1,"17","00"
0021-04-14,1,"16.00","0",0,"",1,"16","00"
0021-04-14,1,"15.00","Helleborus viridis",1,"",1,"15","00"
0021-04-14,1,"14.00","Taraxacum sp.",2,"",1,"14","00"
0021-04-14,1,"13.00","Taraxacum sp.",2,"",1,"13","00"
0021-04-14,1,"12.00","0",0,"",1,"12","00"
0021-04-14,1,"11.00","0",0,"",1,"11","00"
0021-04-14,1,"10.00","0",0,"",1,"10","00"
0021-04-14,1,"9.00","Hepatica nobilis",1,"",1,"9","00"
0021-04-14,1,"8.00","Hepatica nobilis",1,"",1,"8","00"
0021-04-14,1,"7.00","Taraxacum sp.",2,"",1,"7","00"
0021-04-14,1,"6.00","Taraxacum sp.",1,"",1,"6","00"
0021-04-14,1,"5.00","Taraxacum sp.",1,"",1,"5","00"
0021-04-14,1,"4.00","Taraxacum sp.",1,"",1,"4","00"
0021-04-14,1,"3.00","0",0,"",1,"3","00"
0021-04-14,1,"2.00","0",0,"",1,"2","00"
0021-04-14,1,"1.00","0",0,"",1,"1","00"
0021-04-14,1,"0.00","Viola riviniana",1,"",1,"0","00"
0021-04-14,1,"0.01","0",0,"",1,"0","01"
0021-04-14,1,"1.01","Hepatica nobilis",1,"",1,"1","01"
0021-04-14,1,"2.01","0",0,"",1,"2","01"
0021-04-14,1,"3.01","Bellis perennis",2,"",1,"3","01"
0021-04-14,1,"4.01","Viola riviniana",1,"",1,"4","01"
0021-04-14,1,"5.01","0",0,"",1,"5","01"
0021-04-14,1,"6.01","Bellis perennis",1,"",1,"6","01"
0021-04-14,1,"6.01","Taraxacum sp.",1,"",1,"6","01"
0021-04-14,1,"7.01","Taraxacum sp.",1,"",1,"7","01"
0021-04-14,1,"7.01","Bellis perennis",1,"",1,"7","01"
0021-04-14,1,"8.01","Helleborus viridis",2,"",1,"8","01"
0021-04-14,1,"9.01","Helleborus viridis",1,"",1,"9","01"
0021-04-14,1,"10.01","0",0,"",1,"10","01"
0021-04-14,1,"11.01","0",0,"",1,"11","01"
0021-04-14,1,"12.01","Hepatica nobilis",1,"",1,"12","01"
0021-04-14,1,"13.01","Taraxacum sp.",1,"",1,"13","01"
0021-04-14,1,"13.01","Bellis perennis",1,"",1,"13","01"
0021-04-14,1,"14.01","Helleborus viridis",1,"",1,"14","01"
0021-04-14,1,"14.01","Hepatica nobilis",1,"",1,"14","01"
0021-04-14,1,"14.01","Taraxacum sp.",1,"",1,"14","01"
0021-04-14,1,"15.01","Bellis perennis",1,"",1,"15","01"
0021-04-14,1,"16.01","Bellis perennis",1,"",1,"16","01"
0021-04-14,1,"17.01","0",0,"",1,"17","01"
0021-04-14,1,"18.01","0",0,"",1,"18","01"
0021-04-14,1,"19.01","Taraxacum sp.",2,"",1,"19","01"
0021-04-14,1,"20.01","Bellis perennis",5,"",1,"20","01"
0021-04-14,1,"20.01","Taraxacum sp.",1,"",1,"20","01"
0021-04-14,1,"20.01","Helleborus viridis",2,"",1,"20","01"
0021-04-14,1,"21.01","Bellis perennis",2,"",1,"21","01"
