"Fecha","Hora","Periodo_fecha","Periodo_hora","Bosque","Codigo_vuelo_dia","Codigo_vuelo","Polinizador","Planta","Codigo_captura","coord2","X","Y"
2020-05-22,13:14:00,"1",2,1,12,87,"Platycheirus sp","Ranunculus sp.","","2,15","2","15"
2020-05-22,13:14:00,"1",2,1,12,87,"Platycheirus sp","Ranunculus sp.","","2,15","2","15"
2020-05-22,13:14:00,"1",2,1,12,87,"Platycheirus sp","Ranunculus sp.","","2,15","2","15"
2020-05-22,13:14:00,"1",2,1,12,87,"Platycheirus sp","Ranunculus sp.","","4,15","4","15"
2020-05-22,16:20:00,"1",3,1,23,98,"Lasioglossum calceatum","Ranunculus sp.","","19,10","19","10"
2020-05-22,16:20:00,"1",3,1,23,98,"Lasioglossum calceatum","Ranunculus sp.","","19,10","19","10"
2020-05-22,16:20:00,"1",3,1,23,98,"Lasioglossum calceatum","Ranunculus sp.","","19,10","19","10"
2020-05-22,16:20:00,"1",3,1,23,98,"Lasioglossum calceatum","Ranunculus sp.","","19,09","19","09"
2020-05-22,16:20:00,"1",3,1,23,98,"Lasioglossum calceatum","Ranunculus sp.","","19,10","19","10"
2020-05-22,16:20:00,"1",3,1,23,98,"Lasioglossum calceatum","Ranunculus sp.","","19,11","19","11"
2020-05-22,16:20:00,"1",3,1,23,98,"Lasioglossum calceatum","Ranunculus sp.","","18,11","18","11"
2020-05-22,16:20:00,"1",3,1,23,98,"Lasioglossum calceatum","Ranunculus sp.","","18,11","18","11"
2020-05-22,16:20:00,"1",3,1,23,98,"Lasioglossum calceatum","Ranunculus sp.","","17,11","17","11"
2020-05-22,16:42:00,"1",3,1,25,100,"Lasioglossum calceatum","Ranunculus sp.","","16,10","16","10"
2020-05-22,16:42:00,"1",3,1,25,100,"Lasioglossum calceatum","Ranunculus sp.","","16,10","16","10"
2020-05-22,16:42:00,"1",3,1,25,100,"Lasioglossum calceatum","Ranunculus sp.","","16,10","16","10"
2020-05-26,10:33:00,"1",1,4,1,122,"Seladonia confusa","Potentilla erecta","","22,04","22","04"
2020-05-26,10:33:00,"1",1,4,1,122,"Seladonia confusa","Potentilla erecta","","22,04","22","04"
2020-05-26,10:33:00,"1",1,4,1,122,"Seladonia confusa","Potentilla erecta","","22,04","22","04"
2020-05-26,10:33:00,"1",1,4,1,122,"Seladonia confusa","Potentilla erecta","","21,04","21","04"
2020-06-24,13:15:00,"2",2,4,8,391,"Lasioglossum calceatum","Potentilla erecta","","24,03","24","03"
2020-06-24,13:15:00,"2",2,4,8,391,"Lasioglossum calceatum","Potentilla erecta","","24,03","24","03"
2020-06-24,13:23:00,"2",2,4,9,392,"Lasioglossum calceatum","Potentilla erecta","","9,01","9","01"
2020-06-24,13:23:00,"2",2,4,9,392,"Lasioglossum calceatum","Potentilla erecta","","9,01","9","01"
2020-06-24,13:23:00,"2",2,4,9,392,"Lasioglossum calceatum","Potentilla erecta","","9,01","9","01"
2020-06-24,13:31:00,"2",2,4,10,393,"Lasioglossum calceatum","Potentilla erecta","","21,21","21","21"
2020-06-24,13:31:00,"2",2,4,10,393,"Lasioglossum calceatum","Potentilla erecta","","21,21","21","21"
2020-06-24,13:41:00,"2",2,4,11,394,"Lasioglossum calceatum","Potentilla erecta","","6,08","6","08"
2020-06-24,13:41:00,"2",2,4,11,394,"Lasioglossum calceatum","Potentilla erecta","","6,08","6","08"
2020-06-24,13:41:00,"2",2,4,11,394,"Lasioglossum calceatum","Potentilla erecta","","6,08","6","08"
2020-05-27,13:47:00,"1",2,5,18,161,"Eupeodes corollae","Potentilla erecta","","3,14","3","14"
2020-05-27,13:47:00,"1",2,5,18,161,"Eupeodes corollae","Potentilla erecta","","3,15","3","15"
2020-05-27,13:47:00,"1",2,5,18,161,"Eupeodes corollae","Potentilla erecta","","3,14","3","14"
2020-05-27,13:47:00,"1",2,5,18,161,"Eupeodes corollae","Potentilla erecta","","3,14","3","14"
2020-05-27,13:47:00,"1",2,5,18,161,"Eupeodes corollae","Potentilla erecta","","3,14","3","14"
2020-05-27,13:47:00,"1",2,5,18,161,"Eupeodes corollae","Potentilla erecta","","3,14","3","14"
2020-05-27,13:47:00,"1",2,5,18,161,"Eupeodes corollae","Potentilla erecta","","3,15","3","15"
2020-05-27,13:50:00,"1",2,5,19,162,"Eupeodes corollae","Potentilla erecta","","3,14","3","14"
2020-05-27,13:50:00,"1",2,5,19,162,"Eupeodes corollae","Potentilla erecta","","3,14","3","14"
2020-05-27,13:50:00,"1",2,5,19,162,"Eupeodes corollae","Potentilla erecta","","4,15","4","15"
2020-05-27,13:50:00,"1",2,5,19,162,"Eupeodes corollae","Potentilla erecta","","3,10","3","10"
2020-05-27,13:50:00,"1",2,5,19,162,"Eupeodes corollae","Potentilla erecta","","4,15","4","15"
2020-05-27,13:50:00,"1",2,5,19,162,"Eupeodes corollae","Potentilla erecta","","4,15","4","15"
2020-05-27,13:50:00,"1",2,5,19,162,"Eupeodes corollae","Potentilla erecta","","5,15","5","15"
2020-05-27,13:50:00,"1",2,5,19,162,"Eupeodes corollae","Potentilla erecta","","5,15","5","15"
2020-05-27,14:08:00,"1",2,5,21,164,"Eupeodes corollae","Potentilla erecta","","6,15","6","15"
2020-05-27,14:08:00,"1",2,5,21,164,"Eupeodes corollae","Potentilla erecta","","6,17","6","17"
2020-05-27,14:08:00,"1",2,5,21,164,"Eupeodes corollae","Potentilla erecta","","6,18","6","18"
2020-05-27,16:26:00,"1",3,5,24,167,"Platycheirus albimanus","Potentilla erecta","","5,07","5","07"
2020-05-27,16:26:00,"1",3,5,24,167,"Platycheirus albimanus","Potentilla erecta","","5,06","5","06"
2020-05-27,16:26:00,"1",3,5,24,167,"Platycheirus albimanus","Potentilla erecta","","3,07","3","07"
2020-05-27,17:06:00,"1",3,5,29,172,"Platycheirus albimanus","Potentilla erecta","","5,13","5","13"
2020-05-27,17:06:00,"1",3,5,29,172,"Platycheirus albimanus","Potentilla erecta","","4,12","4","12"
2020-05-28,12:49:00,"1",2,3,1,175,"Episyrphus balteatus","Ranunculus sp.","","1,20","1","20"
2020-05-28,12:49:00,"1",2,3,1,175,"Episyrphus balteatus","Ranunculus sp.","","1,20","1","20"
2020-05-28,12:49:00,"1",2,3,1,175,"Episyrphus balteatus","Ranunculus sp.","","1,20","1","20"
2020-05-28,12:49:00,"1",2,3,1,175,"Episyrphus balteatus","Ranunculus sp.","","1,20","1","20"
2020-05-28,12:49:00,"1",2,3,1,175,"Episyrphus balteatus","Ranunculus sp.","","1,21","1","21"
2020-05-28,12:49:00,"1",2,3,1,175,"Episyrphus balteatus","Ranunculus sp.","","1,22","1","22"
2020-05-28,16:55:00,"1",3,3,23,197,"Osmia andrenoides","Lotus corniculatus","","17,23","17","23"
2020-05-28,16:55:00,"1",3,3,23,197,"Osmia andrenoides","Lotus corniculatus","","17,23","17","23"
2020-05-28,16:55:00,"1",3,3,23,197,"Osmia andrenoides","Lotus corniculatus","","17,23","17","23"
2020-05-28,16:55:00,"1",3,3,23,197,"Osmia andrenoides","Lotus corniculatus","","17,23","17","23"
2020-05-29,15:55:00,"2",3,1,30,227,"Episyrphus balteatus","Ranunculus sp.","","6,18","6","18"
2020-05-29,15:55:00,"2",3,1,30,227,"Episyrphus balteatus","Ranunculus sp.","","6,18","6","18"
2020-05-29,15:55:00,"2",3,1,30,227,"Episyrphus balteatus","Bellis perennis","","8,18","8","18"
2020-05-29,15:55:00,"2",3,1,30,227,"Episyrphus balteatus","Ranunculus sp.","","8,18","8","18"
