"","Fecha","Hora","Periodo_hora","Bosque","Codigo_vuelo_dia","Codigo_vuelos","Orden","Polinizador","Codigo_captura","Sexo","Planta","xy","Fecha2","Periodo_fecha","X","Y"
"1",2020-04-08,"11:30:00",1,2,1,1,1,"Apis mellifera","","","Helleborus viridis",23.2,2021-04-08,"1","23","2"
"2",2020-04-08,"11:30:00",1,2,1,1,2,"Apis mellifera","","","Helleborus viridis",23.2,2021-04-08,"1","23","2"
"3",2020-04-08,"11:30:00",1,2,1,1,3,"Apis mellifera","","","Helleborus viridis",23.2,2021-04-08,"1","23","2"
"4",2020-04-08,"11:58:00",1,2,2,2,1,"Apis mellifera","","","Helleborus viridis",23.21,2021-04-08,"1","23","21"
"5",2020-04-08,"11:58:00",1,2,2,2,2,"Apis mellifera","","","Ranunculus repens",23.21,2021-04-08,"1","23","21"
"6",2020-04-08,"11:58:00",1,2,2,2,3,"Apis mellifera","","","Helleborus viridis",23.21,2021-04-08,"1","23","21"
"7",2020-04-08,"11:59:00",1,2,3,3,1,"Apis mellifera","","","Helleborus viridis",23.2,2021-04-08,"1","23","2"
"8",2020-04-08,"11:59:00",1,2,3,3,2,"Apis mellifera","","","Helleborus viridis",23.2,2021-04-08,"1","23","2"
"9",2020-04-08,"11:59:00",1,2,3,3,3,"Apis mellifera","","","Helleborus viridis",23.21,2021-04-08,"1","23","21"
"10",2020-04-08,"11:59:00",1,2,3,3,4,"Apis mellifera","","","Helleborus viridis",19.18,2021-04-08,"1","19","18"
"11",2020-04-08,"12:44:00",2,2,4,4,1,"Bombus terrestris","","","Helleborus viridis",23.2,2021-04-08,"1","23","2"
"12",2020-04-08,"12:44:00",2,2,4,4,2,"Bombus terrestris","","","Helleborus viridis",23.2,2021-04-08,"1","23","2"
"13",2020-04-08,"13:20:00",2,2,5,5,1,"Andrena cineraria","C1","","Potentilla montana",15.15,2021-04-08,"1","15","15"
"14",2020-04-08,"13:20:00",2,2,5,5,2,"Andrena cineraria","C1","","Potentilla montana",16.15,2021-04-08,"1","16","15"
"15",2020-04-08,"13:20:00",2,2,5,5,3,"Andrena cineraria","C1","","Potentilla montana",16.15,2021-04-08,"1","16","15"
