Bosque,Planta,X,Y,Periodo,prob_consp_step
Pinar Aznalcazar,Aetheorhiza_bulbosa,5,1,2,6.186357371142768e-6
Pinar Aznalcazar,Aetheorhiza_bulbosa,6,3,3,NA
Pinar Aznalcazar,Aetheorhiza_bulbosa,7,1,3,NA
Pinar Aznalcazar,Aetheorhiza_bulbosa,7,2,3,NA
Pinar Aznalcazar,Aetheorhiza_bulbosa,7,4,2,6.186357371142768e-6
Pinar Aznalcazar,Aetheorhiza_bulbosa,7,6,2,6.186358288586053e-6
Pinar Aznalcazar,Aetheorhiza_bulbosa,8,1,3,NA
Pinar Aznalcazar,Aetheorhiza_bulbosa,9,1,3,NA
Pinar Aznalcazar,Aetheorhiza_bulbosa,9,6,2,3.093178685571384e-6
Pinar Aznalcazar,Andryala_arenaria,4,8,3,NA
Pinar Aznalcazar,Andryala_arenaria,4,9,3,NA
Pinar Aznalcazar,Andryala_arenaria,6,1,3,NA
Pinar Aznalcazar,Andryala_arenaria,7,1,3,NA
Pinar Aznalcazar,Andryala_arenaria,7,2,3,NA
Pinar Aznalcazar,Andryala_arenaria,8,1,3,NA
Pinar Aznalcazar,Andryala_arenaria,9,1,3,NA
Pinar Aznalcazar,Cistus_crispus,1,1,2,0.9996621178228988
Pinar Aznalcazar,Cistus_crispus,1,1,3,0.8145142021582706
Pinar Aznalcazar,Cistus_crispus,1,2,2,0.9996469899055255
Pinar Aznalcazar,Cistus_crispus,1,2,3,0.36163132166499273
Pinar Aznalcazar,Cistus_crispus,1,3,2,0.9996246721974354
Pinar Aznalcazar,Cistus_crispus,1,3,3,0.6367217386258391
Pinar Aznalcazar,Cistus_crispus,1,7,2,0.9992657562730056
Pinar Aznalcazar,Cistus_crispus,1,7,3,0.6965131312898508
Pinar Aznalcazar,Cistus_crispus,1,8,2,0.9999660797086066
Pinar Aznalcazar,Cistus_crispus,1,8,3,0.782656214200322
Pinar Aznalcazar,Cistus_crispus,1,9,2,0.9999656018211589
Pinar Aznalcazar,Cistus_crispus,1,9,3,0.7113546485541784
Pinar Aznalcazar,Cistus_crispus,2,1,2,0.9999819817222431
Pinar Aznalcazar,Cistus_crispus,2,1,3,0.9230631911749305
Pinar Aznalcazar,Cistus_crispus,2,3,2,0.999572316652143
Pinar Aznalcazar,Cistus_crispus,2,3,3,0.8327083340773351
Pinar Aznalcazar,Cistus_crispus,2,6,2,0.9999615203920273
Pinar Aznalcazar,Cistus_crispus,2,6,3,0.8430867244854622
Pinar Aznalcazar,Cistus_crispus,3,1,2,0.9996350802391368
Pinar Aznalcazar,Cistus_crispus,3,1,3,0.6924131023334588
Pinar Aznalcazar,Cistus_crispus,4,7,2,0.9999591203171007
Pinar Aznalcazar,Cistus_crispus,4,7,3,0.93349217092441406
Pinar Aznalcazar,Cistus_crispus,5,7,2,0.9993287310214853
Pinar Aznalcazar,Cistus_crispus,5,7,3,0.7391590726663329
Pinar Aznalcazar,Cistus_crispus,6,2,2,0.9994637773698322
Pinar Aznalcazar,Cistus_crispus,6,2,3,0.666303571872391
Pinar Aznalcazar,Cistus_crispus,6,7,2,0.9994098121794202
Pinar Aznalcazar,Cistus_crispus,6,7,3,0.29918277417553685
Pinar Aznalcazar,Cistus_crispus,7,3,2,0.9999661190890206
Pinar Aznalcazar,Cistus_crispus,7,3,3,0.808414969384163
Pinar Aznalcazar,Cistus_crispus,8,7,2,0.9999691932242211
Pinar Aznalcazar,Cistus_crispus,8,7,3,0.9911915846208347
Pinar Aznalcazar,Cistus_crispus,9,2,2,0.9999707449317495
Pinar Aznalcazar,Cistus_crispus,9,2,3,0.8028254880980292
Pinar Aznalcazar,Cistus_salviifolius,1,7,1,1
Pinar Aznalcazar,Cistus_salviifolius,1,7,2,0.8969501321072431
Pinar Aznalcazar,Cistus_salviifolius,1,10,1,1
Pinar Aznalcazar,Cistus_salviifolius,1,10,2,0.9999994917982302
Pinar Aznalcazar,Cistus_salviifolius,2,7,1,1
Pinar Aznalcazar,Cistus_salviifolius,2,7,2,0.9417948359553041
Pinar Aznalcazar,Cistus_salviifolius,3,6,1,1
Pinar Aznalcazar,Cistus_salviifolius,3,6,2,0.9145944060950331
Pinar Aznalcazar,Cistus_salviifolius,3,7,1,1
Pinar Aznalcazar,Cistus_salviifolius,3,7,2,0.9183041169873534
Pinar Aznalcazar,Cistus_salviifolius,3,8,1,1
Pinar Aznalcazar,Cistus_salviifolius,3,8,2,0.9425822539586056
Pinar Aznalcazar,Cistus_salviifolius,3,9,1,1
Pinar Aznalcazar,Cistus_salviifolius,3,9,2,0.9412224747389056
Pinar Aznalcazar,Cistus_salviifolius,4,4,1,1
Pinar Aznalcazar,Cistus_salviifolius,4,4,2,0.9425136950455643
Pinar Aznalcazar,Cistus_salviifolius,4,9,1,1
Pinar Aznalcazar,Cistus_salviifolius,4,9,2,0.9428803175404876
Pinar Aznalcazar,Cistus_salviifolius,4,10,1,1
Pinar Aznalcazar,Cistus_salviifolius,6,1,1,1
Pinar Aznalcazar,Cistus_salviifolius,6,1,2,0.8774766397994569
Pinar Aznalcazar,Cistus_salviifolius,6,3,1,1
Pinar Aznalcazar,Cistus_salviifolius,6,3,2,0.94434111075394
Pinar Aznalcazar,Cistus_salviifolius,6,4,1,1
Pinar Aznalcazar,Cistus_salviifolius,6,4,2,0.9459207539129904
Pinar Aznalcazar,Cistus_salviifolius,6,7,1,1
Pinar Aznalcazar,Cistus_salviifolius,6,7,2,0.9398957454355265
Pinar Aznalcazar,Cistus_salviifolius,6,10,1,1
Pinar Aznalcazar,Cistus_salviifolius,6,10,2,0.9447442963509008
Pinar Aznalcazar,Cistus_salviifolius,7,2,1,1
Pinar Aznalcazar,Cistus_salviifolius,7,2,2,0.8721786469916681
Pinar Aznalcazar,Cistus_salviifolius,7,4,1,1
Pinar Aznalcazar,Cistus_salviifolius,7,4,2,0.9279856905594773
Pinar Aznalcazar,Cistus_salviifolius,8,3,1,1
Pinar Aznalcazar,Cistus_salviifolius,8,3,2,0.9438651677815263
Pinar Aznalcazar,Cistus_salviifolius,8,10,1,1
Pinar Aznalcazar,Cistus_salviifolius,8,10,2,0.9372923810826544
Pinar Aznalcazar,Cistus_salviifolius,9,1,1,1
Pinar Aznalcazar,Cistus_salviifolius,9,3,1,1
Pinar Aznalcazar,Cistus_salviifolius,9,3,2,0.9398802553175798
Pinar Aznalcazar,Cistus_salviifolius,9,6,1,1
Pinar Aznalcazar,Cistus_salviifolius,10,10,1,1
Pinar Aznalcazar,Cistus_salviifolius,10,10,2,0.9333574627343587
Pinar Aznalcazar,Galactites_tomentosus,1,1,2,0.9999999999998597
Pinar Aznalcazar,Galactites_tomentosus,1,1,3,0.9768620180586219
Pinar Aznalcazar,Galactites_tomentosus,1,2,2,0.9999999999941785
Pinar Aznalcazar,Galactites_tomentosus,1,2,3,0.7090703583852569
Pinar Aznalcazar,Galactites_tomentosus,1,3,2,0.999999999986356
Pinar Aznalcazar,Galactites_tomentosus,1,3,3,0.8941813078404638
Pinar Aznalcazar,Galactites_tomentosus,1,4,2,1
Pinar Aznalcazar,Galactites_tomentosus,1,4,3,0.924081194614339
Pinar Aznalcazar,Galactites_tomentosus,1,5,3,0.9170290313842809
Pinar Aznalcazar,Galactites_tomentosus,1,6,3,0.934544687357773
Pinar Aznalcazar,Galactites_tomentosus,2,1,3,0.9998436830355949
Pinar Aznalcazar,Galactites_tomentosus,2,2,2,1
Pinar Aznalcazar,Galactites_tomentosus,2,3,2,0.9999999999798527
Pinar Aznalcazar,Galactites_tomentosus,2,3,3,0.9936355527203208
Pinar Aznalcazar,Galactites_tomentosus,2,4,3,0.9524381476199938
Pinar Aznalcazar,Galactites_tomentosus,2,5,3,0.9544882905779521
Pinar Aznalcazar,Galactites_tomentosus,3,1,2,0.9999999999772294
Pinar Aznalcazar,Galactites_tomentosus,3,1,3,0.9016965995038204
Pinar Aznalcazar,Galactites_tomentosus,3,2,2,1
Pinar Aznalcazar,Galactites_tomentosus,3,3,2,1
Pinar Aznalcazar,Galactites_tomentosus,3,3,3,0.9873788933844141
Pinar Aznalcazar,Galactites_tomentosus,3,4,2,1
Pinar Aznalcazar,Galactites_tomentosus,3,4,3,0.8985262369065282
Pinar Aznalcazar,Galactites_tomentosus,3,5,2,1
Pinar Aznalcazar,Galactites_tomentosus,3,5,3,0.9882850807405559
Pinar Aznalcazar,Galactites_tomentosus,3,6,2,0.9999999998482697
Pinar Aznalcazar,Galactites_tomentosus,3,6,3,0.9418302813247895
Pinar Aznalcazar,Galactites_tomentosus,3,7,2,0.999999999969608
Pinar Aznalcazar,Galactites_tomentosus,3,7,3,0.9523222168205135
Pinar Aznalcazar,Galactites_tomentosus,3,8,3,0.9689126598652935
Pinar Aznalcazar,Galactites_tomentosus,4,2,2,1
Pinar Aznalcazar,Galactites_tomentosus,4,2,3,0.9051650685974687
Pinar Aznalcazar,Galactites_tomentosus,4,3,2,1
Pinar Aznalcazar,Galactites_tomentosus,4,3,3,0.9253754635296445
Pinar Aznalcazar,Galactites_tomentosus,4,4,3,0.9551655105985898
Pinar Aznalcazar,Galactites_tomentosus,4,5,2,1
Pinar Aznalcazar,Galactites_tomentosus,4,6,2,1
