Bosque,Year,Planta,X,Y,Periodo,Flores,prob_consp_step
Pinar Aznalcazar,2021,Cistus_salviifolius,3,6,1,1,0.9999973403412207
Pinar Aznalcazar,2021,Cistus_salviifolius,3,9,1,1,0.9999971908711959
Pinar Aznalcazar,2021,Cistus_salviifolius,4,9,1,1,0.9999971908408399
Pinar Aznalcazar,2021,Cistus_salviifolius,6,4,1,2,0.9999972381700037
Pinar Aznalcazar,2021,Cistus_salviifolius,7,2,1,1,0.9999973361580913
Pinar Aznalcazar,2021,Cistus_salviifolius,9,3,1,2,0.9999973121107821
Pinar Aznalcazar,2021,Lavandula_stoechas,2,10,1,100,0.9999705910435548
Pinar Aznalcazar,2021,Cistus_salviifolius,1,7,1,2,0.9999973511605506
Pinar Aznalcazar,2021,Cistus_salviifolius,3,6,1,4,0.9999973403412207
Pinar Aznalcazar,2021,Cistus_salviifolius,3,9,1,9,0.9999971908711959
Pinar Aznalcazar,2021,Cistus_salviifolius,3,8,1,1,0.9999980740162603
Pinar Aznalcazar,2021,Cistus_salviifolius,6,3,1,2,0.9999981055905209
Pinar Aznalcazar,2021,Cistus_salviifolius,8,3,1,8,0.9999981022695879
Pinar Aznalcazar,2021,Cistus_salviifolius,4,4,1,7,0.9999991228638658
Pinar Aznalcazar,2021,Cistus_salviifolius,4,9,1,7,0.9999971908408399
Pinar Aznalcazar,2021,Cistus_salviifolius,4,10,1,2,0.9999981247892915
Pinar Aznalcazar,2021,Cistus_salviifolius,1,7,1,3,0.9999973511605506
Pinar Aznalcazar,2021,Cistus_salviifolius,6,4,1,16,0.9999972381700037
Pinar Aznalcazar,2021,Cistus_salviifolius,9,1,1,2,0.9999982537753862
Pinar Aznalcazar,2021,Cistus_salviifolius,6,7,1,6,0.9999982605865877
Pinar Aznalcazar,2021,Cistus_salviifolius,6,10,1,10,0.9999991226216554
Pinar Aznalcazar,2021,Cistus_salviifolius,7,2,1,7,0.9999973361580913
Pinar Aznalcazar,2021,Cistus_salviifolius,7,4,1,1,0.9999981137573749
Pinar Aznalcazar,2021,Cistus_salviifolius,8,10,1,2,0.9999982585562555
Pinar Aznalcazar,2021,Cistus_salviifolius,9,3,1,20,0.9999973121107821
Pinar Aznalcazar,2021,Lavandula_stoechas,2,10,1,864,0.9999705910435548
Pinar Aznalcazar,2021,Cistus_salviifolius,1,7,1,5,0.9999973511605506
Pinar Aznalcazar,2021,Cistus_salviifolius,1,10,1,4,0.9999987828093567
Pinar Aznalcazar,2021,Cistus_salviifolius,3,6,1,15,0.9999973403412207
Pinar Aznalcazar,2021,Cistus_salviifolius,3,7,1,3,0.9999989067798352
Pinar Aznalcazar,2021,Cistus_salviifolius,2,7,1,4,0.999998938467741
Pinar Aznalcazar,2021,Cistus_salviifolius,3,8,1,7,0.9999980740162603
Pinar Aznalcazar,2021,Cistus_salviifolius,3,9,1,15,0.9999971908711959
Pinar Aznalcazar,2021,Cistus_salviifolius,4,9,1,21,0.9999971908408399
Pinar Aznalcazar,2021,Cistus_salviifolius,4,10,1,5,0.9999981247892915
Pinar Aznalcazar,2021,Cistus_salviifolius,6,1,1,5,0.9999990988477351
Pinar Aznalcazar,2021,Cistus_salviifolius,6,3,1,5,0.9999981055905209
Pinar Aznalcazar,2021,Cistus_salviifolius,6,4,1,43,0.9999972381700037
Pinar Aznalcazar,2021,Cistus_salviifolius,6,7,1,14,0.9999982605865877
Pinar Aznalcazar,2021,Cistus_salviifolius,8,10,1,22,0.9999982585562555
Pinar Aznalcazar,2021,Cistus_salviifolius,7,2,1,8,0.9999973361580913
Pinar Aznalcazar,2021,Cistus_salviifolius,7,4,1,6,0.9999981137573749
Pinar Aznalcazar,2021,Cistus_salviifolius,9,1,1,5,0.9999982537753862
Pinar Aznalcazar,2021,Cistus_salviifolius,8,3,1,15,0.9999981022695879
Pinar Aznalcazar,2021,Cistus_salviifolius,9,3,1,35,0.9999973121107821
Pinar Aznalcazar,2021,Cistus_salviifolius,9,6,1,1,0.9999991302241691
Pinar Aznalcazar,2021,Cistus_salviifolius,10,10,1,2,0.9999991278827021
Pinar Aznalcazar,2021,Lavandula_stoechas,1,10,1,270,0.9999835600234542
Pinar Aznalcazar,2021,Lavandula_stoechas,2,10,1,3400,0.9999705910435548
Pinar Aznalcazar,2021,Cistus_salviifolius,1,7,2,15,0.9999880939606003
Pinar Aznalcazar,2021,Cistus_salviifolius,1,10,2,2,0.9999972765607098
Pinar Aznalcazar,2021,Cistus_salviifolius,2,7,2,9,0.999997799179978
Pinar Aznalcazar,2021,Cistus_salviifolius,3,6,2,3,0.9999947209805231
Pinar Aznalcazar,2021,Cistus_salviifolius,3,7,2,7,0.9999782902365184
Pinar Aznalcazar,2021,Cistus_salviifolius,3,8,2,9,0.9999976892757628
Pinar Aznalcazar,2021,Cistus_salviifolius,3,9,2,12,0.9999976460079955
Pinar Aznalcazar,2021,Cistus_salviifolius,4,9,2,13,0.9999977116401627
Pinar Aznalcazar,2021,Cistus_salviifolius,4,4,2,3,0.9999989082119481
Pinar Aznalcazar,2021,Cistus_salviifolius,6,1,2,16,0.9999984655747105
Pinar Aznalcazar,2021,Cistus_salviifolius,7,2,2,3,0.999993556046494
Pinar Aznalcazar,2021,Cistus_salviifolius,6,3,2,17,0.9999977358927056
Pinar Aznalcazar,2021,Cistus_salviifolius,6,4,2,66,0.9999977298528373
Pinar Aznalcazar,2021,Cistus_salviifolius,6,7,2,6,0.9999977510384254
Pinar Aznalcazar,2021,Cistus_salviifolius,6,10,2,34,0.9999978213248842
Pinar Aznalcazar,2021,Cistus_salviifolius,7,4,2,7,0.9999846892351465
Pinar Aznalcazar,2021,Cistus_salviifolius,8,10,2,6,0.999997819686645
Pinar Aznalcazar,2021,Cistus_salviifolius,8,3,2,18,0.9999977313185504
Pinar Aznalcazar,2021,Cistus_salviifolius,9,3,2,7,0.9999977379380307
Pinar Aznalcazar,2021,Cistus_salviifolius,10,10,2,7,0.9999978232584296
Pinar Aznalcazar,2021,Lavandula_stoechas,1,10,2,1200,0.9999796788646742
Pinar Aznalcazar,2021,Lavandula_stoechas,2,10,2,7200,0.9999795948121128
Pinar Aznalcazar,2021,Aetheorhiza_bulbosa,5,1,2,1,0.9999902211827798
Pinar Aznalcazar,2021,Aetheorhiza_bulbosa,7,4,2,1,0.9999884622902392
Pinar Aznalcazar,2021,Aetheorhiza_bulbosa,7,6,2,1,0.9999902210043093
Pinar Aznalcazar,2021,Aetheorhiza_bulbosa,9,6,2,1,0.9999884687295861
Pinar Aznalcazar,2021,Cistus_crispus,1,1,2,2,0.9999899234585236
Pinar Aznalcazar,2021,Cistus_crispus,1,1,2,4,0.9999899234585236
Pinar Aznalcazar,2021,Cistus_crispus,1,2,2,4,0.999995493935569
Pinar Aznalcazar,2021,Cistus_crispus,2,6,2,5,0.9999972989809978
Pinar Aznalcazar,2021,Cistus_crispus,1,9,2,5,0.9999972464153442
Pinar Aznalcazar,2021,Cistus_crispus,4,7,2,3,0.9999972990082808
Pinar Aznalcazar,2021,Cistus_crispus,5,7,2,3,0.9999858108263214
Pinar Aznalcazar,2021,Cistus_crispus,6,7,2,4,0.9999962545758775
Pinar Aznalcazar,2021,Cistus_crispus,6,2,2,2,0.9999941684774997
Pinar Aznalcazar,2021,Cistus_crispus,8,7,2,18,0.9999973023722962
