Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo,Subplot,fruitset,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,unloyal_steps,poll_abundance
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,3,6,4,3,1,2021,77,17,11,3,March,3-6,0.75,3-6 Cistus_salviifolius,1,4,0,0.9999973403412207,1,1,4,NA,1
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,3,9,5,5,0,2021,77,17,11,3,March,3-9,1,3-9 Cistus_salviifolius,9,0,3,0.9999971908711959,1,1,9,NA,7
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,4,4,5,5,0,2021,77,17,11,3,March,4-4,1,4-4 Cistus_salviifolius,16,10,0,0.9999991228638658,4,1,7,NA,5
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,4,9,5,5,0,2021,77,17,11,3,March,4-9,1,4-9 Cistus_salviifolius,2,1,0,0.9999971908408399,1,1,7,NA,1
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,6,4,5,5,0,2021,77,17,11,3,March,6-4,1,6-4 Cistus_salviifolius,20,9,0,0.9999972381700037,4,1,16,NA,4
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,6,7,5,5,0,2021,77,17,11,3,March,6-7,1,6-7 Cistus_salviifolius,1,2,0,0.9999982605865877,1,1,6,NA,1
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,6,10,5,5,0,2021,77,17,11,3,March,6-10,1,6-10 Cistus_salviifolius,1,2,0,0.9999991226216554,1,1,10,NA,1
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,7,2,5,5,0,2021,77,17,11,3,March,7-2,1,7-2 Cistus_salviifolius,3,2,0,0.9999973361580913,1,1,7,NA,1
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,9,3,5,5,0,2021,77,17,11,3,March,9-3,1,9-3 Cistus_salviifolius,12,4,0,0.9999973121107821,3,1,20,NA,4
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,3,6,5,5,0,2021,84,24,12,4,March,3-6,1,3-6 Cistus_salviifolius,19,14,0,0.9999973403412207,2,1,15,NA,2
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,3,8,5,5,0,2021,84,24,12,4,March,3-8,1,3-8 Cistus_salviifolius,12,9,0,0.9999980740162603,3,1,7,NA,3
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,3,9,5,5,0,2021,84,24,12,4,March,3-9,1,3-9 Cistus_salviifolius,36,5,6,0.9999971908711959,2,1,15,NA,9
