Year,Planta,Bosque,Periodo,X,Y,poll_richness,Flores,prob_consp_step
2021,Cistus_crispus,Aznalcazar,Period 2,1,1,2,5.666666666666667,0.9999899234585236
2021,Cistus_crispus,Aznalcazar,Period 2,1,2,1,5.5,0.999995493935569
2021,Cistus_crispus,Aznalcazar,Period 2,1,9,2,5.5,0.9999972464153442
2021,Cistus_crispus,Aznalcazar,Period 2,2,6,2,12,0.9999972989809978
2021,Cistus_crispus,Aznalcazar,Period 2,4,7,7,27.5,0.9999972990082808
2021,Cistus_crispus,Aznalcazar,Period 2,5,7,7,4.5,0.9999858108263214
2021,Cistus_crispus,Aznalcazar,Period 2,6,2,1,3.5,0.9999941684774997
2021,Cistus_crispus,Aznalcazar,Period 2,6,7,5,3.5,0.9999962545758775
2021,Cistus_crispus,Aznalcazar,Period 2,7,3,1,7,0.9999972999810277
2021,Cistus_crispus,Aznalcazar,Period 2,8,7,3,29.5,0.9999973023722962
2021,Cistus_crispus,Aznalcazar,Period 3,1,1,1,7.666666666666667,0.9999962392419223
2021,Cistus_crispus,Aznalcazar,Period 3,1,2,2,3,0.9999973351049557
2021,Cistus_crispus,Aznalcazar,Period 3,1,3,2,6.5,0.9999974155990898
2021,Cistus_crispus,Aznalcazar,Period 3,1,7,1,2,0.9999975023942063
2021,Cistus_crispus,Aznalcazar,Period 3,1,8,3,5,0.9999974314380524
2021,Cistus_crispus,Aznalcazar,Period 3,1,9,2,1.5,0.9999975282303651
2021,Cistus_crispus,Aznalcazar,Period 3,2,1,2,NA,0.9999973480875018
2021,Cistus_crispus,Aznalcazar,Period 3,2,3,4,17,0.9999974766918334
2021,Cistus_crispus,Aznalcazar,Period 3,2,6,2,10,0.9999975991373389
2021,Cistus_crispus,Aznalcazar,Period 3,3,1,2,6.5,0.9999975183930678
2021,Cistus_crispus,Aznalcazar,Period 3,4,7,2,24,0.999997526617981
2021,Cistus_crispus,Aznalcazar,Period 3,5,7,2,3,0.9999975340551602
2021,Cistus_crispus,Aznalcazar,Period 3,6,7,1,3,0.9999877201420637
2021,Cistus_crispus,Aznalcazar,Period 3,7,3,1,6.5,0.999997614390147
2021,Cistus_crispus,Aznalcazar,Period 3,8,7,3,51.5,0.9999976292003786
2021,Cistus_crispus,Puebla,Period 2,9,7,1,7,0.9982439199604002
2021,Cistus_crispus,Villam. Este,Period 2,1,2,2,9,0.9982814689836316
2021,Cistus_crispus,Villam. Este,Period 2,1,3,2,2,0.977159315022205
2021,Cistus_crispus,Villam. Este,Period 2,1,4,2,7,0.9989389136032355
2021,Cistus_crispus,Villam. Este,Period 2,2,3,2,2,0.9863300498280096
2021,Cistus_crispus,Villam. Este,Period 2,2,5,1,4,0.9989277698298118
2021,Cistus_crispus,Villam. Este,Period 2,3,1,1,1.5,0.9978892248403878
2021,Cistus_crispus,Villam. Este,Period 2,3,4,1,1,0.9903037948162217
2021,Cistus_crispus,Villam. Este,Period 2,4,1,1,1,0.9887283568999656
2021,Cistus_crispus,Villam. Este,Period 2,4,7,1,6,0.9988512170717929
2021,Cistus_crispus,Villam. Este,Period 2,5,4,5,11,0.9954645776174249
2021,Cistus_crispus,Villam. Este,Period 2,5,5,2,6,0.9615680476914299
2021,Cistus_crispus,Villam. Este,Period 2,6,1,2,1,0.9989461329755924
2021,Cistus_crispus,Villam. Este,Period 2,6,4,4,16,0.9920968978452152
2021,Cistus_crispus,Villam. Este,Period 2,6,5,4,1.5,0.810463506796192
2021,Cistus_crispus,Villam. Este,Period 2,7,1,2,7.5,0.9956764738019541
