Bosque,Planta,X,Y,Week_ISO,Periodo,prob_consp_step
Pinar Aznalcazar,Cistus_salviifolius,3,6,11,1,0.9992026154385386
Pinar Aznalcazar,Cistus_salviifolius,3,9,11,1,0.9993909096399266
Pinar Aznalcazar,Cistus_salviifolius,4,4,11,1,0.974462059085433
Pinar Aznalcazar,Cistus_salviifolius,4,9,11,1,0.9994947615980019
Pinar Aznalcazar,Cistus_salviifolius,6,4,11,1,0.9995596527503804
Pinar Aznalcazar,Cistus_salviifolius,6,7,11,1,0.9986438188600553
Pinar Aznalcazar,Cistus_salviifolius,6,10,11,1,0.9992199739424238
Pinar Aznalcazar,Cistus_salviifolius,7,2,11,1,0.9913099762753821
Pinar Aznalcazar,Cistus_salviifolius,9,3,11,1,0.9995559549975271
Pinar Aznalcazar,Cistus_salviifolius,3,6,12,1,4.644511860864875e-8
Pinar Aznalcazar,Cistus_salviifolius,3,8,12,1,7.059916005691528e-12
Pinar Aznalcazar,Cistus_salviifolius,3,9,12,1,1.5371478511538735e-11
Pinar Aznalcazar,Cistus_salviifolius,4,9,12,1,1.3067292066586342e-9
Pinar Aznalcazar,Cistus_salviifolius,6,1,12,1,0.9735033125663863
Pinar Aznalcazar,Cistus_salviifolius,6,3,12,1,0.05163558920827281
Pinar Aznalcazar,Cistus_salviifolius,6,4,12,1,0.9824986364484802
Pinar Aznalcazar,Cistus_salviifolius,6,7,12,1,1.0616553333184364e-5
Pinar Aznalcazar,Cistus_salviifolius,8,3,12,1,0.9917656823619148
Pinar Aznalcazar,Cistus_salviifolius,8,10,12,1,0.0023769230969553834
Pinar Aznalcazar,Cistus_salviifolius,2,7,14,2,4.467788817672976e-290
Pinar Aznalcazar,Cistus_salviifolius,3,8,14,2,9.358913196286557e-292
Pinar Aznalcazar,Cistus_salviifolius,4,10,14,2,NA
Pinar Aznalcazar,Cistus_salviifolius,6,1,14,2,1.57539686320747e-289
Pinar Aznalcazar,Cistus_salviifolius,6,4,14,2,2.181098872536907e-255
Pinar Aznalcazar,Cistus_salviifolius,6,7,14,2,3.791320528742118e-302
Pinar Aznalcazar,Cistus_salviifolius,6,10,14,2,1.9828233393480726e-270
Pinar Aznalcazar,Cistus_salviifolius,8,3,14,2,6.340338676849972e-281
Pinar Aznalcazar,Cistus_salviifolius,8,10,14,2,2.45491656008623e-299
Pinar Aznalcazar,Cistus_salviifolius,9,3,14,2,1.1608552560843717e-294
Pinar Aznalcazar,Cistus_crispus,1,1,16,2,0.99999999303759
Pinar Aznalcazar,Cistus_crispus,1,2,16,2,0.999999996518795
Pinar Aznalcazar,Cistus_crispus,1,9,16,2,0.999999996518795
Pinar Aznalcazar,Cistus_crispus,2,6,16,2,0.999999996518795
Pinar Aznalcazar,Cistus_crispus,4,7,16,2,0.999999996518795
Pinar Aznalcazar,Cistus_crispus,5,7,16,2,0.9999999965180711
Pinar Aznalcazar,Cistus_crispus,6,2,16,2,0.9999999965176863
Pinar Aznalcazar,Cistus_crispus,6,7,16,2,0.999999996518795
Pinar Aznalcazar,Cistus_crispus,7,3,16,2,0.999999996518795
Pinar Aznalcazar,Cistus_crispus,7,6,16,2,1
Pinar Aznalcazar,Cistus_crispus,7,7,16,2,NA
Pinar Aznalcazar,Cistus_crispus,8,6,16,2,NA
Pinar Aznalcazar,Cistus_crispus,8,7,16,2,0.999999996518795
Pinar Aznalcazar,Cistus_crispus,8,8,16,2,NA
Pinar Aznalcazar,Cistus_crispus,9,2,16,2,0.999999996518795
Pinar Aznalcazar,Cistus_crispus,9,6,16,2,1
Pinar Aznalcazar,Cistus_salviifolius,1,7,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,1,10,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,2,7,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,3,6,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,3,7,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,3,8,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,3,9,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,4,9,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,6,3,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,6,4,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,6,7,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,6,10,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,8,3,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,8,10,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,9,3,16,2,NA
Pinar Aznalcazar,Cistus_salviifolius,10,10,16,2,NA
Pinar Aznalcazar,Halimium_halimifolium,10,8,16,2,NA
Pinar Aznalcazar,Cistus_crispus,1,1,17,2,0.9999999980204868
Pinar Aznalcazar,Cistus_crispus,1,2,17,2,0.9999999990102434
Pinar Aznalcazar,Cistus_crispus,1,8,17,2,0.9999999990102434
Pinar Aznalcazar,Cistus_crispus,2,1,17,2,0.9999999990102434
Pinar Aznalcazar,Cistus_crispus,2,6,17,2,0.9999999990102434
Pinar Aznalcazar,Cistus_crispus,4,7,17,2,0.9999999990102434
Pinar Aznalcazar,Cistus_crispus,6,2,17,2,0.9999999990102434
Pinar Aznalcazar,Cistus_crispus,7,3,17,2,0.9999999990102434
Pinar Aznalcazar,Cistus_crispus,9,7,17,2,NA
Pinar Aznalcazar,Cistus_crispus,9,8,17,2,NA
Pinar Aznalcazar,Halimium_halimifolium,9,6,17,2,NA
Pinar Aznalcazar,Halimium_halimifolium,10,8,17,2,NA
Pinar Aznalcazar,Halimium_halimifolium,10,9,17,2,NA
Pinar Aznalcazar,Cistus_crispus,1,1,18,3,0.24818379742954388
Pinar Aznalcazar,Cistus_crispus,1,2,18,3,0.08930487570863058
Pinar Aznalcazar,Cistus_crispus,1,3,18,3,0.4688906869285171
Pinar Aznalcazar,Cistus_crispus,2,1,18,3,0.5446966832459298
Pinar Aznalcazar,Cistus_crispus,2,3,18,3,0.5435340718040994
Pinar Aznalcazar,Cistus_crispus,2,6,18,3,0.5441980866758064
Pinar Aznalcazar,Cistus_crispus,4,7,18,3,0.5466695220412132
Pinar Aznalcazar,Cistus_crispus,7,3,18,3,0.5441180746291737
Pinar Aznalcazar,Cistus_crispus,9,2,18,3,0.5466150647028961
Pinar Aznalcazar,Cistus_crispus,9,7,18,3,NA
Pinar Aznalcazar,Halimium_halimifolium,8,10,18,3,NA
Pinar Aznalcazar,Halimium_halimifolium,9,6,18,3,NA
Pinar Aznalcazar,Halimium_halimifolium,10,8,18,3,NA
Pinar Aznalcazar,Halimium_halimifolium,10,9,18,3,NA
Pinar Aznalcazar,Cistus_crispus,9,7,20,3,NA
