Bosque,Planta,X,Y,Periodo,prob_consp_step
Pinar Aznalcazar,Cistus_salviifolius,3,6,1,5.457860327241892e-72
Pinar Aznalcazar,Cistus_salviifolius,3,9,1,4.82200613636142e-95
Pinar Aznalcazar,Cistus_salviifolius,4,4,1,8.190458783244137e-74
Pinar Aznalcazar,Cistus_salviifolius,4,9,1,5.472140193111107e-86
Pinar Aznalcazar,Cistus_salviifolius,6,4,1,6.680206097838721e-67
Pinar Aznalcazar,Cistus_salviifolius,6,7,1,8.6066821355207e-61
Pinar Aznalcazar,Cistus_salviifolius,6,10,1,7.377270254679464e-105
Pinar Aznalcazar,Cistus_salviifolius,7,2,1,1.3938575083706936e-103
Pinar Aznalcazar,Cistus_salviifolius,9,3,1,3.7994834845456555e-112
Pinar Aznalcazar,Cistus_salviifolius,3,8,1,4.080007768213439e-82
Pinar Aznalcazar,Cistus_salviifolius,6,1,1,1.701410277870035e-121
Pinar Aznalcazar,Cistus_salviifolius,6,3,1,1.304881623470018e-81
Pinar Aznalcazar,Cistus_salviifolius,8,3,1,3.6658936687884014e-97
Pinar Aznalcazar,Cistus_salviifolius,8,10,1,1.876076191540026e-126
Pinar Aznalcazar,Cistus_salviifolius,2,7,2,2.873578226366823e-128
Pinar Aznalcazar,Cistus_salviifolius,3,8,2,1.2240987642508006e-123
Pinar Aznalcazar,Cistus_salviifolius,4,10,2,NA
Pinar Aznalcazar,Cistus_salviifolius,6,1,2,1.1358076802537533e-181
Pinar Aznalcazar,Cistus_salviifolius,6,4,2,2.7014431118758157e-84
Pinar Aznalcazar,Cistus_salviifolius,6,7,2,1.2528230643619715e-150
Pinar Aznalcazar,Cistus_salviifolius,6,10,2,1.889017408362354e-113
Pinar Aznalcazar,Cistus_salviifolius,8,3,2,4.270665514392911e-135
Pinar Aznalcazar,Cistus_salviifolius,8,10,2,2.7387511883913172e-149
Pinar Aznalcazar,Cistus_salviifolius,9,3,2,2.825547125038494e-152
Pinar Aznalcazar,Cistus_crispus,1,1,2,0.05268617212461284
Pinar Aznalcazar,Cistus_crispus,1,2,2,0.031201860309994934
Pinar Aznalcazar,Cistus_crispus,1,9,2,0.7837423387226363
Pinar Aznalcazar,Cistus_crispus,2,6,2,0.764264164853299
Pinar Aznalcazar,Cistus_crispus,4,7,2,0.7842723243254236
Pinar Aznalcazar,Cistus_crispus,5,7,2,0.0037467117545077304
Pinar Aznalcazar,Cistus_crispus,6,2,2,0.013854070900330808
Pinar Aznalcazar,Cistus_crispus,6,7,2,0.005624678496885352
Pinar Aznalcazar,Cistus_crispus,7,3,2,0.7781320039902861
Pinar Aznalcazar,Cistus_crispus,7,6,2,0.767983926446428
Pinar Aznalcazar,Cistus_crispus,7,7,2,NA
Pinar Aznalcazar,Cistus_crispus,8,6,2,NA
Pinar Aznalcazar,Cistus_crispus,8,7,2,0.8240014972190662
Pinar Aznalcazar,Cistus_crispus,8,8,2,NA
Pinar Aznalcazar,Cistus_crispus,9,2,2,0.8052682804156628
Pinar Aznalcazar,Cistus_crispus,9,6,2,0.012731282606062265
Pinar Aznalcazar,Cistus_salviifolius,1,7,2,1.375437398829985e-162
Pinar Aznalcazar,Cistus_salviifolius,1,10,2,0.25
Pinar Aznalcazar,Cistus_salviifolius,3,6,2,3.027156148913219e-161
Pinar Aznalcazar,Cistus_salviifolius,3,7,2,7.748811426779019e-156
Pinar Aznalcazar,Cistus_salviifolius,3,9,2,3.145403700916812e-125
Pinar Aznalcazar,Cistus_salviifolius,4,9,2,7.244168810901889e-122
Pinar Aznalcazar,Cistus_salviifolius,6,3,2,1.3629592254624842e-126
Pinar Aznalcazar,Cistus_salviifolius,10,10,2,1.3003055333253117e-162
Pinar Aznalcazar,Halimium_halimifolium,10,8,2,NA
Pinar Aznalcazar,Cistus_crispus,1,8,2,0.7643365590492263
Pinar Aznalcazar,Cistus_crispus,2,1,2,0.847310663138023
Pinar Aznalcazar,Cistus_crispus,9,7,2,NA
Pinar Aznalcazar,Cistus_crispus,9,8,2,NA
Pinar Aznalcazar,Halimium_halimifolium,9,6,2,NA
Pinar Aznalcazar,Halimium_halimifolium,10,9,2,NA
Pinar Aznalcazar,Cistus_crispus,1,1,3,5.73697143650164e-20
Pinar Aznalcazar,Cistus_crispus,1,2,3,1.3356904736922314e-63
Pinar Aznalcazar,Cistus_crispus,1,3,3,5.943862657030025e-37
