Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo,Subplot,fruitset,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,3,6,4,3,1,2021,77,17,11,3,March,3-6,0.75,3-6 Cistus_salviifolius,1,4,0,0.9992026154385386,1,1,4
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,3,9,5,5,0,2021,77,17,11,3,March,3-9,1,3-9 Cistus_salviifolius,9,0,3,0.9993909096399266,1,1,9
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,4,4,5,5,0,2021,77,17,11,3,March,4-4,1,4-4 Cistus_salviifolius,16,10,0,0.974462059085433,4,1,7
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,4,9,5,5,0,2021,77,17,11,3,March,4-9,1,4-9 Cistus_salviifolius,2,1,0,0.9994947615980019,1,1,7
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,6,4,5,5,0,2021,77,17,11,3,March,6-4,1,6-4 Cistus_salviifolius,20,9,0,0.9995596527503804,4,1,16
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,6,7,5,5,0,2021,77,17,11,3,March,6-7,1,6-7 Cistus_salviifolius,1,2,0,0.9986438188600553,1,1,6
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,6,10,5,5,0,2021,77,17,11,3,March,6-10,1,6-10 Cistus_salviifolius,1,2,0,0.9992199739424238,1,1,10
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,7,2,5,5,0,2021,77,17,11,3,March,7-2,1,7-2 Cistus_salviifolius,3,2,0,0.9913099762753821,1,1,7
2021-03-18,Pinar Aznalcazar,2,Cistus_salviifolius,9,3,5,5,0,2021,77,17,11,3,March,9-3,1,9-3 Cistus_salviifolius,12,4,0,0.9995559549975271,3,1,20
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,3,6,5,5,0,2021,84,24,12,4,March,3-6,1,3-6 Cistus_salviifolius,18,10,0,4.644511860864875e-8,2,1,15
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,3,8,5,5,0,2021,84,24,12,4,March,3-8,1,3-8 Cistus_salviifolius,12,9,0,7.059916005691528e-12,3,1,7
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,3,9,5,5,0,2021,84,24,12,4,March,3-9,1,3-9 Cistus_salviifolius,27,5,3,1.5371478511538735e-11,2,1,15
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,4,9,5,5,0,2021,84,24,12,4,March,4-9,1,4-9 Cistus_salviifolius,14,10,0,1.3067292066586342e-9,3,1,21
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,6,1,5,5,0,2021,84,24,12,4,March,6-1,1,6-1 Cistus_salviifolius,3,6,0,0.9735033125663863,2,1,5
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,6,3,5,5,0,2021,84,24,12,4,March,6-3,1,6-3 Cistus_salviifolius,6,11,0,0.05163558920827281,2,1,5
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,6,4,5,5,0,2021,84,24,12,4,March,6-4,1,6-4 Cistus_salviifolius,63,22,0,0.9824986364484802,3,1,43
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,6,7,5,5,0,2021,84,24,12,4,March,6-7,1,6-7 Cistus_salviifolius,6,5,0,1.0616553333184364e-5,2,1,14
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,8,3,5,5,0,2021,84,24,12,4,March,8-3,1,8-3 Cistus_salviifolius,7,4,0,0.9917656823619148,NA,1,15
2021-03-25,Pinar Aznalcazar,3,Cistus_salviifolius,8,10,5,5,0,2021,84,24,12,4,March,8-10,1,8-10 Cistus_salviifolius,3,2,0,0.0023769230969553834,NA,1,22
2021-04-07,Pinar Aznalcazar,4,Cistus_salviifolius,2,7,5,5,0,2021,97,37,14,6,April,2-7,1,2-7 Cistus_salviifolius,NA,NA,NA,4.467788817672976e-290,NA,1,9
2021-04-07,Pinar Aznalcazar,4,Cistus_salviifolius,3,8,5,5,0,2021,97,37,14,6,April,3-8,1,3-8 Cistus_salviifolius,NA,NA,NA,9.358913196286557e-292,NA,1,9
2021-04-07,Pinar Aznalcazar,4,Cistus_salviifolius,4,10,5,4,1,2021,97,37,14,6,April,4-10,0.8,4-10 Cistus_salviifolius,NA,NA,NA,NA,NA,NA,NA
2021-04-07,Pinar Aznalcazar,4,Cistus_salviifolius,6,1,5,5,0,2021,97,37,14,6,April,6-1,1,6-1 Cistus_salviifolius,3,4,1,1.57539686320747e-289,1,1,16
2021-04-07,Pinar Aznalcazar,4,Cistus_salviifolius,6,4,5,2,3,2021,97,37,14,6,April,6-4,0.4,6-4 Cistus_salviifolius,NA,NA,NA,2.181098872536907e-255,NA,1,66
2021-04-07,Pinar Aznalcazar,4,Cistus_salviifolius,6,7,5,3,2,2021,97,37,14,6,April,6-7,0.6,6-7 Cistus_salviifolius,NA,NA,NA,3.791320528742118e-302,NA,1,6
2021-04-07,Pinar Aznalcazar,4,Cistus_salviifolius,6,10,5,4,1,2021,97,37,14,6,April,6-10,0.8,6-10 Cistus_salviifolius,NA,NA,NA,1.9828233393480726e-270,NA,1,34
2021-04-07,Pinar Aznalcazar,4,Cistus_salviifolius,8,3,5,4,1,2021,97,37,14,6,April,8-3,0.8,8-3 Cistus_salviifolius,18,5,1,6.340338676849972e-281,2,1,18
2021-04-07,Pinar Aznalcazar,4,Cistus_salviifolius,8,10,5,3,2,2021,97,37,14,6,April,8-10,0.6,8-10 Cistus_salviifolius,NA,NA,NA,2.45491656008623e-299,NA,1,6
