Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences
Pinar Aznalcazar,1,1,Cistus_crispus,1-1 Cistus_crispus,April,13,10,0.7692307692307693,22,8,0,0.9122113260983774,2,2,23,10,NA,2
Pinar Aznalcazar,1,1,Cistus_crispus,1-1 Cistus_crispus,May,5,5,1,9,9,12,0.7215917127090994,1,2,38,2,NA,1
Pinar Aznalcazar,1,2,Cistus_crispus,1-2 Cistus_crispus,April,9,9,1,6,8,0,0.8976411164493961,1,2,12,3,NA,1
Pinar Aznalcazar,1,2,Cistus_crispus,1-2 Cistus_crispus,May,5,4,0.8,33,15,12,0.15605679162875968,2,2,9,11,1,2
Pinar Aznalcazar,1,3,Cistus_crispus,1-3 Cistus_crispus,May,5,5,1,12,12,12,0.45234013762611325,2,2,23,3,1,2
Pinar Aznalcazar,1,7,Cistus_salviifolius,1-7 Cistus_salviifolius,April,5,1,0.2,2,0,12,0.05669825212880953,1,2,21,1,1,1
Pinar Aznalcazar,1,8,Cistus_crispus,1-8 Cistus_crispus,April,5,5,1,NA,NA,NA,0.9911672577415219,NA,1,2,NA,NA,NA
Pinar Aznalcazar,1,9,Cistus_crispus,1-9 Cistus_crispus,April,5,2,0.4,12,22,4,0.9919928477444574,2,1,11,6,1,3
Pinar Aznalcazar,1,10,Cistus_salviifolius,1-10 Cistus_salviifolius,April,1,0,0,NA,NA,NA,0.972972972972973,NA,2,1223,NA,NA,NA
Pinar Aznalcazar,2,1,Cistus_crispus,2-1 Cistus_crispus,April,5,3,0.6,NA,NA,NA,0.9945266761334471,NA,1,6,NA,NA,NA
Pinar Aznalcazar,2,1,Cistus_crispus,2-1 Cistus_crispus,May,5,5,1,21,9,15,0.8859992934145655,2,2,59,7,NA,2
Pinar Aznalcazar,2,3,Cistus_crispus,2-3 Cistus_crispus,May,5,5,1,60,18,21,0.75412310551938,4,2,41,19,5,4
Pinar Aznalcazar,2,6,Cistus_crispus,2-6 Cistus_crispus,April,10,10,1,14,20,0,0.9911583892425327,2,1,24,6,NA,3
Pinar Aznalcazar,2,6,Cistus_crispus,2-6 Cistus_crispus,May,5,5,1,24,27,0,0.7634297508674976,2,1,20,7,NA,2
Pinar Aznalcazar,2,7,Cistus_salviifolius,2-7 Cistus_salviifolius,April,7,7,1,NA,NA,NA,0.17592944559862875,NA,1,11,NA,NA,NA
Pinar Aznalcazar,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,March,9,8,0.8888888888888888,55,34,0,0.21840604421728035,3,1,20,16,NA,3
Pinar Aznalcazar,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,April,1,1,1,NA,NA,NA,0.04518521403049218,NA,2,5,NA,NA,NA
Pinar Aznalcazar,3,7,Cistus_salviifolius,3-7 Cistus_salviifolius,April,1,1,1,15,0,0,0.054631346858004984,1,2,9,2,NA,1
