Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences,prop_homo,prop_hete,prop_unloyal,f_prob,f_flowers
Pinar Aznalcazar,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,March,9,8,0.8888888888888888,55,34,0,0.21840604421728035,3,1,20,16,0,3,1,0,0,0.21840604421728035,20
Pinar Aznalcazar,3,8,Cistus_salviifolius,3-8 Cistus_salviifolius,March,5,5,0.999,36,27,0,0.3134670939072283,3,1,8,11,0,3,1,0,0,0.3134670939072283,8
Pinar Aznalcazar,3,9,Cistus_salviifolius,3-9 Cistus_salviifolius,March,10,10,0.999,90,15,12,0.28363977709365706,2,1,25,26,0,3,0.5555555555555556,0.4444444444444444,0,0.28363977709365706,25
Pinar Aznalcazar,4,4,Cistus_salviifolius,4-4 Cistus_salviifolius,March,5,5,0.999,91,79,0,0.14786810390875468,6,1,7,22,0,9,1,0,0,0.14786810390875468,7
Pinar Aznalcazar,4,9,Cistus_salviifolius,4-9 Cistus_salviifolius,March,10,10,0.999,44,31,0,0.271358796010569,4,1,29,12,0,4,1,0,0,0.271358796010569,29
Pinar Aznalcazar,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,March,5,5,0.999,9,18,0,0.1498701718554095,2,1,5,3,0,2,1,0,0,0.1498701718554095,5
Pinar Aznalcazar,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,April,5,5,0.999,15,20,5,0.03670346812932694,1,2,20,3,0,1,0.8,0.2,0,0.03670346812932694,20
Pinar Aznalcazar,6,3,Cistus_salviifolius,6-3 Cistus_salviifolius,March,5,5,0.999,19,35,0,0.26398613187354264,3,1,7,6,0,3,1,0,0,0.26398613187354264,7
Pinar Aznalcazar,6,4,Cistus_salviifolius,6-4 Cistus_salviifolius,March,10,10,0.999,209,75,0,0.2535201916279973,7,1,61,60,0,8,1,0,0,0.2535201916279973,61
Pinar Aznalcazar,6,7,Cistus_salviifolius,6-7 Cistus_salviifolius,March,10,10,0.999,19,17,0,0.13422120440839022,3,1,20,5,0,3,1,0,0,0.13422120440839022,20
Pinar Aznalcazar,6,10,Cistus_salviifolius,6-10 Cistus_salviifolius,March,5,5,0.999,16,23,0,0.13477820783464378,3,1,10,4,0,2,1,0,0,0.13477820783464378,10
Pinar Aznalcazar,7,2,Cistus_salviifolius,7-2 Cistus_salviifolius,March,5,5,0.999,48,47,0,0.27030275216040905,4,1,16,12,0,6,1,0,0,0.27030275216040905,16
Pinar Aznalcazar,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,March,5,5,0.999,28,16,0,0.28515232015467523,2,1,23,6,0,3,1,0,0,0.28515232015467523,23
Pinar Aznalcazar,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,April,6,5,0.8333333333333334,90,25,5,0.14554318324559884,2,1,19,18,0,2,0.8333333333333334,0.16666666666666666,0,0.14554318324559884,19
Pinar Aznalcazar,8,10,Cistus_salviifolius,8-10 Cistus_salviifolius,March,5,5,0.999,12,8,0,0.08038415637254465,1,1,24,3,0,1,1,0,0,0.08038415637254465,24
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,March,5,5,0.999,117,46,0,0.21823877227788807,5,1,57,30,0,9,1,0,0,0.21823877227788807,57
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,April,7,6,0.8571428571428571,25,20,5,0.08795307002651927,1,1,9,5,0,1,0.8,0.2,0,0.08795307002651927,9
Pinar Puebla,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,March,15,12,0.8,18,6,0,0.36020833086681103,1,1,29,6,0,1,1,0,0,0.36020833086681103,29
Pinar Puebla,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,March,20,19,0.95,148,55,0,0.36324506887744173,7,1,56,22,0,11,1,0,0,0.36324506887744173,56
Pinar Puebla,6,2,Cistus_salviifolius,6-2 Cistus_salviifolius,March,15,12,0.8,115,46,8,0.3612741661255264,7,1,26,21,1,11,0.8518518518518519,0.14814814814814814,0.047619047619047616,0.3612741661255264,26
Pinar Puebla,7,1,Cistus_salviifolius,7-1 Cistus_salviifolius,March,5,5,0.999,71,34,0,0.3828715775056311,4,2,290,18,0,6,1,0,0,0.3828715775056311,290
Pinar Puebla,7,7,Cistus_salviifolius,7-7 Cistus_salviifolius,March,15,14,0.9333333333333333,4,0,4,0.17962374524454017,1,1,35,0,0,0,0,1,NA,0.17962374524454017,35
Pinar Puebla,9,2,Cistus_salviifolius,9-2 Cistus_salviifolius,March,5,4,0.8,14,10,0,0.08556509740837996,1,2,18,4,0,2,1,0,0,0.08556509740837996,18
Pinar Puebla,9,4,Cistus_salviifolius,9-4 Cistus_salviifolius,March,15,15,0.999,35,20,10,0.13401969010727935,3,1,27,5,0,2,0.6666666666666666,0.3333333333333333,0,0.13401969010727935,27
Pinar Puebla,9,10,Cistus_salviifolius,9-10 Cistus_salviifolius,March,15,14,0.9333333333333333,76,4,3,0.11239339770192334,2,1,62,14,0,4,0.5714285714285714,0.42857142857142855,0,0.11239339770192334,62
Pinar Villamanrique Este (Chaparral),1,1,Cistus_salviifolius,1-1 Cistus_salviifolius,April,5,5,0.999,25,5,0,0.9999999998785409,1,1,49,4,0,1,1,0,0,0.9999999998785409,49
Pinar Villamanrique Este (Chaparral),1,8,Cistus_salviifolius,1-8 Cistus_salviifolius,April,15,14,0.9333333333333333,10,15,5,0.9999999999086564,3,1,66,1,0,1,0.75,0.25,0,0.9999999999086564,66
Pinar Villamanrique Este (Chaparral),2,1,Cistus_salviifolius,2-1 Cistus_salviifolius,April,5,4,0.8,2,1,0,0.9999999997463349,1,1,36,2,0,1,1,0,0,0.9999999997463349,36
Pinar Villamanrique Este (Chaparral),2,6,Cistus_salviifolius,2-6 Cistus_salviifolius,April,10,9,0.9,8,4,4,0.9999999998999838,1,1,53,2,0,1,0.5,0.5,0,0.9999999998999838,53
Pinar Villamanrique Este (Chaparral),3,2,Cistus_salviifolius,3-2 Cistus_salviifolius,April,5,5,0.999,2,1,0,0.9999937036934855,1,2,23,1,0,1,1,0,0,0.9999937036934855,23
Pinar Villamanrique Este (Chaparral),3,7,Cistus_salviifolius,3-7 Cistus_salviifolius,April,5,4,0.8,5,10,0,0.999972855308423,1,1,10,1,0,1,1,0,0,0.999972855308423,10
Pinar Villamanrique Este (Chaparral),3,10,Cistus_salviifolius,3-10 Cistus_salviifolius,April,5,5,0.999,4,1,1,0.9999999999153301,1,2,89,3,0,1,0.5,0.5,0,0.9999999999153301,89
Pinar Villamanrique Este (Chaparral),4,9,Cistus_salviifolius,4-9 Cistus_salviifolius,April,5,4,0.8,3,2,0,0.9999999978369729,1,1,48,2,0,1,1,0,0,0.9999999978369729,48
Pinar Villamanrique Este (Chaparral),5,6,Cistus_salviifolius,5-6 Cistus_salviifolius,April,5,5,0.999,18,15,12,0.9999999675898831,3,1,38,3,0,3,0.5555555555555556,0.4444444444444444,0,0.9999999675898831,38
Pinar Villamanrique Este (Chaparral),6,6,Cistus_salviifolius,6-6 Cistus_salviifolius,April,10,9,0.9,18,9,8,0.999999999820048,2,2,104,3,1,2,0.5294117647058824,0.47058823529411764,0.3333333333333333,0.999999999820048,104
Pinar Villamanrique Este (Chaparral),6,8,Cistus_salviifolius,6-8 Cistus_salviifolius,March,5,4,0.8,3,6,6,0.7163432449666718,1,1,5,1,0,1,0.5,0.5,0,0.7163432449666718,5
Pinar Villamanrique Este (Chaparral),7,8,Cistus_salviifolius,7-8 Cistus_salviifolius,April,10,8,0.8,30,20,5,0.9999999999241408,3,1,91,5,1,3,0.8,0.2,0.2,0.9999999999241408,91
Pinar Villamanrique Este (Chaparral),7,9,Cistus_salviifolius,7-9 Cistus_salviifolius,March,5,4,0.8,3,6,6,0.515623600962507,1,2,22,1,0,1,0.5,0.5,0,0.515623600962507,22
Pinar Villamanrique Este (Chaparral),7,9,Cistus_salviifolius,7-9 Cistus_salviifolius,April,10,9,0.9,5,5,5,0.9999390554085819,1,2,68,1,1,1,0.5,0.5,1,0.9999390554085819,68
Pinar Villamanrique Este (Chaparral),9,6,Cistus_salviifolius,9-6 Cistus_salviifolius,March,5,4,0.8,36,6,15,0.9369853799796559,2,2,4,11,4,3,0.2857142857142857,0.7142857142857143,0.36363636363636365,0.9369853799796559,4
Pinar Villamanrique Este (Chaparral),9,6,Cistus_salviifolius,9-6 Cistus_salviifolius,April,5,4,0.8,5,15,0,0.9999812675865813,1,1,13,1,0,1,1,0,0,0.9999812675865813,13
Pinar Villamanrique Sur,1,1,Cistus_salviifolius,1-1 Cistus_salviifolius,April,5,5,0.999,14,2,0,0.24232865289225566,1,2,72,7,0,1,1,0,0,0.24232865289225566,72
Pinar Villamanrique Sur,1,3,Cistus_salviifolius,1-3 Cistus_salviifolius,March,5,5,0.999,5,10,0,0.23210529264189506,1,1,9,1,0,1,1,0,0,0.23210529264189506,9
Pinar Villamanrique Sur,1,6,Cistus_salviifolius,1-6 Cistus_salviifolius,March,10,10,0.999,334,26,5,0.15228155789237344,6,1,45,74,1,9,0.8387096774193549,0.16129032258064516,0.013513513513513514,0.15228155789237344,45
Pinar Villamanrique Sur,1,6,Cistus_salviifolius,1-6 Cistus_salviifolius,April,5,5,0.999,180,20,0,0.6453200715976405,1,1,41,35,0,1,1,0,0,0.6453200715976405,41
Pinar Villamanrique Sur,2,3,Cistus_salviifolius,2-3 Cistus_salviifolius,March,10,8,0.8,20,10,0,0.2636581361876148,1,1,28,4,0,1,1,0,0,0.2636581361876148,28
Pinar Villamanrique Sur,2,9,Cistus_salviifolius,2-9 Cistus_salviifolius,March,5,5,0.999,95,22,0,0.23790247946708953,3,1,27,19,0,3,1,0,0,0.23790247946708953,27
Pinar Villamanrique Sur,3,7,Cistus_salviifolius,3-7 Cistus_salviifolius,March,9,8,0.8888888888888888,24,16,0,0.23264259232286763,2,1,26,6,0,2,1,0,0,0.23264259232286763,26
Pinar Villamanrique Sur,3,9,Cistus_salviifolius,3-9 Cistus_salviifolius,March,5,5,0.999,74,23,0,0.25233034187385806,3,1,6,13,0,4,1,0,0,0.25233034187385806,6
