Year,Day_ISO,Week_ISO,Week,Periodo_hora,Bosque,Codigo_vuelo,Codigo_within_sequence,Polinizador,Planta,X,Y
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,1,Apis_mellifera,Lavandula_stoechas,2,10
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,2,Apis_mellifera,Lavandula_stoechas,2,10
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,3,Apis_mellifera,Lavandula_stoechas,2,10
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,4,Apis_mellifera,Lavandula_stoechas,2,10
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,5,Apis_mellifera,Lavandula_stoechas,2,10
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,6,Apis_mellifera,Lavandula_stoechas,2,10
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,7,Apis_mellifera,Lavandula_stoechas,2,10
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,8,Apis_mellifera,Lavandula_stoechas,2,10
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,1,Anthophora_retusa,Halimium_calycinum,8,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,2,Anthophora_retusa,Halimium_calycinum,8,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,3,Anthophora_retusa,Halimium_calycinum,8,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,4,Anthophora_retusa,Halimium_calycinum,8,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,1,Anthophora_retusa,Halimium_calycinum,8,1
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,2,Anthophora_retusa,Halimium_calycinum,8,1
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,3,Anthophora_retusa,Halimium_calycinum,8,1
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,4,Anthophora_retusa,Halimium_calycinum,8,1
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,5,Anthophora_retusa,Halimium_calycinum,8,1
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,1,Anthophora_retusa,Halimium_calycinum,4,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,2,Anthophora_retusa,Halimium_calycinum,4,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,3,Anthophora_retusa,Halimium_calycinum,4,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,4,Anthophora_retusa,Halimium_calycinum,4,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,5,Anthophora_retusa,Halimium_calycinum,4,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,6,Anthophora_retusa,Halimium_calycinum,4,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,7,Anthophora_retusa,Halimium_calycinum,4,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,8,Anthophora_retusa,Halimium_calycinum,4,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,9,Anthophora_retusa,Halimium_calycinum,4,4
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,10,Anthophora_retusa,Halimium_calycinum,4,4
2021,61,09,1,12:00:00,Pinar Hinojos,HV1-02,1,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,12:00:00,Pinar Hinojos,HV1-02,2,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,12:00:00,Pinar Hinojos,HV1-02,3,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,12:00:00,Pinar Hinojos,HV1-02,4,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,12:00:00,Pinar Hinojos,HV1-02,5,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,12:00:00,Pinar Hinojos,HV1-02,6,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,12:00:00,Pinar Hinojos,HV1-02,7,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,12:00:00,Pinar Hinojos,HV1-02,8,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,12:00:00,Pinar Hinojos,HV1-02,9,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,12:00:00,Pinar Hinojos,HV1-02,10,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,12:00:00,Pinar Hinojos,HV1-02,11,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,13:00:00,Pinar Hinojos,HV1-03,1,Apis_mellifera,Ulex_australis,7,3
2021,61,09,1,13:00:00,Pinar Hinojos,HV1-03,2,Apis_mellifera,Ulex_australis,7,3
2021,61,09,1,13:00:00,Pinar Hinojos,HV1-03,3,Apis_mellifera,Ulex_australis,7,3
2021,61,09,1,13:00:00,Pinar Hinojos,HV1-03,4,Apis_mellifera,Ulex_australis,7,3
2021,61,09,1,13:00:00,Pinar Hinojos,HV1-03,5,Apis_mellifera,Ulex_australis,7,3
2021,61,09,1,13:00:00,Pinar Hinojos,HV1-03,6,Apis_mellifera,Ulex_australis,7,3
2021,61,09,1,13:00:00,Pinar Hinojos,HV1-03,7,Apis_mellifera,Ulex_australis,7,3
2021,61,09,1,13:00:00,Pinar Hinojos,HV1-03,8,Apis_mellifera,Ulex_australis,7,3
2021,61,09,1,13:00:00,Pinar Hinojos,HV1-03,1,Apis_mellifera,Ulex_australis,7,4
2021,61,09,1,13:00:00,Pinar Hinojos,HV1-03,2,Apis_mellifera,Ulex_australis,7,4
2021,61,09,1,13:00:00,Pinar Hinojos,HV1-03,3,Apis_mellifera,Ulex_australis,7,4
2021,61,09,1,13:00:00,Pinar Hinojos,HV1-03,4,Apis_mellifera,Ulex_australis,7,4
2021,61,09,1,13:30:00,Pinar Hinojos,HV1-04,1,Anthophora_retusa,Halimium_calycinum,8,1
2021,61,09,1,13:30:00,Pinar Hinojos,HV1-04,2,Anthophora_retusa,Halimium_calycinum,8,1
2021,61,09,1,13:30:00,Pinar Hinojos,HV1-04,3,Anthophora_retusa,Halimium_calycinum,8,1
2021,61,09,1,13:30:00,Pinar Hinojos,HV1-04,1,Anthophora_retusa,Ulex_australis,7,3
2021,61,09,1,13:30:00,Pinar Hinojos,HV1-04,2,Anthophora_retusa,Ulex_australis,7,3
2021,61,09,1,13:30:00,Pinar Hinojos,HV1-04,3,Anthophora_retusa,Ulex_australis,7,3
2021,61,09,1,13:30:00,Pinar Hinojos,HV1-04,4,Anthophora_retusa,Ulex_australis,7,3
2021,61,09,1,13:30:00,Pinar Hinojos,HV1-04,1,Anthophora_retusa,Halimium_calycinum,8,4
2021,61,09,1,13:30:00,Pinar Hinojos,HV1-04,2,Anthophora_retusa,Halimium_calycinum,8,4
2021,61,09,1,13:30:00,Pinar Hinojos,HV1-04,3,Anthophora_retusa,Halimium_calycinum,8,4
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,1,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,2,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,3,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,4,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,5,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,6,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,7,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,8,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,9,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,10,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,11,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,12,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,13,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,14,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,15,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,16,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,17,Bombus_terrestris,Ulex_australis,9,5
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,1,Bombus_terrestris,Ulex_australis,8,4
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,2,Bombus_terrestris,Ulex_australis,8,4
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,1,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,2,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,3,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,4,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,5,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,6,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,7,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,8,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,14:00:00,Pinar Hinojos,HV1-05,9,Bombus_terrestris,Ulex_australis,6,4
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,1,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,2,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,3,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,4,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,5,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,6,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,7,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,8,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,9,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,10,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,11,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,12,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,13,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,14,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,15,Bombus_terrestris,Ulex_australis,5,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,1,Bombus_terrestris,Ulex_australis,4,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,2,Bombus_terrestris,Ulex_australis,4,1
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,1,Bombus_terrestris,Ulex_australis,2,2
2021,61,09,1,14:30:00,Pinar Hinojos,HV1-06,2,Bombus_terrestris,Ulex_australis,2,2
2021,70,10,2,11:20:00,Pinar Hinojos,HV2-01,1,Melanostoma_sp,Halimium_calycinum,2,1
2021,70,10,2,11:20:00,Pinar Hinojos,HV2-01,2,Melanostoma_sp,Halimium_calycinum,2,1
2021,70,10,2,11:20:00,Pinar Hinojos,HV2-01,3,Melanostoma_sp,Halimium_calycinum,2,1
2021,70,10,2,11:20:00,Pinar Hinojos,HV2-01,4,Melanostoma_sp,Halimium_calycinum,2,1
2021,70,10,2,11:35:00,Pinar Hinojos,HV2-02,1,Episyrphus_balteatus,Halimium_calycinum,2,1
2021,70,10,2,11:35:00,Pinar Hinojos,HV2-02,2,Episyrphus_balteatus,Halimium_calycinum,2,1
2021,70,10,2,11:50:00,Pinar Hinojos,HV2-03,1,Anthophora_sp,Ulex_australis,3,3
2021,70,10,2,11:50:00,Pinar Hinojos,HV2-03,2,Anthophora_sp,Ulex_australis,3,3
2021,70,10,2,11:50:00,Pinar Hinojos,HV2-03,3,Anthophora_sp,Ulex_australis,3,3
2021,70,10,2,11:50:00,Pinar Hinojos,HV2-03,4,Anthophora_sp,Ulex_australis,3,3
2021,70,10,2,11:50:00,Pinar Hinojos,HV2-03,5,Anthophora_sp,Ulex_australis,3,3
2021,70,10,2,11:50:00,Pinar Hinojos,HV2-03,6,Anthophora_sp,Ulex_australis,3,3
2021,70,10,2,11:50:00,Pinar Hinojos,HV2-03,7,Anthophora_sp,Ulex_australis,3,3
2021,70,10,2,12:30:00,Pinar Hinojos,HV2-04,1,Lasioglossum_morio,Halimium_calycinum,2,1
2021,70,10,2,12:30:00,Pinar Hinojos,HV2-04,2,Lasioglossum_morio,Halimium_calycinum,2,1
2021,70,10,2,12:40:00,Pinar Hinojos,HV2-05,1,Lasioglossum_morio,Halimium_calycinum,5,4
2021,70,10,2,12:40:00,Pinar Hinojos,HV2-05,2,Lasioglossum_morio,Halimium_calycinum,5,4
2021,70,10,2,12:55:00,Pinar Hinojos,HV2-05,1,Lasioglossum_morio,Halimium_calycinum,8,4
2021,70,10,2,12:55:00,Pinar Hinojos,HV2-05,2,Lasioglossum_morio,Halimium_calycinum,8,4
2021,70,10,2,12:55:00,Pinar Hinojos,HV2-05,3,Lasioglossum_morio,Halimium_calycinum,8,4
2021,70,10,2,12:55:00,Pinar Hinojos,HV2-05,4,Lasioglossum_morio,Halimium_calycinum,8,4
2021,70,10,2,12:55:00,Pinar Hinojos,HV2-05,5,Lasioglossum_morio,Halimium_calycinum,8,4
2021,70,10,2,12:55:00,Pinar Hinojos,HV2-05,6,Lasioglossum_morio,Halimium_calycinum,8,4
2021,70,10,2,13:40:00,Pinar Hinojos,HV2-06,1,Lasioglossum_morio,Halimium_calycinum,8,4
2021,70,10,2,13:40:00,Pinar Hinojos,HV2-06,2,Lasioglossum_morio,Halimium_calycinum,8,4
2021,70,10,2,14:00:00,Pinar Hinojos,HV2-07,1,Lasioglossum_morio,Halimium_calycinum,8,4
2021,70,10,2,14:00:00,Pinar Hinojos,HV2-07,2,Lasioglossum_morio,Halimium_calycinum,8,4
2021,70,10,2,14:00:00,Pinar Hinojos,HV2-07,3,Lasioglossum_morio,Halimium_calycinum,8,4
2021,78,11,3,11:23:00,Pinar Hinojos,HV3-01,1,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,11:23:00,Pinar Hinojos,HV3-01,2,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,11:39:00,Pinar Hinojos,HV3-02,1,Lasioglossum_sp,Halimium_calycinum,5,4
2021,78,11,3,11:39:00,Pinar Hinojos,HV3-02,1,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,11:39:00,Pinar Hinojos,HV3-02,2,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,1,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,2,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,3,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,4,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,5,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,6,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,7,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,8,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,9,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,10,Lasioglossum_sp,Halimium_calycinum,5,3
