"","Andrena_flavipes_AV7-18","Andrena_flavipes_AV7-19","Apis_mellifera_AV5-05","Apis_mellifera_AV5-06","Apis_mellifera_AV5-09","Apis_mellifera_AV5-13","Apis_mellifera_AV5-17","Apis_mellifera_AV6-03","Apis_mellifera_AV6-10","Apis_mellifera_AV6-13","Bombylella_atra_AV5-18","Bombylella_atra_AV6-05","Colletes_sp_AV7-12","Dasypoda_albimana_AV7-11","Dasypoda_albimana_AV7-22","Dasypoda_albimana_AV8-02","Dasypoda_cingulata_AV5-01","Dasypoda_cingulata_AV5-03","Dasypoda_cingulata_AV5-12","Dasypoda_cingulata_AV5-14","Dasypoda_cingulata_AV5-15","Dasypoda_cingulata_AV6-01","Dasypoda_cingulata_AV7-01","Dasypoda_cingulata_AV7-03","Dasypoda_sp_AV5-19","Dasypoda_sp_AV5-20","Dasypoda_sp_AV6-06","Lasioglossum_immunitum_AV6-02","Lasioglossum_immunitum_AV7-05","Lasioglossum_morio_AV5-02","Lasioglossum_morio_AV5-04","Lasioglossum_morio_AV5-08","Xylocopa_cantabrita_AV5-07","Xylocopa_cantabrita_AV5-10","Xylocopa_cantabrita_AV5-20","Xylocopa_cantabrita_AV5-21","Xylocopa_cantabrita_AV7-10","Xylocopa_cantabrita_AV7-14","Xylocopa_cantabrita_AV7-15","Xylocopa_cantabrita_AV7-16","Xylocopa_cantabrita_AV7-17","Xylocopa_cantabrita_AV7-20","Xylocopa_cantabrita_AV7-21","Xylocopa_cantabrita_AV8-01","Xylocopa_cantabrita_AV8-03"
"1-1 Cistus_crispus",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0
"1-2 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0
"1-3 Cistus_crispus",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1-7 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"1-8 Cistus_crispus",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1-9 Cistus_crispus",3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"2-1 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-3 Cistus_crispus",0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"2-5 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-6 Cistus_crispus",0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"3-1 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"4-7 Cistus_crispus",9,0,0,0,3,18,22,0,0,0,0,3,0,0,0,0,8,2,6,3,0,0,0,0,9,0,5,2,0,2,0,9,0,3,3,2,2,0,1,0,0,0,3,0,0
"4-8 Cistus_crispus",0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-7 Cistus_crispus",0,0,9,0,4,2,5,5,0,0,1,3,0,0,0,3,7,2,0,0,0,1,0,0,3,0,12,7,0,3,0,7,2,0,3,5,5,0,9,0,0,0,0,5,0
"5-8 Cistus_crispus",0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-2 Cistus_crispus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-7 Cistus_crispus",0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,0,3,0,0,0,2,0,0
"7-3 Cistus_crispus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"7-6 Cistus_crispus",0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,1
"7-7 Cistus_crispus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,3,0,0,0,1
"7-8 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,3
