"","Andrena_nigroaenea_AV3-20","Andrena_nigroaenea_AV3-21","Andrena_nigroaenea_AV3-22","Andrena_nigroaenea_AV3-28","Apis_mellifera_AV4-05","Bombus_terrestris_AV2-11","Bombus_terrestris_AV3-27","Bombus_terrestris_AV4-04","Dasypoda_cingulata_AV5-15","Eristalis_similis_AV3-07","Eristalis_similis_AV3-10","Eristalis_similis_AV3-17","Eristalis_sp_AV2-18","Eristalis_tenax_AV4-06","Lasioglossum_immunitum_AV2-02","Lasioglossum_immunitum_AV2-03","Lasioglossum_immunitum_AV2-04","Lasioglossum_immunitum_AV2-09","Lasioglossum_immunitum_AV3-02","Lasioglossum_mediterraneum_AV2-19","Lasioglossum_mediterraneum_AV3-25","Lasioglossum_morio_AV2-10","Lasioglossum_morio_AV2-12","Lasioglossum_sp_AV2-14","Lasioglossum_sp_AV2-16","Lasioglossum_sp_AV3-01","Lasioglossum_sp_AV3-08","Lasioglossum_sp_AV3-09","Lasioglossum_sp_AV3-12","Lasioglossum_sp_AV3-18","Nomada_merceti_AV2-22"
"1-7 Cistus_salviifolius",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-7 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"3-6 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0
"3-7 Cistus_salviifolius",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3-8 Cistus_salviifolius",0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"3-9 Cistus_salviifolius",0,0,3,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-10 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-4 Cistus_salviifolius",0,0,0,5,0,0,0,0,0,2,0,1,1,0,0,7,4,0,0,1,0,0,0,3,0,0,0,1,0,0,0
"4-9 Cistus_salviifolius",0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
"5-4 Cistus_salviifolius",0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
"6-1 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6-10 Cistus_salviifolius",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"6-3 Cistus_salviifolius",0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-4 Cistus_salviifolius",0,0,0,23,0,0,0,0,0,0,0,11,4,0,0,1,0,0,0,8,0,0,0,0,0,0,0,8,0,1,7
"6-7 Cistus_salviifolius",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"6-9 Cistus_salviifolius",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-2 Cistus_salviifolius",0,0,0,5,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,2,2,0,0
"7-4 Cistus_salviifolius",0,0,0,3,15,0,0,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,2,0
"8-10 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"8-3 Cistus_salviifolius",0,0,0,0,17,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
"9-3 Cistus_salviifolius",0,3,0,6,0,0,0,0,0,4,6,0,0,5,2,0,0,1,0,0,0,6,0,0,3,0,4,0,0,0,0
