"","Anthophora_bimaculata_AV7-13","Bombus_terrestris_AV6-04","Bombus_terrestris_AV6-07","Bombus_terrestris_AV6-08","Bombus_terrestris_AV7-06","Bombus_terrestris_AV7-07","Bombus_terrestris_AV7-08","Bombus_terrestris_AV7-09","Dasypoda_cingulata_AV5-15","Dasypoda_cingulata_AV5-16","Dasypoda_cingulata_AV6-12","Dasypoda_cingulata_AV7-01","Dasypoda_cingulata_AV7-02","Lasioglossum_albocinctum_AV6-09","Lasioglossum_immunitum_AV7-04","Lasioglossum_immunitum_AV7-05","Lasioglossum_morio_AV6-11","Xylocopa_cantabrita_AV7-14","Xylocopa_cantabrita_AV7-15","Xylocopa_cantabrita_AV7-20","Xylocopa_cantabrita_AV7-21"
"1-1 Galactites_tomentosus",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1-2 Galactites_tomentosus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,9,0
"1-3 Galactites_tomentosus",0,0,0,3,2,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0
"1-4 Galactites_tomentosus",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1-5 Galactites_tomentosus",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-6 Galactites_tomentosus",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2-1 Galactites_tomentosus",0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0
"2-2 Galactites_tomentosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2-3 Galactites_tomentosus",0,0,0,0,3,0,4,0,0,0,1,4,0,0,0,2,0,0,0,3,0
"2-4 Galactites_tomentosus",3,0,0,2,0,0,3,0,0,1,0,0,5,3,0,0,0,0,0,0,0
"2-5 Galactites_tomentosus",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3-1 Galactites_tomentosus",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3-2 Galactites_tomentosus",0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"3-3 Galactites_tomentosus",0,0,0,0,1,1,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0
"3-4 Galactites_tomentosus",1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0
"3-5 Galactites_tomentosus",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
"3-6 Galactites_tomentosus",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-2 Galactites_tomentosus",0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"4-3 Galactites_tomentosus",0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"4-5 Galactites_tomentosus",0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
"5-1 Galactites_tomentosus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-2 Galactites_tomentosus",0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,3,6,0
"5-3 Galactites_tomentosus",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"5-4 Galactites_tomentosus",0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"5-5 Galactites_tomentosus",0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-6 Galactites_tomentosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"5-7 Galactites_tomentosus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-8 Galactites_tomentosus",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-2 Galactites_tomentosus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-7 Galactites_tomentosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7-2 Galactites_tomentosus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
