"","Anthophora_retusa_HV1-01","Anthophora_retusa_HV1-04","Anthophora_sp_HV4-02","Anthophora_sp_HV5-04","Episyrphus_balteatus_HV2-02","Episyrphus_balteatus_HV3-05","Episyrphus_balteatus_HV4-01","Lasioglossum_morio_HV2-04","Lasioglossum_morio_HV2-05","Lasioglossum_morio_HV2-06","Lasioglossum_morio_HV2-07","Lasioglossum_morio_HV3-04","Lasioglossum_sp_HV3-01","Lasioglossum_sp_HV3-02","Lasioglossum_sp_HV3-03","Lasioglossum_sp_HV3-06","Lasioglossum_sp_HV3-07","Melanostoma_sp_HV2-01"
"2-1 Halimium_calycinum",0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4
"4-4 Halimium_calycinum",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-5 Halimium_calycinum",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"5-3 Halimium_calycinum",0,0,0,0,0,0,0,0,0,0,0,13,2,2,17,0,0,0
"5-4 Halimium_calycinum",0,0,0,0,0,5,1,0,2,0,0,7,0,1,0,0,0,0
"5-5 Halimium_calycinum",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-1 Halimium_calycinum",5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"8-2 Halimium_calycinum",0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"8-4 Halimium_calycinum",4,3,2,0,0,0,0,0,6,2,3,0,0,0,0,0,6,0
"9-4 Halimium_calycinum",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
