"","Andrena_alluaudi_HV6-01","Andrena_alluaudi_HV6-02","Andrena_alluaudi_HV6-03","Andrena_alluaudi_HV6-04","Andrena_alluaudi_HV6-05","Andrena_alluaudi_HV6-09","Andrena_alluaudi_HV6-10","Andrena_alluaudi_HV7-07","Andrena_alluaudi_HV7-08","Andrena_alluaudi_HV7-09","Andrena_alluaudi_HV8-01","Dasypoda_dusmeti_HV6-06","Dasypoda_dusmeti_HV6-08","Lasioglossum_immunitum_HV7-01","Lasioglossum_immunitum_HV7-02","Lasioglossum_immunitum_HV7-03","Lasioglossum_immunitum_HV7-04","Lasioglossum_immunitum_HV7-05","Lasioglossum_immunitum_HV7-06","Lasioglossum_immunitum_HV7-11","Panurgus_calcaratus_HV7-10"
"1-4 Leontodon_longirostris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-5 Leontodon_longirostris",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1
"1-6 Leontodon_longirostris",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5
"1-7 Leontodon_longirostris",8,7,3,3,15,6,8,1,0,0,6,0,0,0,2,2,0,3,1,0,2
"1-8 Leontodon_longirostris",5,7,6,3,0,7,3,0,0,0,0,0,0,0,3,1,3,0,0,0,0
"1-9 Leontodon_longirostris",0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-4 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2-5 Leontodon_longirostris",0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,4,3
"2-6 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2
"2-7 Leontodon_longirostris",0,3,0,1,0,1,5,3,2,0,2,0,0,0,6,3,0,2,5,0,0
"2-8 Leontodon_longirostris",0,11,5,6,1,9,3,0,0,2,1,0,1,0,0,1,0,0,0,0,0
"2-9 Leontodon_longirostris",0,7,2,6,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"3-5 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0
"3-6 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"3-8 Leontodon_longirostris",0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"3-9 Leontodon_longirostris",0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-10 Leontodon_longirostris",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-5 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"4-6 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4-7 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4-8 Leontodon_longirostris",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-9 Leontodon_longirostris",0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"5-10 Leontodon_longirostris",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
