"","Panurgus_calcaratus_PV6-05","Panurgus_calcaratus_PV6-07","Panurgus_calcaratus_PV6-08","Panurgus_perezi_PV6-04"
"10-7 Aetheorhiza_bulbosa",0,0,1,0
"2-6 Aetheorhiza_bulbosa",0,3,0,0
"3-2 Aetheorhiza_bulbosa",0,0,0,4
"3-4 Aetheorhiza_bulbosa",0,0,0,2
"3-5 Aetheorhiza_bulbosa",0,0,0,2
"3-6 Aetheorhiza_bulbosa",0,4,0,0
"4-3 Aetheorhiza_bulbosa",0,0,0,3
"4-5 Aetheorhiza_bulbosa",0,0,0,1
"4-6 Aetheorhiza_bulbosa",0,0,0,3
"5-4 Aetheorhiza_bulbosa",0,0,0,1
"6-3 Aetheorhiza_bulbosa",4,0,0,0
"7-2 Aetheorhiza_bulbosa",3,0,0,0
"8-2 Aetheorhiza_bulbosa",6,0,0,0
"8-3 Aetheorhiza_bulbosa",2,0,0,0
