"","Andrena_nigroaenea_PV2-09","Andrena_nigroaenea_PV2-10","Andrena_nigroaenea_PV2-11","Andrena_nigroaenea_PV3-07","Andrena_nigroaenea_PV3-11","Andrena_nigroaenea_PV3-15","Andrena_nigroaenea_PV3-20","Andrena_sp_PV1-12","Anthophora_dispar_PV1-16","Apis_mellifera_PV1-01","Apis_mellifera_PV1-02","Apis_mellifera_PV1-04","Apis_mellifera_PV1-06","Apis_mellifera_PV1-14","Apis_mellifera_PV2-03","Apis_mellifera_PV2-04","Apis_mellifera_PV2-06","Empis_sp_PV2-02","Empis_tesellata_PV1-08","Episyrphus_balteatus_PV1-09","Eristalis_similis_PV1-11","Eristalis_similis_PV1-13","Eristalis_tenax_PV1-10","Eristalis_tenax_PV1-15","Eucera_collaris_PV3-23","Eucera_sp_PV1-07","Hymenoptera_sp_PV1-03","Hymenoptera_sp_PV1-05","NA_NA_PV2-01","NA_NA_PV2-05","Xylocopa_cantabrita_PV5-08"
"2-10 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"3-6 Cistus_salviifolius",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-1 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4-3 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"4-6 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"4-8 Cistus_salviifolius",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-7 Cistus_salviifolius",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-1 Cistus_salviifolius",0,4,3,0,0,2,0,0,0,1,0,0,0,2,1,0,4,1,4,2,0,2,5,2,0,0,0,0,0,0,0
"6-2 Cistus_salviifolius",0,2,3,2,0,2,0,0,0,0,0,0,2,3,1,0,0,1,1,0,0,0,5,0,0,3,0,1,0,0,0
"6-7 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-1 Cistus_salviifolius",0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"7-4 Cistus_salviifolius",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-7 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8-10 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-10 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"9-2 Cistus_salviifolius",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-3 Cistus_salviifolius",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-4 Cistus_salviifolius",4,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
