"","Andrena_nigroaenea_PV3-07","Anthophora_dispar_PV1-16","Anthophora_dispar_PV3-01","Anthophora_dispar_PV3-02","Anthophora_dispar_PV3-05","Anthophora_dispar_PV3-13","Anthophora_dispar_PV3-14","Anthophora_dispar_PV3-16","Anthophora_sp_PV2-12","Anthophora_sp_PV3-09","Anthophora_sp_PV3-17","Anthophora_sp_PV3-18","Anthophora_sp_PV3-24","Apis_mellifera_PV5-15","Apis_mellifera_PV5-16","Apis_mellifera_PV6-11","Bombus_terrestris_PV5-18","Bombus_terrestris_PV6-01","Bombus_terrestris_PV6-02","Bombus_terrestris_PV6-06","Dischistus_biroi_PV2-07","Dischistus_biroi_PV2-08","Eucera_collaris_PV3-23","Eucera_collaris_PV3-25","Eucera_collaris_PV3-27","Eucera_hispaliensis_PV3-03","NA_NA_PV2-05","Xylocopa_cantabrita_PV3-04","Xylocopa_cantabrita_PV3-06","Xylocopa_cantabrita_PV3-08","Xylocopa_cantabrita_PV3-10","Xylocopa_cantabrita_PV3-12","Xylocopa_cantabrita_PV3-19","Xylocopa_cantabrita_PV3-21","Xylocopa_cantabrita_PV3-22","Xylocopa_cantabrita_PV3-26","Xylocopa_cantabrita_PV3-28","Xylocopa_cantabrita_PV3-29","Xylocopa_cantabrita_PV4-01","Xylocopa_cantabrita_PV4-04","Xylocopa_cantabrita_PV4-05","Xylocopa_cantabrita_PV4-08","Xylocopa_cantabrita_PV5-01","Xylocopa_cantabrita_PV5-07","Xylocopa_cantabrita_PV5-14","Xylocopa_cantabrita_PV6-03","Xylocopa_cantabrita_PV6-10"
"3-10 Lavandula_stoechas",0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-7 Lavandula_stoechas",0,0,0,0,0,0,0,14,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,8,9,0,0
"4-8 Lavandula_stoechas",0,0,0,0,0,0,0,0,0,0,0,29,8,15,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,18,0,0,0,13,0,0,0,0,0,0,5,6,10,13,0,0
"6-4 Lavandula_stoechas",0,0,0,0,0,0,23,23,0,0,15,3,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,10,0,0,4,0,0,0,4,0,0
"6-6 Lavandula_stoechas",0,0,0,0,8,0,7,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,30,0,3,32,0,0,17,0,0,14,56,0,0,0,0,0,0,0,0,0
"6-7 Lavandula_stoechas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-1 Lavandula_stoechas",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0
"7-4 Lavandula_stoechas",0,0,0,22,27,0,20,23,18,17,10,8,0,0,0,0,0,2,3,0,1,1,0,0,0,24,0,0,0,5,19,3,0,0,0,36,0,35,0,3,0,0,0,0,0,0,0
"7-5 Lavandula_stoechas",0,0,7,0,0,0,0,0,0,0,17,0,0,0,2,6,0,0,0,0,0,0,0,0,0,14,0,0,0,0,10,0,0,0,0,24,0,22,0,0,0,0,0,6,0,0,0
"7-6 Lavandula_stoechas",0,0,0,0,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,11,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-8 Lavandula_stoechas",0,0,0,0,27,0,0,0,13,0,0,0,0,0,0,5,5,0,0,0,0,0,4,0,10,0,0,5,2,3,0,0,0,0,0,0,1,5,0,0,0,0,0,16,0,0,0
"7-9 Lavandula_stoechas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-4 Lavandula_stoechas",0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"9-3 Lavandula_stoechas",0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1
"9-5 Lavandula_stoechas",0,0,0,10,0,0,0,15,0,4,0,11,0,0,2,0,0,15,0,18,0,0,0,0,0,0,2,0,10,6,0,0,0,3,0,0,0,70,0,0,0,0,0,0,0,0,5
"9-6 Lavandula_stoechas",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,1,0,0,0,0,43,0,0,0,0,0,0,0,0,0
