"","Andrena_rhyssonota_PV4-02","Andrena_rhyssonota_PV4-03","Empis_sp_PV4-07","Eupeodes_sp_PV5-17","Osmia_uncicornis_PV7-01","Panurgus_calcaratus_PV5-02","Panurgus_calcaratus_PV5-03","Panurgus_calcaratus_PV5-11","Panurgus_calcaratus_PV5-12","Panurgus_perezi_PV4-06","Panurgus_perezi_PV5-04","Panurgus_perezi_PV5-05","Panurgus_perezi_PV5-06","Panurgus_perezi_PV5-09","Panurgus_perezi_PV5-10","Panurgus_perezi_PV5-13","Panurgus_perezi_PV7-02"
"10-1 Leontodon_longirostris",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-8 Leontodon_longirostris",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,0
"10-9 Leontodon_longirostris",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,17,0
"2-3 Leontodon_longirostris",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-4 Leontodon_longirostris",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-6 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"2-7 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"2-9 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"3-1 Leontodon_longirostris",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-3 Leontodon_longirostris",4,0,0,0,0,4,6,0,0,2,0,0,0,0,0,0,0
"3-4 Leontodon_longirostris",0,0,0,0,0,11,4,0,0,12,0,0,0,0,0,0,0
"3-7 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
"3-8 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0
"3-9 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"4-1 Leontodon_longirostris",0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"4-2 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"4-3 Leontodon_longirostris",0,0,0,0,0,11,5,0,0,3,2,0,0,0,0,0,0
"4-4 Leontodon_longirostris",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"4-5 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4-6 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5-10 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"5-2 Leontodon_longirostris",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5-3 Leontodon_longirostris",0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0
"5-5 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"5-6 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"5-9 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"6-3 Leontodon_longirostris",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"6-6 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"6-7 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"6-8 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"6-9 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"7-2 Leontodon_longirostris",0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0
"7-3 Leontodon_longirostris",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"7-8 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"8-3 Leontodon_longirostris",0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"8-4 Leontodon_longirostris",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"8-8 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"9-8 Leontodon_longirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"9-9 Leontodon_longirostris",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
