"","Andrena_flavipes_VEV7-13","Andrena_flavipes_VEV8-06","Andrena_flavipes_VEV8-13","Andrena_hispania_VEV6-12","Anthophora_cantabrita_VEV7-01","Apis_mellifera_VEV6-08","Apis_mellifera_VEV6-14","Apis_mellifera_VEV6-19","Apis_mellifera_VEV7-03","Apis_mellifera_VEV7-06","Apis_mellifera_VEV7-14","Apis_mellifera_VEV7-20","Apis_mellifera_VEV8-03","Apis_mellifera_VEV8-05","Bombylella_atra_VEV6-17","Bombylella_atra_VEV7-18","Ceratina_cucurbitina_VEV7-05","Dasypoda_albimana_VEV5-07","Dasypoda_albimana_VEV6-02","Dasypoda_albimana_VEV6-03","Dasypoda_albimana_VEV6-04","Dasypoda_albimana_VEV6-05","Dasypoda_albimana_VEV6-06","Dasypoda_albimana_VEV6-13","Dasypoda_albimana_VEV6-16","Dasypoda_albimana_VEV7-04","Dasypoda_albimana_VEV7-11","Dasypoda_albimana_VEV7-12","Dasypoda_albimana_VEV7-17","Dasypoda_albimana_VEV7-19","Dasypoda_albimana_VEV8-09","Dasypoda_cingulata_VEV5-01","Dasypoda_cingulata_VEV5-03","Dasypoda_cingulata_VEV6-07","Dasypoda_cingulata_VEV6-09","Dasypoda_cingulata_VEV6-10","Dasypoda_cingulata_VEV6-11","Dasypoda_cingulata_VEV6-15","Dasypoda_cingulata_VEV7-02","Dasypoda_cingulata_VEV7-07","Dasypoda_cingulata_VEV7-10","Dasypoda_cingulata_VEV7-16","Dasypoda_cingulata_VEV8-02","Dasypoda_cingulata_VEV8-07","Dasypoda_cingulata_VEV8-08","Eucera_clypeata_VEV8-14","Lasioglossum_immunitum_VEV7-15","Lasioglossum_morio_VEV8-01","Panurgus_perezi_VEV8-04","Panurgus_perezi_VEV8-10","Panurgus_perezi_VEV8-11","Panurgus_perezi_VEV8-12","Pieris_brassicae_VEV6-18","Xylocopa_cantabrita_VEV6-01"
"1-2 Cistus_crispus",0,0,2,0,0,0,1,1,8,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
"1-3 Cistus_crispus",0,1,7,0,0,0,0,1,15,0,11,12,0,1,0,10,0,0,0,0,0,0,0,5,0,4,6,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,2,2,3,0,0,0,0,0
"1-4 Cistus_crispus",0,0,2,2,1,0,0,0,15,0,10,8,0,6,0,5,0,0,3,0,0,0,0,0,0,11,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,16,0,1,3,0,0,0,0,0
"1-7 Cistus_crispus",0,6,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-7 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-3 Cistus_crispus",0,2,2,0,2,0,0,2,15,0,9,11,4,5,0,0,0,0,1,0,0,1,0,0,0,0,9,7,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,6,0,0,0,0,0
"2-4 Cistus_crispus",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-5 Cistus_crispus",0,0,3,0,0,0,0,0,9,0,0,2,0,8,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"3-1 Cistus_crispus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"3-3 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
