"","Andrena_granulosa_VEV3-05","Anthophora_dispar_VEV2-13","Anthophora_dispar_VEV2-14","Apis_mellifera_VEV2-15","Apis_mellifera_VEV2-16","Apis_mellifera_VEV2-20","Apis_mellifera_VEV3-04","Apis_mellifera_VEV3-07","Apis_mellifera_VEV3-10","Apis_mellifera_VEV3-15","Apis_mellifera_VEV4-01","Apis_mellifera_VEV4-02","Apis_mellifera_VEV4-09","Apis_mellifera_VEV5-13","Empis_tesellata_VEV2-04","Episyrphus_balteatus_VEV2-02","Eristalinus_taeniops_VEV3-08","Eristalis_tenax_VEV5-04","Eucera_sp_VEV2-05","Lasioglossum_immunitum_VEV3-02","Lasioglossum_immunitum_VEV3-12","Lasioglossum_immunitum_VEV4-06","Lasioglossum_morio_VEV2-01","Lasioglossum_morio_VEV2-06","Lasioglossum_sp_VEV2-09","Lasioglossum_sp_VEV2-17","Lasioglossum_sp_VEV2-18","Lasioglossum_sp_VEV2-21","Lasioglossum_sp_VEV3-01","Lasioglossum_sp_VEV3-09","Lasioglossum_sp_VEV3-11","Lasioglossum_sp_VEV3-17","Panurgus_calcaratus_VEV4-07","Xylocopa_cantabrita_VEV2-03","Xylocopa_cantabrita_VEV2-19","Xylocopa_cantabrita_VEV4-05"
"10-10 Cistus_ladanifer",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-2 Cistus_ladanifer",0,3,6,0,0,0,0,4,15,2,0,0,0,0,3,0,12,0,2,0,0,0,0,3,0,0,3,18,0,0,0,0,0,4,0,0
"10-6 Cistus_ladanifer",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-8 Cistus_ladanifer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,4,1,6,0,0,0,0,0
"10-9 Cistus_ladanifer",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2
"3-9 Cistus_ladanifer",0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4-10 Cistus_ladanifer",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-10 Cistus_ladanifer",0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"6-10 Cistus_ladanifer",0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0
"7-5 Cistus_ladanifer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7-8 Cistus_ladanifer",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-9 Cistus_ladanifer",1,0,0,0,0,0,3,0,0,0,4,5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
"8-3 Cistus_ladanifer",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-8 Cistus_ladanifer",0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-9 Cistus_ladanifer",0,0,0,0,0,0,0,0,0,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"9-8 Cistus_ladanifer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
