"","Andrena_granulosa_VEV3-05","Andrena_hispania_VEV6-12","Apis_mellifera_VEV4-15","Apis_mellifera_VEV4-16","Apis_mellifera_VEV5-10","Apis_mellifera_VEV5-11","Bombylella_atra_VEV4-08","Bombylella_atra_VEV4-13","Bombylella_atra_VEV5-09","Dasypoda_albimana_VEV5-05","Dasypoda_albimana_VEV5-14","Dasypoda_cingulata_VEV6-10","Dasypoda_cingulata_VEV6-11","Eristalis_tenax_VEV5-04","Eristalis_tenax_VEV5-16","Eupeodes_sp_VEV4-14","Lasioglossum_immunitum_VEV3-02","Lasioglossum_immunitum_VEV3-12","Lasioglossum_immunitum_VEV4-04","Lasioglossum_sp_VEV3-06","Panurgus_calcaratus_VEV4-03","Panurgus_calcaratus_VEV5-02","Xylocopa_cantabrita_VEV4-12","Xylocopa_cantabrita_VEV6-01"
"1-1 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"1-3 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"1-8 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"2-1 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"2-10 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"2-6 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2-8 Cistus_salviifolius",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-10 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"3-2 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"3-7 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-8 Cistus_salviifolius",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"3-9 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-3 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4-5 Cistus_salviifolius",0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4-8 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"4-9 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"5-6 Cistus_salviifolius",0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-8 Cistus_salviifolius",0,0,0,40,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"5-9 Cistus_salviifolius",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-5 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6-6 Cistus_salviifolius",0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6-8 Cistus_salviifolius",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-6 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"7-8 Cistus_salviifolius",0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"7-9 Cistus_salviifolius",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9-6 Cistus_salviifolius",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0
