"","Panurgus_calcaratus_VEV4-03","Panurgus_calcaratus_VEV4-07","Panurgus_calcaratus_VEV5-02","Panurgus_calcaratus_VEV5-06","Panurgus_calcaratus_VEV5-08"
"1-5 Leontodon_longirostris",0,0,0,1,0
"1-9 Leontodon_longirostris",1,0,0,0,0
"2-5 Leontodon_longirostris",0,0,0,2,0
"2-6 Leontodon_longirostris",0,0,0,1,0
"5-4 Leontodon_longirostris",0,0,1,0,0
"6-2 Leontodon_longirostris",0,1,0,0,0
"6-3 Leontodon_longirostris",0,0,0,0,3
"6-4 Leontodon_longirostris",0,1,0,0,0
"7-1 Leontodon_longirostris",0,0,0,0,12
"7-2 Leontodon_longirostris",0,0,0,0,2
