"","Apis_mellifera_VEV1-01","Apis_mellifera_VEV1-02","Apis_mellifera_VEV1-03","Apis_mellifera_VEV1-04","Apis_mellifera_VEV1-06","Apis_mellifera_VEV2-08","Apis_mellifera_VEV2-11","Apis_mellifera_VEV2-12","Apis_mellifera_VEV2-15","Apis_mellifera_VEV3-03","Apis_mellifera_VEV3-13","Apis_mellifera_VEV3-16","Bombus_terrestris_VEV2-07","Callophrys_rubi_VEV4-11","Eucera_clypeata_VEV5-12","Eucera_clypeata_VEV5-15","Eucera_sp_VEV3-14","Eucera_sp_VEV4-10","Lasioglossum_mediterraneum_VEV1-07","Lasioglossum_morio_VEV1-08","Lycaena_phlaeas_VEV1-05","Lycaena_phlaeas_VEV1-09","Xylocopa_cantabrita_VEV2-19","Xylocopa_cantabrita_VEV4-12","Zerynthia_rumina_VEV2-10"
"3-10 Rosmarinus_officinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0
"4-6 Rosmarinus_officinalis",13,0,0,0,0,0,0,0,0,0,0,0,3,0,7,2,0,0,0,0,0,4,0,0,0
"5-10 Rosmarinus_officinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"6-9 Rosmarinus_officinalis",0,12,8,0,3,81,0,0,15,14,60,35,0,4,3,0,2,20,0,0,4,0,3,0,3
"8-1 Rosmarinus_officinalis",0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-5 Rosmarinus_officinalis",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"9-2 Rosmarinus_officinalis",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-3 Rosmarinus_officinalis",0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-4 Rosmarinus_officinalis",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0
"9-5 Rosmarinus_officinalis",0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
