"","Andrena_hispania_VSV6-15","Andrena_hispania_VSV7-01","Andrena_hispania_VSV7-07","Andrena_hispania_VSV8-03","Andrena_hispania_VSV8-04","Andrena_rhyssonota_VSV7-04","Apis_mellifera_VSV6-02","Apis_mellifera_VSV6-10","Apis_mellifera_VSV7-02","Apis_mellifera_VSV7-03","Apis_mellifera_VSV7-12","Dasypoda_albimana_VSV6-12","Dasypoda_albimana_VSV6-14","Dasypoda_albimana_VSV6-15","Dasypoda_albimana_VSV6-16","Dasypoda_cingulata_VSV6-09","Dasypoda_cingulata_VSV6-11","Dasypoda_cingulata_VSV6-17","Dasypoda_cingulata_VSV6-18","Dasypoda_cingulata_VSV7-08","Dasypoda_cingulata_VSV7-09","Dasypoda_cingulata_VSV7-10","Dasypoda_cingulata_VSV7-11","Dasypoda_cingulata_VSV7-15","Dasypoda_cingulata_VSV7-16","Flavipanurgus_venustus_VSV7-13","Flavipanurgus_venustus_VSV8-01","Flavipanurgus_venustus_VSV8-05","Flavipanurgus_venustus_VSV8-06","Flavipanurgus_venustus_VSV8-07","Flavipanurgus_venustus_VSV8-08","Flavipanurgus_venustus_VSV8-09","Lasioglossum_albocinctum_VSV6-13","Lasioglossum_albocinctum_VSV6-15","Lasioglossum_albocinctum_VSV8-02","Lasioglossum_morio_VSV6-03","Maniola_justina_VSV7-14","Maniola_justina_VSV7-17","Nomada_merceti_VSV7-05","Polyommatus_icarus_VSV7-06"
"3-5 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"3-6 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"4-4 Cistus_crispus",0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
"4-5 Cistus_crispus",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"4-6 Cistus_crispus",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,6,0,0,3,0,3,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0
"5-4 Cistus_crispus",0,5,2,3,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,9,7,17,1,0,4,0,5,0,2,0,0,0,0,3
"5-5 Cistus_crispus",0,2,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,1,0,7,0,2,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0
"5-6 Cistus_crispus",0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,0
"5-7 Cistus_crispus",0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"6-4 Cistus_crispus",0,4,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,5,8,1,0,0,0,0,0,0,0,0,0,0,4
"6-5 Cistus_crispus",0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,9,0,0,0,5,0,0,0,0,0,0,0,0
"6-6 Cistus_crispus",0,58,12,0,7,0,0,0,0,0,0,0,1,0,0,0,4,0,0,3,0,0,0,1,11,5,0,4,0,0,0,2,0,4,6,0,9,2,11,0
"6-7 Cistus_crispus",0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0
"7-10 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-7 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"7-8 Cistus_crispus",0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-9 Cistus_crispus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-10 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-7 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-8 Cistus_crispus",5,3,0,0,0,0,13,5,0,0,0,1,2,2,4,0,5,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0
"8-9 Cistus_crispus",0,0,0,0,0,0,0,8,7,0,10,8,0,0,8,0,1,5,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-7 Cistus_crispus",0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-8 Cistus_crispus",0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-9 Cistus_crispus",0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
