"","Panurgus_calcaratus_VSV5-02","Panurgus_calcaratus_VSV5-07","Panurgus_calcaratus_VSV5-08","Panurgus_calcaratus_VSV6-06","Panurgus_calcaratus_VSV6-07","Panurgus_cephalotes_VSV6-05"
"10-10 Leontodon_longirostris",0,0,0,8,0,0
"10-3 Leontodon_longirostris",0,0,6,0,0,0
"10-4 Leontodon_longirostris",0,0,1,0,0,0
"10-9 Leontodon_longirostris",0,0,0,1,11,0
"5-1 Leontodon_longirostris",0,0,0,0,0,6
"5-2 Leontodon_longirostris",0,0,0,0,0,3
"6-3 Leontodon_longirostris",0,2,0,0,0,0
"6-4 Leontodon_longirostris",2,0,0,0,0,0
"7-3 Leontodon_longirostris",2,11,0,0,0,0
"7-4 Leontodon_longirostris",0,3,0,0,0,0
"8-3 Leontodon_longirostris",0,3,1,0,0,0
"9-4 Leontodon_longirostris",0,0,1,0,0,0
