Year,Day_ISO,Week_ISO,Week,Periodo_hora,Bosque,Codigo_vuelo,node1,Polinizador,Planta1,X1,Y1,time_of_day,X2,Y2,node2,Planta2,step_length,angle,turning_angle,change_plant_sp,Periodo,richness1,richness2,total_number_flowers1,total_number_flowers2,flowers_sp1_XY1,flowers_sp1_XY2,flowers_sp2_XY1,flowers_sp2_XY2,delta_richness,delta_total_flowers,delta_flowers_sp1,delta_flowers_sp2
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,1,Apis_mellifera,Lavandula_stoechas,2,10,10:00 - 11:59,2,10,2,Lavandula_stoechas,0,0,NA,FALSE,1,1,1,4364,4364,4364,4364,4364,4364,0,0,0,0
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,2,Apis_mellifera,Lavandula_stoechas,2,10,10:00 - 11:59,2,10,3,Lavandula_stoechas,0,0,0,FALSE,1,1,1,4364,4364,4364,4364,4364,4364,0,0,0,0
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,3,Apis_mellifera,Lavandula_stoechas,2,10,10:00 - 11:59,2,10,4,Lavandula_stoechas,0,0,0,FALSE,1,1,1,4364,4364,4364,4364,4364,4364,0,0,0,0
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,4,Apis_mellifera,Lavandula_stoechas,2,10,10:00 - 11:59,2,10,5,Lavandula_stoechas,0,0,0,FALSE,1,1,1,4364,4364,4364,4364,4364,4364,0,0,0,0
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,5,Apis_mellifera,Lavandula_stoechas,2,10,10:00 - 11:59,2,10,6,Lavandula_stoechas,0,0,0,FALSE,1,1,1,4364,4364,4364,4364,4364,4364,0,0,0,0
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,6,Apis_mellifera,Lavandula_stoechas,2,10,10:00 - 11:59,2,10,7,Lavandula_stoechas,0,0,0,FALSE,1,1,1,4364,4364,4364,4364,4364,4364,0,0,0,0
2021,68,10,2,11:00:00,Pinar Aznalcazar,AV1-01,7,Apis_mellifera,Lavandula_stoechas,2,10,10:00 - 11:59,2,10,8,Lavandula_stoechas,0,0,0,FALSE,1,1,1,4364,4364,4364,4364,4364,4364,0,0,0,0
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,1,Anthophora_retusa,Halimium_calycinum,8,4,10:00 - 11:59,8,4,2,Halimium_calycinum,0,0,NA,FALSE,1,2,2,431,431,79,79,79,79,0,0,0,0
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,2,Anthophora_retusa,Halimium_calycinum,8,4,10:00 - 11:59,8,4,3,Halimium_calycinum,0,0,0,FALSE,1,2,2,431,431,79,79,79,79,0,0,0,0
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,3,Anthophora_retusa,Halimium_calycinum,8,4,10:00 - 11:59,8,4,4,Halimium_calycinum,0,0,0,FALSE,1,2,2,431,431,79,79,79,79,0,0,0,0
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,4,Anthophora_retusa,Halimium_calycinum,8,4,10:00 - 11:59,8,1,1,Halimium_calycinum,3,-90,-90,FALSE,1,2,1,431,78,79,78,79,78,-1,-353,-1,-1
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,1,Anthophora_retusa,Halimium_calycinum,8,1,10:00 - 11:59,8,1,2,Halimium_calycinum,0,0,NA,FALSE,1,1,1,78,78,78,78,78,78,0,0,0,0
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,2,Anthophora_retusa,Halimium_calycinum,8,1,10:00 - 11:59,8,1,3,Halimium_calycinum,0,0,0,FALSE,1,1,1,78,78,78,78,78,78,0,0,0,0
2021,61,09,1,11:00:00,Pinar Hinojos,HV1-01,3,Anthophora_retusa,Halimium_calycinum,8,1,10:00 - 11:59,8,1,4,Halimium_calycinum,0,0,0,FALSE,1,1,1,78,78,78,78,78,78,0,0,0,0
