term,estimate,std.error,statistic,p.value,pollinator
step_length,0.36741503747266385,0.4890998078000466,0.7512066690953806,0.45252828721854876,Apis_mellifera
delta_richness,-11.589399931389016,2.1993643286236564,-5.269431617380811,1.368468391386196e-7,Apis_mellifera
delta_total_flowers,28.825728869208376,6.405911647707874,4.499863634479354,6.7997068495955015e-6,Apis_mellifera
step_length:time_of_day12:00 - 13:59,-0.7180441851499658,0.558923322026425,-1.284691757979671,0.19890001956135644,Apis_mellifera
step_length:time_of_day14:00 - 16:05,0.10264564524963095,0.5274710598793366,0.19459957722251528,0.8457064340579259,Apis_mellifera
step_length:change_plant_spTRUE,-1.9768339802360706,0.6136768003624521,-3.221294953741946,0.0012761274075894955,Apis_mellifera
step_length:Periodo2,1.9479427598778707,0.5089138873017356,3.8276470901705486,1.2937407206201182e-4,Apis_mellifera
step_length:Periodo3,1.8325870870482455,1.5150504628944426,1.2095881503162358,0.2264369673555729,Apis_mellifera
delta_richness:change_plant_spTRUE,10.02471735722855,2.2394312230341167,4.476456903037396,7.589197915455154e-6,Apis_mellifera
delta_total_flowers:change_plant_spTRUE,-27.880741159032674,6.380956797968741,-4.369366858573308,1.2460728340236622e-5,Apis_mellifera
step_length,-0.5459526885705482,0.18489636524684488,-2.9527497084200496,0.003149572199314578,Bombus_terrestris
delta_richness,-26.731974323855134,0.40953458724477887,-65.27403339410117,0,Bombus_terrestris
delta_total_flowers,-2.2489337446738134,0.49895779762494036,-4.507262448605534,6.5669387015084e-6,Bombus_terrestris
step_length:time_of_day12:00 - 13:59,0.5538033876796207,0.5807422435942017,0.9536130594739295,0.3402795427479435,Bombus_terrestris
step_length:time_of_day14:00 - 16:05,0.6278154572438075,0.28100147058575575,2.234207016550867,0.025469454983198584,Bombus_terrestris
step_length:change_plant_spTRUE,-0.06160508509895133,0.20167297247046562,-0.30547020924171286,0.7600080559299378,Bombus_terrestris
step_length:Periodo2,0.6356075203598339,0.28084258255580263,2.2632163348431695,0.023622356758965454,Bombus_terrestris
step_length:Periodo3,1.2345691918668402,0.9261257512477337,1.3330470405380181,0.18251636718201153,Bombus_terrestris
delta_richness:change_plant_spTRUE,26.54190193416185,0.41442396018906635,64.04528812005232,0,Bombus_terrestris
delta_total_flowers:change_plant_spTRUE,2.295503837041544,2.0470714686957985,1.1213598900403918,0.26213470213111967,Bombus_terrestris
step_length,-0.4438650075401596,0.17262921629869304,-2.5712044406907273,0.01013454801314003,Xylocopa_cantabrita
delta_richness,-12.847344297113189,0.36976667787321366,-34.744462024018056,1.680355982867173e-264,Xylocopa_cantabrita
delta_total_flowers,3.1146351138799955,1.1155435985277977,2.792033514414348,0.005237793072548473,Xylocopa_cantabrita
step_length:time_of_day12:00 - 13:59,0.07035248551870958,0.17080619084910537,0.4118848688620473,0.6804238118172279,Xylocopa_cantabrita
step_length:time_of_day14:00 - 16:05,0.07608244312355082,0.15503683889736983,0.4907378379529225,0.6236118808628476,Xylocopa_cantabrita
step_length:change_plant_spTRUE,-0.23989556817271668,0.2293066212810871,-1.0461781122257674,0.2954788064089931,Xylocopa_cantabrita
step_length:Periodo2,0.9213500139291572,0.24566897918057196,3.7503718092626794,1.7657255642976438e-4,Xylocopa_cantabrita
step_length:Periodo3,0.4503722784431409,0.26859631322860456,1.676762696514845,0.09358889500365833,Xylocopa_cantabrita
delta_richness:change_plant_spTRUE,12.55006478248167,0.37609810648202086,33.3691251462911,3.846592474892084e-244,Xylocopa_cantabrita
delta_total_flowers:change_plant_spTRUE,-3.0308919324601096,1.1175688193592248,-2.712040529367952,0.006687041608495603,Xylocopa_cantabrita
step_length,0.46042808738408764,0.25550692883627024,1.8020180097704184,0.07154257208452176,Anthophora_dispar
delta_richness,-2.5740466575083016,0.20145129875267645,-12.777513341666173,2.1895864493198177e-37,Anthophora_dispar
delta_total_flowers,1.0663593711850525,0.11565603837523843,9.220092492925614,2.96844050233586e-20,Anthophora_dispar
step_length:time_of_day12:00 - 13:59,-2.173374020044575,0.28942706966026416,-7.509228568688233,5.947680085353182e-14,Anthophora_dispar
step_length:time_of_day14:00 - 16:05,-0.08896767831849263,0.2255744288059729,-0.39440498104959354,0.6932820668788209,Anthophora_dispar
step_length:change_plant_spTRUE,-0.5823786010939453,0.24001843308066592,-2.426391146792539,0.015249824331441862,Anthophora_dispar
step_length,1.786877134352952,1.0716429192356662,1.6674184117480253,0.09543123531530695,Dasypoda_cingulata
delta_richness,-12.30721508127894,0.9509507838523202,-12.942010554344538,2.607159261057971e-38,Dasypoda_cingulata
delta_total_flowers,3.051202348475466,0.772067702220591,3.9519880700872694,7.750460536678365e-5,Dasypoda_cingulata
step_length:time_of_day12:00 - 13:59,-0.3137187658565814,0.9402942664753443,-0.3336389224540779,0.7386520436965236,Dasypoda_cingulata
step_length:time_of_day14:00 - 16:05,0.11628726623864262,0.31787562672676156,0.36582630582935644,0.7144946892785592,Dasypoda_cingulata
step_length:change_plant_spTRUE,-1.6764821324728485,1.0519138179223058,-1.5937447573263777,0.11099321517070439,Dasypoda_cingulata
step_length:Periodo3,0.17815984524852618,0.2933252053528795,0.6073799387072593,0.5435987987982147,Dasypoda_cingulata
delta_richness:change_plant_spTRUE,12.093587007392193,1.0807567911981755,11.189924602726483,4.568219195611636e-29,Dasypoda_cingulata
delta_total_flowers:change_plant_spTRUE,-2.57810553123078,0.829465629879339,-3.1081523312856407,0.0018826100435227007,Dasypoda_cingulata
