term,estimate,std.error,statistic,p.value,pollinator
step_length,-0.0903840798234992,0.1085084953838016,-0.8329677736642171,0.40486290454381857,Apis_mellifera
log_sl,-0.5082580511081048,0.03411378624372572,-14.898904726577653,3.350264337502966e-50,Apis_mellifera
change_plant_spTRUE,-6.644357992295994,0.7171262691774336,-9.26525533629842,1.9461112957825394e-20,Apis_mellifera
delta_richness,-3.05084398210884,0.0814383622911536,-37.46200066255807,3.8306978108733094e-307,Apis_mellifera
delta_total_flowers,0.5378501188651076,0.0825884973442151,6.512409550490281,7.395474736823773e-11,Apis_mellifera
step_length,-0.5737941842035583,0.25319667334654644,-2.266199538167766,0.02343916891376666,Bombus_terrestris
log_sl,-0.19362580444363273,0.06741080756805075,-2.8723258395646543,0.0040746260192406425,Bombus_terrestris
change_plant_spTRUE,-6.275829290572355,0.6141927442835143,-10.218012747599966,1.6468228063498375e-24,Bombus_terrestris
delta_richness,-2.957561682675102,0.108716249258113,-27.204412430135346,5.75935286270696e-163,Bombus_terrestris
delta_total_flowers,0.23678099593352453,0.05373777506868777,4.406229986836456,1.0518528169905335e-5,Bombus_terrestris
step_length,0.2911632675496522,0.11191153537711789,2.6017270388480904,0.009275564617016726,Xylocopa_cantabrita
log_sl,-0.25554807092440707,0.03758485321696548,-6.799230249728762,1.051796030561109e-11,Xylocopa_cantabrita
change_plant_spTRUE,-4.295711060292852,0.28342126546491386,-15.156629313775468,6.849548350251317e-52,Xylocopa_cantabrita
delta_richness,-1.7463005826327989,0.0957768523104761,-18.233012888875113,2.8233000617842723e-74,Xylocopa_cantabrita
delta_total_flowers,0.32402767940196653,0.05667491336921126,5.717303479426139,1.0822772755243691e-8,Xylocopa_cantabrita
step_length,0.9433985749014816,0.1950703951628282,4.836195539123262,1.3234773378074432e-6,Anthophora_dispar
log_sl,-0.2801308752859123,0.05322368185063094,-5.2632750224248435,1.4151164697096137e-7,Anthophora_dispar
change_plant_spTRUE,-19.419852629118537,664.5567156681617,-0.02922226526534058,0.976687323701169,Anthophora_dispar
delta_richness,-2.1303496230267984,0.16058249052870124,-13.266387985469914,3.626435758944512e-40,Anthophora_dispar
delta_total_flowers,0.8186132320659556,0.10019649414928156,8.170078594230189,3.0818861546519713e-16,Anthophora_dispar
step_length,0.1619833693061882,0.11040393043902536,1.4671884294522421,0.1423248036053925,Dasypoda_cingulata
log_sl,-0.3983123422295267,0.05781397803883911,-6.889550861937622,5.5968811491832526e-12,Dasypoda_cingulata
change_plant_spTRUE,-4.650971978729747,0.7186727012029146,-6.4716135327596955,9.696186213666273e-11,Dasypoda_cingulata
delta_richness,-3.697097720332617,0.2602007053252026,-14.20863834981512,8.098489136670343e-46,Dasypoda_cingulata
delta_total_flowers,0.11362274303520897,0.05405566888209973,2.1019579515893216,0.03555695933744329,Dasypoda_cingulata
