term,estimate,std.error,statistic,p.value,pollinator
step_length,4.769849202752775,0.3523466117015169,13.537377810215624,9.408793945810894e-42,Apis_mellifera
change_plant_spTRUE,2.6403797764444086,2.1916330389857075,1.2047545047351458,0.22829808789551123,Apis_mellifera
delta_richness,-7.63779582788306,0.49307717117503086,-15.490061747701196,4.049014173261097e-54,Apis_mellifera
delta_total_flowers,0.8115168322287781,0.09866948393266621,8.22459791907467,1.9584673844628114e-16,Apis_mellifera
step_length,8.29512466768063,2.1566807245420043,3.846246026723401,1.1994133169306963e-4,Bombus_terrestris
change_plant_spTRUE,-5.640797748598535,15.350806082154875,-0.3674593841137694,0.713276382735341,Bombus_terrestris
delta_richness,-7.6146896674059645,0.7963264342181618,-9.562271626562433,1.1519987748689499e-21,Bombus_terrestris
delta_total_flowers,0.05414194495918945,0.03375000511353911,1.6042055335117544,0.10866875541637942,Bombus_terrestris
step_length,3.4138847356783018,0.28022527863228613,12.182643736998577,3.8460914131880025e-34,Xylocopa_cantabrita
change_plant_spTRUE,-0.5058310340464229,0.5744710324380327,-0.8805161713719415,0.3785797486073782,Xylocopa_cantabrita
delta_richness,-5.701243860303863,0.359750931230243,-15.847752890610389,1.4569824913007203e-56,Xylocopa_cantabrita
delta_total_flowers,-0.007112029197000286,0.018588515765687937,-0.3826033926887373,0.7020138543359625,Xylocopa_cantabrita
step_length,-0.03235516979976779,0.08077067504038658,-0.40058065360466166,0.6887288916968015,Anthophora_dispar
change_plant_spTRUE,NA,0,NA,NA,Anthophora_dispar
delta_richness,-3.8484830160558112,0.4616562417304189,-8.336252536369058,7.66820555035817e-17,Anthophora_dispar
delta_total_flowers,0.31069073716052836,0.06510845972461725,4.771895057487551,1.8250059260534355e-6,Anthophora_dispar
step_length,2.1874508582318546,0.3730161997281044,5.864224824086223,4.512357411473023e-9,Dasypoda_cingulata
change_plant_spTRUE,0.7839694945537496,1.284563832351019,0.610300146096222,0.5416630001827447,Dasypoda_cingulata
delta_richness,-10.310085053751058,0.9062920792537978,-11.376117357485835,5.499400223564829e-30,Dasypoda_cingulata
delta_total_flowers,0.26072413533520644,0.0608548491590211,4.284360883943737,1.8326523601021072e-5,Dasypoda_cingulata
