Year,Bosque,Periodo,Polinizador,Planta,X,Y,number_visits,repetition,type
2021,Aznalcazar,1,Apis_mellifera,Lavandula stoechas,1,9,141,1,random
2021,Aznalcazar,1,Apis_mellifera,Lavandula stoechas,2,9,128,1,random
2021,Aznalcazar,1,Apis_mellifera,Lavandula stoechas,2,10,67,1,random
2021,Aznalcazar,1,Apis_mellifera,Cistus salviifolius,3,9,31,1,random
2021,Aznalcazar,1,Apis_mellifera,Lavandula stoechas,3,9,34,1,random
2021,Aznalcazar,1,Apis_mellifera,Lavandula stoechas,3,10,28,1,random
2021,Aznalcazar,1,Bombus_terrestris,Lavandula stoechas,1,9,115,1,random
2021,Aznalcazar,1,Bombus_terrestris,Cistus salviifolius,1,10,224,1,random
2021,Aznalcazar,1,Bombus_terrestris,Lavandula stoechas,1,10,235,1,random
2021,Aznalcazar,1,Bombus_terrestris,Lavandula stoechas,2,9,262,1,random
2021,Aznalcazar,1,Bombus_terrestris,Lavandula stoechas,2,10,124,1,random
2021,Aznalcazar,1,Bombus_terrestris,Cistus salviifolius,3,8,4,1,random
2021,Aznalcazar,1,Bombus_terrestris,Cistus salviifolius,3,9,117,1,random
2021,Aznalcazar,1,Bombus_terrestris,Lavandula stoechas,3,9,133,1,random
2021,Aznalcazar,1,Bombus_terrestris,Lavandula stoechas,3,10,62,1,random
2021,Aznalcazar,1,Bombus_terrestris,Cistus salviifolius,4,9,5,1,random
2021,Aznalcazar,1,Xylocopa_cantabrita,Lavandula stoechas,1,9,3,1,random
2021,Aznalcazar,1,Xylocopa_cantabrita,Cistus salviifolius,1,10,7,1,random
2021,Aznalcazar,1,Xylocopa_cantabrita,Lavandula stoechas,1,10,12,1,random
2021,Aznalcazar,1,Xylocopa_cantabrita,Lavandula stoechas,2,9,2,1,random
2021,Aznalcazar,1,Xylocopa_cantabrita,Lavandula stoechas,2,10,4,1,random
2021,Aznalcazar,1,Xylocopa_cantabrita,Cistus salviifolius,3,9,1,1,random
2021,Aznalcazar,1,Xylocopa_cantabrita,Lavandula stoechas,3,10,18,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,1,1,4,1,random
2021,Aznalcazar,2,Apis_mellifera,Galactites tomentosus,1,1,2,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,1,9,14,1,random
2021,Aznalcazar,2,Apis_mellifera,Lavandula stoechas,1,9,8,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,2,6,5,1,random
2021,Aznalcazar,2,Apis_mellifera,Lavandula stoechas,2,9,13,1,random
2021,Aznalcazar,2,Apis_mellifera,Lavandula stoechas,2,10,36,1,random
2021,Aznalcazar,2,Apis_mellifera,Lavandula stoechas,3,10,18,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,4,7,43,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,4,8,6,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,5,7,9,1,random
2021,Aznalcazar,2,Apis_mellifera,Galactites tomentosus,5,7,16,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,5,8,6,1,random
2021,Aznalcazar,2,Apis_mellifera,Galactites tomentosus,5,8,6,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,6,2,1,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,6,7,2,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus salviifolius,6,7,2,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,7,3,1,1,random
2021,Aznalcazar,2,Apis_mellifera,Aetheorhiza bulbosa,7,4,7,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus salviifolius,7,4,8,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,7,6,2,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,7,7,1,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus salviifolius,8,3,17,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,8,6,4,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,8,7,33,1,random
2021,Aznalcazar,2,Apis_mellifera,Cistus crispus,8,8,5,1,random
2021,Aznalcazar,2,Bombus_terrestris,Cistus crispus,1,3,1,1,random
2021,Aznalcazar,2,Bombus_terrestris,Galactites tomentosus,1,3,2,1,random
2021,Aznalcazar,2,Bombus_terrestris,Cistus salviifolius,1,10,26,1,random
2021,Aznalcazar,2,Bombus_terrestris,Lavandula stoechas,1,10,25,1,random
2021,Aznalcazar,2,Bombus_terrestris,Galactites tomentosus,2,4,2,1,random
2021,Aznalcazar,2,Bombus_terrestris,Lavandula stoechas,2,9,10,1,random
2021,Aznalcazar,2,Bombus_terrestris,Lavandula stoechas,2,10,107,1,random
2021,Aznalcazar,2,Bombus_terrestris,Galactites tomentosus,3,2,2,1,random
2021,Aznalcazar,2,Bombus_terrestris,Galactites tomentosus,3,4,1,1,random
2021,Aznalcazar,2,Bombus_terrestris,Cistus salviifolius,3,6,1,1,random
2021,Aznalcazar,2,Bombus_terrestris,Galactites tomentosus,3,6,2,1,random
2021,Aznalcazar,2,Bombus_terrestris,Cistus salviifolius,3,7,2,1,random
2021,Aznalcazar,2,Bombus_terrestris,Galactites tomentosus,3,7,1,1,random
2021,Aznalcazar,2,Bombus_terrestris,Lavandula stoechas,3,10,33,1,random
2021,Aznalcazar,2,Bombus_terrestris,Galactites tomentosus,4,5,4,1,random
2021,Aznalcazar,2,Bombus_terrestris,Galactites tomentosus,5,4,3,1,random
2021,Aznalcazar,2,Bombus_terrestris,Galactites tomentosus,5,5,6,1,random
2021,Aznalcazar,2,Bombus_terrestris,Galactites tomentosus,5,7,1,1,random
2021,Aznalcazar,2,Bombus_terrestris,Cistus crispus,5,8,2,1,random
