Bosque,Polinizador,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,Week,Year
Pinar Hinojos,Bombus_terrestris,2-2 Ulex_australis,2,0,0,1,2021
Pinar Hinojos,Bombus_terrestris,4-1 Ulex_australis,2,0,0,1,2021
Pinar Hinojos,Anthophora_retusa,4-4 Halimium_calycinum,10,0,0,1,2021
Pinar Hinojos,Bombus_terrestris,5-1 Ulex_australis,15,0,0,1,2021
Pinar Hinojos,Bombus_terrestris,6-4 Ulex_australis,20,0,0,1,2021
Pinar Hinojos,Anthophora_retusa,7-3 Ulex_australis,4,0,0,1,2021
Pinar Hinojos,Apis_mellifera,7-3 Ulex_australis,8,0,0,1,2021
Pinar Hinojos,Apis_mellifera,7-4 Ulex_australis,4,0,0,1,2021
Pinar Hinojos,Anthophora_retusa,8-1 Halimium_calycinum,8,0,0,1,2021
Pinar Hinojos,Anthophora_retusa,8-4 Halimium_calycinum,7,0,0,1,2021
Pinar Hinojos,Bombus_terrestris,8-4 Ulex_australis,2,0,0,1,2021
Pinar Hinojos,Bombus_terrestris,9-5 Ulex_australis,17,0,0,1,2021
Pinar Villamanrique Este (Chaparral),Apis_mellifera,4-6 Rosmarinus_officinalis,13,0,0,1,2021
Pinar Villamanrique Este (Chaparral),Lycaena_phlaeas,4-6 Rosmarinus_officinalis,4,0,0,1,2021
Pinar Villamanrique Este (Chaparral),Lasioglossum_mediterraneum,5-10 Rosmarinus_officinalis,2,0,0,1,2021
Pinar Villamanrique Este (Chaparral),Apis_mellifera,6-9 Rosmarinus_officinalis,23,0,0,1,2021
Pinar Villamanrique Este (Chaparral),Lycaena_phlaeas,6-9 Rosmarinus_officinalis,4,0,0,1,2021
Pinar Villamanrique Este (Chaparral),Apis_mellifera,8-5 Rosmarinus_officinalis,5,0,0,1,2021
Pinar Villamanrique Este (Chaparral),Lasioglossum_morio,8-5 Rosmarinus_officinalis,2,0,0,1,2021
Pinar Villamanrique Este (Chaparral),Apis_mellifera,9-3 Rosmarinus_officinalis,7,0,0,1,2021
Pinar Villamanrique Este (Chaparral),Lasioglossum_morio,9-4 Rosmarinus_officinalis,11,0,0,1,2021
Pinar Villamanrique Este (Chaparral),Lycaena_phlaeas,9-4 Rosmarinus_officinalis,3,0,0,1,2021
Pinar Villamanrique Sur,Apis_mellifera,4-7 Lavandula_stoechas,18,0,0,1,2021
Pinar Villamanrique Sur,Bombus_terrestris,4-7 Lavandula_stoechas,15,0,0,1,2021
Pinar Aznalcazar,Apis_mellifera,2-10 Lavandula_stoechas,8,0,0,2,2021
Pinar Hinojos,Episyrphus_balteatus,2-1 Halimium_calycinum,2,0,0,2,2021
Pinar Hinojos,Lasioglossum_morio,2-1 Halimium_calycinum,2,0,0,2,2021
Pinar Hinojos,Melanostoma_sp,2-1 Halimium_calycinum,4,0,0,2,2021
Pinar Hinojos,Anthophora_sp,3-3 Ulex_australis,7,0,0,2,2021
Pinar Hinojos,Lasioglossum_morio,5-4 Halimium_calycinum,2,0,0,2,2021
Pinar Hinojos,Lasioglossum_morio,8-4 Halimium_calycinum,11,0,0,2,2021
Pinar Puebla,Hymenoptera_sp,4-1 Cistus_salviifolius,1,0,0,2,2021
Pinar Puebla,Hymenoptera_sp,4-2 Anemone_palmata,1,0,0,2,2021
Pinar Puebla,Hymenoptera_sp,4-3 Cistus_salviifolius,3,0,0,2,2021
Pinar Puebla,Eristalis_similis,4-6 Cistus_salviifolius,2,0,0,2,2021
Pinar Puebla,Apis_mellifera,6-1 Cistus_salviifolius,3,0,0,2,2021
Pinar Puebla,Empis_tesellata,6-1 Cistus_salviifolius,4,0,0,2,2021
Pinar Puebla,Episyrphus_balteatus,6-1 Cistus_salviifolius,2,0,0,2,2021
Pinar Puebla,Eristalis_similis,6-1 Cistus_salviifolius,2,0,0,2,2021
Pinar Puebla,Eristalis_tenax,6-1 Cistus_salviifolius,7,0,0,2,2021
Pinar Puebla,Apis_mellifera,6-2 Cistus_salviifolius,5,0,0,2,2021
Pinar Puebla,Empis_tesellata,6-2 Cistus_salviifolius,1,0,0,2,2021
Pinar Puebla,Eristalis_tenax,6-2 Cistus_salviifolius,5,0,0,2,2021
Pinar Puebla,Eucera_sp,6-2 Cistus_salviifolius,3,0,0,2,2021
Pinar Puebla,Hymenoptera_sp,6-2 Cistus_salviifolius,1,0,0,2,2021
Pinar Puebla,Hymenoptera_sp,6-3 Rosmarinus_officinalis,2,0,0,2,2021
Pinar Puebla,Apis_mellifera,6-7 Cistus_salviifolius,1,0,0,2,2021
Pinar Puebla,Andrena_sp,7-4 Cistus_salviifolius,1,0,0,2,2021
Pinar Puebla,Anthophora_dispar,7-4 Rosmarinus_officinalis,1,0,0,2,2021
Pinar Puebla,Apis_mellifera,9-10 Cistus_salviifolius,10,0,0,2,2021
Pinar Puebla,Andrena_sp,9-3 Cistus_salviifolius,1,0,0,2,2021
Pinar Puebla,Anthophora_dispar,9-3 Lavandula_stoechas,1,0,0,2,2021
Pinar Puebla,Andrena_sp,9-4 Cistus_salviifolius,1,0,0,2,2021
Pinar Puebla,Anthophora_dispar,9-4 Cistus_salviifolius,1,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Anthophora_dispar,10-2 Cistus_ladanifer,9,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Empis_tesellata,10-2 Cistus_ladanifer,3,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Eucera_sp,10-2 Cistus_ladanifer,2,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Lasioglossum_morio,10-2 Cistus_ladanifer,3,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Lasioglossum_sp,10-2 Cistus_ladanifer,21,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Xylocopa_cantabrita,10-2 Cistus_ladanifer,4,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Xylocopa_cantabrita,3-10 Rosmarinus_officinalis,9,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Apis_mellifera,3-9 Cistus_ladanifer,10,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Lasioglossum_sp,3-9 Cistus_ladanifer,2,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Apis_mellifera,4-10 Cistus_ladanifer,5,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Bombus_terrestris,4-6 Rosmarinus_officinalis,3,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Apis_mellifera,5-10 Cistus_ladanifer,13,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Episyrphus_balteatus,5-10 Cistus_ladanifer,1,0,0,2,2021
Pinar Villamanrique Este (Chaparral),Lasioglossum_morio,5-10 Cistus_ladanifer,2,0,0,2,2021
