Bosque,Year,Planta,X,Y,Periodo,Flores,prob_consp_step
3,2020,Potentilla_erecta,0,9,2,6,0.6237442334571633
3,2020,Lotus_corniculatus,0,9,2,1,0.5212956679047668
3,2020,Ranunculus_sp,2,9,2,1,0.5075561065126242
3,2020,Lotus_corniculatus,6,9,2,2,0.37552178911100764
3,2020,Potentilla_erecta,7,9,2,2,0.47279612728580156
3,2020,Potentilla_erecta,8,9,2,8,0.7116063166440889
3,2020,Potentilla_erecta,9,9,2,2,0.5575319053880242
3,2020,Potentilla_erecta,10,9,2,5,0.548022430625684
3,2020,Potentilla_erecta,12,9,2,3,0.5236438506662604
3,2020,Lotus_corniculatus,12,9,2,2,0.43244909920502117
3,2020,Thymus_praecox,14,9,2,19,0.6506066679496204
3,2020,Prunella_grandiflora,14,9,2,3,0.6526243892323645
3,2020,Lotus_corniculatus,14,9,2,9,0.81137728102321
3,2020,Potentilla_erecta,14,9,2,5,0.7870913682109381
3,2020,Lotus_corniculatus,15,9,2,6,0.6489344369911656
3,2020,Erica_cinerea,15,9,2,4,0.6483246411164537
3,2020,Prunella_grandiflora,15,9,2,2,0.4371359755567061
3,2020,Hutchinsia_alpina,15,9,2,1,0.7502626739956014
3,2020,Potentilla_erecta,15,9,2,3,0.6765517233635685
3,2020,Prunella_grandiflora,16,9,2,8,0.38692258291834
3,2020,Potentilla_erecta,16,9,2,2,0.8071391257385976
3,2020,Trifolium_pratense,16,9,2,1,0.5400701143959584
3,2020,Lotus_corniculatus,16,9,2,2,0.6574067345015137
3,2020,Lotus_corniculatus,17,9,2,2,0.4972098807142029
3,2020,Potentilla_erecta,17,9,2,3,0.6312973753717287
3,2020,Erica_cinerea,17,9,2,1,0.4157030349843788
3,2020,Erica_cinerea,18,9,2,3,0.4639259922372722
3,2020,Lotus_corniculatus,18,9,2,3,0.56871106274307
3,2020,Potentilla_erecta,18,9,2,2,0.7476184368958783
3,2020,Lotus_corniculatus,19,9,2,6,0.5230411897790012
3,2020,Lotus_corniculatus,20,9,2,6,0.6546533381981364
3,2020,Medicago_lupulina,20,9,2,6,0.7759969019678359
3,2020,Hutchinsia_alpina,20,9,2,1,0.6542455123149671
3,2020,Potentilla_erecta,21,9,2,1,0.6068474056812752
