Year,Bosque,Periodo,Planta,X,Y,poll_richness,prob_consp_step
2020,1,2,Bellis_perennis,3,0,1,0.21654593047372778
2020,1,2,Bellis_perennis,3,9,1,0.49181913550174006
2020,1,2,Bellis_perennis,5,1,1,0.8077604317047393
2020,1,2,Bellis_perennis,7,1,1,0.4568204211299119
2020,1,2,Bellis_perennis,13,7,1,0.449518809889142
2020,1,2,Bellis_perennis,14,7,1,0.5833273483146323
2020,1,2,Bellis_perennis,14,8,1,0.48618286212985035
2020,1,2,Bellis_perennis,14,15,1,0.7218847221275166
2020,1,2,Bellis_perennis,14,17,1,0.6465065782924957
2020,1,2,Bellis_perennis,15,5,1,0.7839241592909786
2020,1,2,Bellis_perennis,15,14,1,0.8026975602341638
2020,1,2,Bellis_perennis,15,15,2,0.5735563825356589
2020,1,2,Bellis_perennis,16,5,1,0.68556818139506
2020,1,2,Bellis_perennis,16,6,1,0.6665463689419643
2020,1,2,Bellis_perennis,16,15,1,0.5211189457855996
2020,1,2,Bellis_perennis,16,17,1,0.7128556613187319
2020,1,2,Bellis_perennis,16,18,1,0.7490584779477134
2020,1,2,Bellis_perennis,17,15,1,0.5473325770855763
2020,1,2,Bellis_perennis,18,11,1,0.6757123139040291
2020,1,2,Bellis_perennis,18,15,1,0.5289738395084951
2020,1,2,Bellis_perennis,19,12,1,0.7595949972424092
2020,1,2,Bellis_perennis,19,13,1,0.6561146298577506
2020,1,2,Bellis_perennis,19,16,1,0.8016224263674002
2020,1,2,Bellis_perennis,20,14,1,0.6816484979340213
2020,1,2,Bellis_perennis,20,16,1,0.5938924686058678
2020,1,2,Bellis_perennis,20,17,1,0.7459192617153682
2020,1,2,Bellis_perennis,20,18,1,0.666583980985813
2020,1,2,Bellis_perennis,21,9,1,0.6287103477523566
2020,1,2,Bellis_perennis,22,16,1,0.38438752221216604
2020,1,2,Bellis_perennis,23,1,1,0.6372897018815188
2020,1,2,Bellis_perennis,23,2,1,0.6623028810964118
2020,1,2,Ranunculus_sp,0,2,1,0.09559242720008695
2020,1,2,Ranunculus_sp,1,2,1,0.4942062677995195
2020,1,2,Ranunculus_sp,2,15,1,0.9220705233249477
2020,1,2,Ranunculus_sp,2,18,1,0.8741814503720245
2020,1,2,Ranunculus_sp,3,15,1,0.9778234530454638
2020,1,2,Ranunculus_sp,6,4,1,0.2969264896524051
2020,1,2,Ranunculus_sp,6,21,1,0.656106032057896
2020,1,2,Ranunculus_sp,7,1,1,0.17427205371670967
2020,1,2,Ranunculus_sp,7,4,1,0.5058662263342555
2020,1,2,Ranunculus_sp,9,19,1,0.7798261955699636
2020,1,2,Ranunculus_sp,10,8,1,0.2657554631067052
2020,1,2,Ranunculus_sp,10,18,1,0.9004181482748526
2020,1,2,Ranunculus_sp,11,2,1,0.45937270808808384
2020,1,2,Ranunculus_sp,11,4,1,0.32358763665408863
2020,1,2,Ranunculus_sp,11,9,1,0.7390877852058627
2020,1,2,Ranunculus_sp,11,10,1,0.6449854987014251
2020,1,2,Ranunculus_sp,13,9,1,0.7392501455036034
2020,1,2,Ranunculus_sp,13,20,1,0.9827122961096586
2020,1,2,Ranunculus_sp,16,5,1,0.5891897108059955
2020,1,2,Ranunculus_sp,16,10,1,0.24344568912589248
2020,1,2,Ranunculus_sp,16,17,1,0.8308153572254225
2020,1,2,Ranunculus_sp,17,11,1,0.7663608105951197
2020,1,2,Ranunculus_sp,17,15,1,0.40737556571868616
2020,1,2,Ranunculus_sp,18,11,1,0.9500201637161404
2020,1,2,Ranunculus_sp,18,15,1,0.5654919156890692
2020,1,2,Ranunculus_sp,18,17,1,0.4121060908001242
2020,1,2,Ranunculus_sp,19,9,1,0.6861994041633869
2020,1,2,Ranunculus_sp,19,10,1,0.6067012903408443
2020,1,2,Ranunculus_sp,19,11,1,0.850734336088272
2020,1,2,Ranunculus_sp,19,12,1,0.8200556310116477
2020,1,2,Ranunculus_sp,19,16,2,0.8103556305270766
2020,1,2,Ranunculus_sp,20,17,1,0.8791579770331315
2020,1,2,Ranunculus_sp,21,10,1,0.8946035955636832
2020,1,2,Ranunculus_sp,21,20,1,0.9935712849517574
2020,1,2,Ranunculus_sp,21,21,1,0.8945671596539163
2020,1,2,Ranunculus_sp,24,8,1,0.31173140531550525
2020,1,2,Vicia_pyrenaica,6,9,1,0.15599934263129756
2020,1,2,Vicia_pyrenaica,7,11,1,0.35890440094878445
2020,1,2,Vicia_pyrenaica,8,11,1,0.36229657701592605
2020,1,2,Vicia_pyrenaica,9,2,1,0.4855442087361443
2020,1,2,Vicia_pyrenaica,10,2,1,0.34229980637184876
2020,1,2,Vicia_pyrenaica,12,8,2,0.3329642021930886
2020,1,2,Vicia_pyrenaica,12,17,1,0.6180007560115122
2020,1,2,Vicia_pyrenaica,13,16,1,0.7327517767358468
2020,1,2,Vicia_pyrenaica,14,8,1,0.5030725832453723
2020,1,2,Vicia_pyrenaica,14,18,1,0.6949480637215721
2020,1,2,Vicia_pyrenaica,15,11,1,0.5557424975291664
2020,1,2,Vicia_pyrenaica,16,9,2,0.5647962693909938
2020,1,2,Vicia_pyrenaica,17,0,1,0.7042928848193482
2020,1,2,Vicia_pyrenaica,18,0,1,0.7326693393493349
2020,2,2,Ajuga_reptans,14,18,1,0.22289963593490317
2020,2,2,Ajuga_reptans,14,19,1,0.7690899239645558
2020,2,2,Ajuga_reptans,15,18,1,0.5982586482432757
2020,2,2,Ajuga_reptans,15,24,1,0.8000918995849149
2020,2,2,Ajuga_reptans,16,19,1,0.2737941064512482
2020,2,2,Ajuga_reptans,16,20,1,0.48644002128529634
2020,2,2,Ajuga_reptans,16,23,2,0.9273764907468075
2020,2,2,Ajuga_reptans,17,18,2,0.5192278857148566
2020,2,2,Ajuga_reptans,17,20,1,0.5308941219486444
2020,2,2,Ajuga_reptans,17,24,1,0.9873755760381836
2020,2,2,Ajuga_reptans,18,22,2,0.7424387519722885
2020,2,2,Ajuga_reptans,19,22,2,0.560586201082405
2020,2,2,Ajuga_reptans,20,21,2,0.9132019946786216
2020,2,2,Ajuga_reptans,21,21,2,0.8364141447249025
2020,2,2,Ajuga_reptans,24,21,1,0.8310187234533962
2020,2,2,Bellis_perennis,0,0,1,0.8871511927385908
2020,2,2,Bellis_perennis,1,0,1,0.8568025816709438
2020,2,2,Bellis_perennis,8,5,1,0.7176902501090096
2020,2,2,Bellis_perennis,9,0,1,0.8497921972232556
2020,2,2,Bellis_perennis,9,1,1,0.6909666304641414
2020,2,2,Bellis_perennis,9,5,1,0.7175035838460803
2020,2,2,Bellis_perennis,9,6,2,0.6287557147603283
2020,2,2,Bellis_perennis,12,1,1,0.64252464721113145
2020,2,2,Bellis_perennis,12,2,1,0.4304502464661912
2020,2,2,Bellis_perennis,16,4,1,0.36185035249117004
2020,2,2,Bellis_perennis,21,15,1,0.8299564214322335
2020,2,2,Bellis_perennis,22,7,1,0.4146951412297536
2020,2,2,Bellis_perennis,22,9,1,0.649571311665315
2020,2,2,Bellis_perennis,22,15,1,0.6048648773301535
2020,2,2,Myosotis_lamottiana,1,0,1,0.8264459680498109
2020,2,2,Ranunculus_sp,1,10,1,0.359254684763124
2020,2,2,Ranunculus_sp,2,10,1,0.6339794827777173
2020,2,2,Ranunculus_sp,3,14,1,0.826921243535532
2020,2,2,Ranunculus_sp,6,14,1,0.5666282184082055
2020,2,2,Ranunculus_sp,7,1,1,0.6927431701371493
2020,2,2,Ranunculus_sp,7,20,1,0.5768882410357326
2020,2,2,Ranunculus_sp,10,21,1,0.447572972493055
2020,2,2,Ranunculus_sp,10,22,1,0.9964879451166406
2020,2,2,Ranunculus_sp,12,0,1,0.46185259677924256
2020,2,2,Ranunculus_sp,12,2,1,0.5487278396625019
2020,2,2,Ranunculus_sp,12,21,1,0.8875220724016831
2020,2,2,Ranunculus_sp,13,23,1,0.9473865528887695
2020,2,2,Ranunculus_sp,14,23,1,0.8368268722521833
2020,2,2,Ranunculus_sp,16,17,1,0.31236164645310927
2020,2,2,Ranunculus_sp,17,1,1,0.9298382301664944
2020,2,2,Ranunculus_sp,17,4,1,0.577119610658412
2020,2,2,Ranunculus_sp,17,18,1,0.7826234867012978
2020,2,2,Ranunculus_sp,20,15,1,0.6353333837738233
2020,2,2,Ranunculus_sp,21,21,1,0.9558757122967493
2020,2,2,Ranunculus_sp,22,4,1,0.8832139190868306
2020,2,2,Ranunculus_sp,22,14,1,0.6184197132219669
2020,2,2,Ranunculus_sp,23,9,1,0.6870250496297098
2020,2,2,Ranunculus_sp,23,11,1,0.9009175473715624
2020,2,2,Ranunculus_sp,24,12,1,0.6894295707694568
2020,2,2,Ranunculus_sp,24,13,1,0.6247854582016134
2020,3,2,Lotus_corniculatus,0,22,1,0.7346215361674792
2020,3,2,Lotus_corniculatus,1,22,1,0.8252437315160327
2020,3,2,Lotus_corniculatus,1,23,1,0.8277673563358056
2020,3,2,Lotus_corniculatus,5,16,1,0.7104998535199475
2020,3,2,Lotus_corniculatus,13,12,1,0.5356920797989158
2020,3,2,Lotus_corniculatus,14,9,1,0.81137728102321
2020,3,2,Lotus_corniculatus,14,24,1,0.7111011544610055
2020,3,2,Lotus_corniculatus,15,24,1,0.8387071763660302
2020,3,2,Lotus_corniculatus,16,3,1,0.7340774966111112
2020,3,2,Lotus_corniculatus,16,7,1,0.4252710309086857
2020,3,2,Lotus_corniculatus,17,4,1,0.5773257673806543
2020,3,2,Lotus_corniculatus,17,23,1,0.8628458567429091
2020,3,2,Lotus_corniculatus,18,2,1,0.8669140471524084
2020,3,2,Lotus_corniculatus,18,23,1,0.6692296556923764
2020,3,2,Lotus_corniculatus,20,7,1,0.6473730127684826
2020,3,2,Lotus_corniculatus,20,18,1,0.6970880710467365
2020,3,2,Lotus_corniculatus,21,14,1,0.4185414522358173
2020,3,2,Lotus_corniculatus,21,18,1,0.6302469102594037
2020,3,2,Lotus_corniculatus,22,11,1,0.860104567018103
2020,3,2,Lotus_corniculatus,22,12,1,0.6826684048651768
2020,3,2,Lotus_corniculatus,22,17,1,0.5503422595898187
2020,3,2,Lotus_corniculatus,22,19,1,0.8818671878247465
2020,3,2,Potentilla_erecta,5,13,1,0.6994310316616782
2020,3,2,Potentilla_erecta,5,14,1,0.7571848996468303
2020,3,2,Potentilla_erecta,5,16,1,0.7176246283483012
2020,3,2,Potentilla_erecta,7,13,1,0.7300457721473138
2020,3,2,Potentilla_erecta,8,13,1,0.6985187030814667
2020,3,2,Potentilla_erecta,8,14,1,0.7751045091338395
2020,3,2,Potentilla_erecta,9,5,1,0.5393990929857193
2020,3,2,Potentilla_erecta,9,14,1,0.5324837942028509
2020,3,2,Potentilla_erecta,11,7,1,0.5568140388565082
2020,3,2,Potentilla_erecta,15,17,1,0.617453677504475
2020,3,2,Potentilla_erecta,18,17,1,0.6257455112278276
2020,3,2,Potentilla_erecta,20,11,1,0.7781264626154144
2020,3,2,Potentilla_erecta,20,12,1,0.6725780379795495
2020,3,2,Potentilla_erecta,21,5,1,0.7422943757070054
2020,3,2,Potentilla_erecta,21,7,1,0.5834627144616926
2020,3,2,Potentilla_erecta,22,7,1,0.5043460206730356
2020,3,2,Potentilla_erecta,22,11,1,0.8709576947423937
2020,3,2,Potentilla_erecta,22,12,1,0.7683232806176811
2020,3,2,Potentilla_erecta,23,11,1,0.6972976770816295
2020,3,2,Potentilla_erecta,24,19,1,0.584466704711867
2020,3,2,Prunella_grandiflora,6,18,1,0.9565445274633284
2020,3,2,Prunella_grandiflora,7,17,1,0.31153682106352865
2020,3,2,Prunella_grandiflora,8,18,1,0.9016150699745189
2020,3,2,Prunella_grandiflora,16,5,1,0.27768465674449627
2020,3,2,Prunella_grandiflora,16,9,1,0.38692258291834
2020,3,2,Prunella_grandiflora,17,5,1,0.4294110384246686
2020,3,2,Prunella_grandiflora,17,6,1,0.30871721278086806
2020,3,2,Ranunculus_sp,1,21,1,0.37453613963495647
2020,3,2,Ranunculus_sp,1,22,1,0.8201502122738313
2020,4,2,Potentilla_erecta,6,19,1,0.4124712818947974
2020,4,2,Potentilla_erecta,7,19,1,0.4577020242198498
2020,4,2,Potentilla_erecta,8,7,1,0.5327995859150427
2020,4,2,Potentilla_erecta,9,0,1,0.3846170728747877
2020,4,2,Potentilla_erecta,9,1,2,0.3460875693950417
2020,4,2,Potentilla_erecta,9,7,1,0.5345287691186517
2020,4,2,Potentilla_erecta,13,7,1,0.5420295748434513
2020,4,2,Potentilla_erecta,14,4,1,0.46044135516496454
2020,4,2,Potentilla_erecta,14,7,1,0.5434939211943215
2020,4,2,Potentilla_erecta,19,0,1,0.3788267563120999
2020,4,2,Potentilla_erecta,20,0,1,0.3564049209763696
2020,4,2,Potentilla_erecta,20,8,1,0.5313940184320688
2020,4,2,Potentilla_erecta,21,8,1,0.4928835505711028
2020,4,2,Potentilla_erecta,21,9,1,0.3790636277654841
2020,4,2,Potentilla_erecta,22,4,2,0.41389796049200483
2020,4,2,Potentilla_erecta,22,9,1,0.4773654354844191
2020,4,2,Potentilla_erecta,22,11,1,0.4850512651456167
2020,5,2,Potentilla_erecta,0,11,1,0.9958708870934198
2020,5,2,Potentilla_erecta,1,17,1,0.9982186369914126
2020,5,2,Potentilla_erecta,3,11,1,0.9996702633550165
2020,5,2,Potentilla_erecta,3,12,1,0.9955545667582821
2020,5,2,Potentilla_erecta,3,14,1,0.9995668993088352
2020,5,2,Potentilla_erecta,3,15,1,0.9993353136674442
2020,5,2,Potentilla_erecta,4,11,1,0.9990857628145495
2020,5,2,Potentilla_erecta,4,15,1,0.997347166947725
2020,5,2,Potentilla_erecta,5,6,3,0.9928473598396201
2020,5,2,Potentilla_erecta,5,11,1,0.9974775558687156
2020,5,2,Potentilla_erecta,5,13,2,0.9978485483527534
2020,5,2,Potentilla_erecta,5,15,1,0.9981894612926313
2020,5,2,Potentilla_erecta,7,5,1,0.9998888759737641
2020,5,2,Potentilla_erecta,7,6,1,0.9989687551958313
2020,5,2,Potentilla_erecta,7,7,2,0.9998498506926948
2020,5,2,Potentilla_erecta,7,8,2,0.9976980809181271
2020,5,2,Potentilla_erecta,8,5,1,0.99429304659188
2020,5,2,Potentilla_erecta,8,6,1,0.9963425033384576
2020,5,2,Potentilla_erecta,8,8,2,0.9990241460971455
2020,5,2,Potentilla_erecta,8,11,1,0.9919041751350187
