Year,Day_ISO,Week_ISO,Week,Periodo_hora,Bosque,Codigo_vuelo_dia,Codigo_vuelo,Polinizador,Codigo_captura,Planta,X,Y
2020,143,21,7,2,1,12,87,Platycheirus_sp,NA,Ranunculus_sp,2,15
2020,143,21,7,2,1,12,87,Platycheirus_sp,NA,Ranunculus_sp,2,15
2020,143,21,7,2,1,12,87,Platycheirus_sp,NA,Ranunculus_sp,2,15
2020,143,21,7,2,1,12,87,Platycheirus_sp,NA,Ranunculus_sp,4,15
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,19,10
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,19,10
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,19,10
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,19,9
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,19,10
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,19,11
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,18,11
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,18,11
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,17,11
2020,143,21,7,3,1,25,100,Lasioglossum_calceatum,NA,Ranunculus_sp,16,10
2020,143,21,7,3,1,25,100,Lasioglossum_calceatum,NA,Ranunculus_sp,16,10
2020,143,21,7,3,1,25,100,Lasioglossum_calceatum,NA,Ranunculus_sp,16,10
2020,147,22,8,1,4,1,122,Seladonia_confusa,NA,Potentilla_erecta,22,4
2020,147,22,8,1,4,1,122,Seladonia_confusa,NA,Potentilla_erecta,22,4
2020,147,22,8,1,4,1,122,Seladonia_confusa,NA,Potentilla_erecta,22,4
2020,147,22,8,1,4,1,122,Seladonia_confusa,NA,Potentilla_erecta,21,4
2020,176,26,12,2,4,8,391,Lasioglossum_calceatum,NA,Potentilla_erecta,24,3
2020,176,26,12,2,4,8,391,Lasioglossum_calceatum,NA,Potentilla_erecta,24,3
2020,176,26,12,2,4,9,392,Lasioglossum_calceatum,NA,Potentilla_erecta,9,1
2020,176,26,12,2,4,9,392,Lasioglossum_calceatum,NA,Potentilla_erecta,9,1
2020,176,26,12,2,4,9,392,Lasioglossum_calceatum,NA,Potentilla_erecta,9,1
2020,176,26,12,2,4,10,393,Lasioglossum_calceatum,NA,Potentilla_erecta,21,21
2020,176,26,12,2,4,10,393,Lasioglossum_calceatum,NA,Potentilla_erecta,21,21
2020,176,26,12,2,4,11,394,Lasioglossum_calceatum,NA,Potentilla_erecta,6,8
2020,176,26,12,2,4,11,394,Lasioglossum_calceatum,NA,Potentilla_erecta,6,8
2020,176,26,12,2,4,11,394,Lasioglossum_calceatum,NA,Potentilla_erecta,6,8
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,14
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,15
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,14
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,14
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,14
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,14
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,15
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,3,14
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,3,14
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,4,15
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,3,10
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,4,15
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,4,15
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,5,15
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,5,15
2020,148,22,8,2,5,21,164,Eupeodes_corollae,NA,Potentilla_erecta,6,15
2020,148,22,8,2,5,21,164,Eupeodes_corollae,NA,Potentilla_erecta,6,17
2020,148,22,8,2,5,21,164,Eupeodes_corollae,NA,Potentilla_erecta,6,18
2020,148,22,8,3,5,24,167,Platycheirus_albimanus,NA,Potentilla_erecta,5,7
2020,148,22,8,3,5,24,167,Platycheirus_albimanus,NA,Potentilla_erecta,5,6
2020,148,22,8,3,5,24,167,Platycheirus_albimanus,NA,Potentilla_erecta,3,7
2020,148,22,8,3,5,29,172,Platycheirus_albimanus,NA,Potentilla_erecta,5,13
2020,148,22,8,3,5,29,172,Platycheirus_albimanus,NA,Potentilla_erecta,4,12
2020,149,22,8,2,3,1,175,Episyrphus_balteatus,NA,Ranunculus_sp,1,20
2020,149,22,8,2,3,1,175,Episyrphus_balteatus,NA,Ranunculus_sp,1,20
2020,149,22,8,2,3,1,175,Episyrphus_balteatus,NA,Ranunculus_sp,1,20
2020,149,22,8,2,3,1,175,Episyrphus_balteatus,NA,Ranunculus_sp,1,20
2020,149,22,8,2,3,1,175,Episyrphus_balteatus,NA,Ranunculus_sp,1,21
2020,149,22,8,2,3,1,175,Episyrphus_balteatus,NA,Ranunculus_sp,1,22
2020,149,22,8,3,3,23,197,Osmia_andrenoides,NA,Lotus_corniculatus,17,23
2020,149,22,8,3,3,23,197,Osmia_andrenoides,NA,Lotus_corniculatus,17,23
2020,149,22,8,3,3,23,197,Osmia_andrenoides,NA,Lotus_corniculatus,17,23
2020,149,22,8,3,3,23,197,Osmia_andrenoides,NA,Lotus_corniculatus,17,23
2020,150,22,8,3,1,30,227,Episyrphus_balteatus,NA,Ranunculus_sp,6,18
2020,150,22,8,3,1,30,227,Episyrphus_balteatus,NA,Ranunculus_sp,6,18
2020,150,22,8,3,1,30,227,Episyrphus_balteatus,NA,Bellis_perennis,8,18
2020,150,22,8,3,1,30,227,Episyrphus_balteatus,NA,Ranunculus_sp,8,18
2020,175,26,12,1,2,2,398,Cheilosia_nigripes,NA,Plantago_sp,20,13
2020,175,26,12,1,2,2,398,Cheilosia_nigripes,NA,Plantago_sp,20,13
2020,175,26,12,1,2,2,398,Cheilosia_nigripes,NA,Plantago_sp,20,13
2020,175,26,12,1,2,2,398,Cheilosia_nigripes,NA,Plantago_sp,19,13
2020,175,26,12,2,2,11,407,Cheilosia_nigripes,NA,Bellis_perennis,7,24
2020,175,26,12,2,2,11,407,Cheilosia_nigripes,NA,Bellis_perennis,7,24
2020,175,26,12,3,2,17,413,Cheilosia_nigripes,NA,Prunella_vulgaris,4,12
2020,175,26,12,3,2,17,413,Cheilosia_nigripes,NA,Gallium_saxatile,4,12
2020,174,26,11,1,1,2,361,?=S108,NA,Ranunculus_sp,19,17
2020,174,26,11,1,1,2,361,?=S108,NA,Bellis_perennis,19,17
2020,174,26,11,2,1,7,366,?=S108,NA,Ranunculus_sp,16,18
2020,174,26,11,2,1,7,366,?=S108,NA,Ranunculus_sp,16,18
2020,174,26,11,2,1,7,366,?=S108,NA,Bellis_perennis,16,18
2020,174,26,11,2,1,7,366,?=S108,NA,Ranunculus_sp,15,18
2020,174,26,11,2,1,7,366,?=S108,NA,Ranunculus_sp,15,18
2020,174,26,11,2,1,7,366,?=S108,NA,Ranunculus_sp,15,18
2020,174,26,11,2,1,11,370,?=S108,NA,Ranunculus_sp,13,16
2020,174,26,11,2,1,11,370,?=S108,NA,Ranunculus_sp,13,16
2020,174,26,11,2,1,11,370,?=S108,NA,Bellis_perennis,13,16
2020,174,26,11,2,1,11,370,?=S108,NA,Ranunculus_sp,13,16
2020,174,26,11,2,1,11,370,?=S108,NA,Bellis_perennis,13,16
2020,174,26,11,2,1,11,370,?=S108,NA,Ranunculus_sp,13,16
2020,174,26,11,2,1,11,370,?=S108,NA,Ranunculus_sp,13,16
2020,174,26,11,2,1,11,370,?=S108,NA,Ranunculus_sp,14,17
2020,174,26,11,2,1,11,370,?=S108,NA,Ranunculus_sp,14,17
2020,174,26,11,2,1,14,373,?=S108,NA,Ranunculus_sp,12,4
2020,174,26,11,2,1,14,373,?=S108,NA,Euphrasia_alpina,12,4
2020,174,26,11,2,1,14,373,?=S108,NA,Euphrasia_alpina,12,4
