"","?=S108_361","?=S108_366","?=S108_370","Episyrphus_balteatus_227","Eristalis_similis_367","Eristalis_sp_363","Eristalis_sp_374","Eristalis_tenax_199","Eristalis_tenax_210","Eristalis_tenax_22","Eristalis_tenax_24","Eristalis_tenax_27","Eristalis_tenax_28","Eristalis_tenax_29","Eupeodes_corollae_30","Eupeodes_corollae_96","Eupeodes_sp_220","Eupeodes_sp_362","Lasioglossum_calceatum_111","Melanostoma_sp_371","Melanostoma_sp_379","Platycheirus_sp_80","sirfido_negro_alargado_12","Sphaerophoria_scripta_102","Sphaerophoria_scripta_103","Sphaerophoria_scripta_105","Sphaerophoria_scripta_107","Sphaerophoria_scripta_11","Sphaerophoria_scripta_110","Sphaerophoria_scripta_198","Sphaerophoria_scripta_200","Sphaerophoria_scripta_201","Sphaerophoria_scripta_202","Sphaerophoria_scripta_206","Sphaerophoria_scripta_218","Sphaerophoria_scripta_219","Sphaerophoria_scripta_221","Sphaerophoria_scripta_222","Sphaerophoria_scripta_223","Sphaerophoria_scripta_229","Sphaerophoria_scripta_230","Sphaerophoria_scripta_360","Sphaerophoria_scripta_375","Sphaerophoria_scripta_526","Sphaerophoria_scripta_528","Sphaerophoria_scripta_533","Sphaerophoria_scripta_539","Sphaerophoria_scripta_541","Sphaerophoria_scripta_542","Sphaerophoria_scripta_543","Sphaerophoria_scripta_545","Sphaerophoria_scripta_78","Sphaerophoria_scripta_79","Sphaerophoria_scripta_82","Sphaerophoria_scripta_83","Sphaerophoria_scripta_90","Sphaerophoria_scripta_93","Sphaerophoria_scripta_94","Sphaerophoria_scripta_95","Sphaerophoria_scripta_97"
"0-3 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-15 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-23 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-6 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-16 Bellis_perennis",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-17 Bellis_perennis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-7 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"14-15 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"14-16 Bellis_perennis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-17 Bellis_perennis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
