"","Abeja_foto_548","Andrena_wikella_534","Bombus_lapidarius_381","Bombus_pascuorum_211","Bombus_pascuorum_537","Bombus_pascuorum_540","Bombus_pascuorum_549","Bombus_pratorum_372","Bombus_pratorum_377","Bombus_pratorum_380"
"12-13 Lotus_corniculatus",0,0,0,2,0,0,0,0,0,0
"13-13 Lotus_corniculatus",0,0,0,0,0,0,3,0,0,0
"13-14 Lotus_corniculatus",0,0,0,0,0,0,1,0,0,0
"16-10 Lotus_corniculatus",0,0,0,1,0,0,0,0,0,0
"2-15 Lotus_corniculatus",0,0,0,0,0,1,0,0,0,0
"2-2 Lotus_corniculatus",0,1,0,0,0,0,0,0,0,0
"2-4 Lotus_corniculatus",0,3,0,0,0,0,0,0,0,0
"3-12 Lotus_corniculatus",0,0,0,0,1,0,0,0,0,0
"3-16 Lotus_corniculatus",0,0,0,0,1,0,0,0,0,0
"3-17 Lotus_corniculatus",0,0,0,0,1,0,0,0,0,0
"3-5 Lotus_corniculatus",0,0,0,0,0,0,0,0,5,0
"3-8 Lotus_corniculatus",0,0,2,0,0,0,0,0,0,0
"3-9 Lotus_corniculatus",0,0,2,0,0,0,0,0,0,0
"4-1 Lotus_corniculatus",3,0,0,0,0,0,0,0,0,0
"4-11 Lotus_corniculatus",0,0,0,0,1,0,0,0,0,0
"5-12 Lotus_corniculatus",0,0,0,0,0,0,0,1,0,0
"5-13 Lotus_corniculatus",0,0,0,0,0,0,0,0,0,1
"5-9 Lotus_corniculatus",0,0,1,0,0,0,0,0,0,0
"6-11 Lotus_corniculatus",0,0,0,0,0,0,0,0,0,1
"7-14 Lotus_corniculatus",0,0,0,0,0,0,0,3,0,0
"8-14 Lotus_corniculatus",0,0,0,0,0,0,0,1,0,0
