"","?=S108_361","?=S108_366","?=S108_370","?=S108_373","?=S108_376","Apis_mellifera_19","Bombus_pascuorum_549","Chrysotoxum_sp_369","Episyrphus_balteatus_227","Episyrphus_balteatus_228","Eristalis_similis_367","Eristalis_similis_368","Eristalis_sp_365","Eristalis_sp_374","Eristalis_tenax_108","Eristalis_tenax_20","Eristalis_tenax_210","Eristalis_tenax_22","Eristalis_tenax_24","Eristalis_tenax_28","Eupeodes_sp_362","Lasioglossum_calceatum_100","Lasioglossum_calceatum_109","Lasioglossum_calceatum_111","Lasioglossum_calceatum_89","Lasioglossum_calceatum_98","Melanostoma_sp_379","Platycheirus_albimanus_226","Platycheirus_sp_80","Platycheirus_sp_81","Platycheirus_sp_87","S108_364","sirfido_negro_alargado_13","Sphaerophoria_scripta_101","Sphaerophoria_scripta_104","Sphaerophoria_scripta_107","Sphaerophoria_scripta_110","Sphaerophoria_scripta_202","Sphaerophoria_scripta_203","Sphaerophoria_scripta_224","Sphaerophoria_scripta_225","Sphaerophoria_scripta_230","Sphaerophoria_scripta_542","Sphaerophoria_scripta_76","Sphaerophoria_scripta_79","Sphaerophoria_scripta_83","Sphaerophoria_scripta_97"
"0-2 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"0-3 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"0-4 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1-2 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"10-18 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-4 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-8 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"11-10 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"11-2 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-4 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
