"","Bombus_pascuorum_544","Erebia_meolans_530","Erebia_meolans_538","Sphaerophoria_scripta_360","Sphaerophoria_scripta_521","Sphaerophoria_scripta_526","Sphaerophoria_scripta_529","Sphaerophoria_scripta_535","Sphaerophoria_scripta_536","Sphaerophoria_scripta_547"
"10-15 Thymus_praecox",0,0,0,3,0,0,0,0,0,0
"10-5 Thymus_praecox",0,0,0,0,1,0,0,0,0,0
"11-15 Thymus_praecox",0,0,0,1,0,0,0,0,0,0
"12-2 Thymus_praecox",0,0,0,0,0,0,0,1,0,0
"12-7 Thymus_praecox",0,0,0,0,0,1,0,0,0,0
"2-19 Thymus_praecox",0,4,0,0,0,0,0,0,0,0
"20-21 Thymus_praecox",1,0,0,0,0,0,0,0,0,0
"20-22 Thymus_praecox",1,0,0,0,0,0,0,0,0,0
"5-11 Thymus_praecox",0,0,0,0,0,0,1,0,0,0
"6-15 Thymus_praecox",0,0,2,0,0,0,0,0,0,0
"8-1 Thymus_praecox",0,0,0,0,0,0,0,0,0,4
"8-12 Thymus_praecox",0,0,0,0,0,0,0,0,5,0
"8-2 Thymus_praecox",0,0,0,0,0,0,0,0,0,1
