"","?=S108_382","Abeja_culo_rayas_531","Bombus_lapidarius_381","Bombus_pascuorum_537","Bombus_pascuorum_540","Bombus_pascuorum_549","Bombus_pratorum_377","Bombus_pratorum_523","Bombus_pratorum_550"
"0-7 Trifolium_pratense",0,0,0,0,3,0,0,0,0
"11-14 Trifolium_pratense",0,0,0,0,0,1,0,0,0
"12-18 Trifolium_pratense",0,0,0,0,0,2,0,0,0
"13-14 Trifolium_pratense",0,0,0,0,0,1,0,0,0
"13-18 Trifolium_pratense",0,0,0,0,0,1,0,0,0
"13-19 Trifolium_pratense",0,0,0,0,0,1,0,0,0
"13-6 Trifolium_pratense",0,0,0,0,0,0,0,0,3
"16-17 Trifolium_pratense",0,0,0,0,0,1,0,0,0
"3-14 Trifolium_pratense",0,0,0,1,0,0,0,0,0
"3-18 Trifolium_pratense",0,0,0,1,0,0,0,0,0
"4-15 Trifolium_pratense",0,0,0,3,0,0,0,0,0
"4-18 Trifolium_pratense",0,0,0,2,0,0,0,0,0
"4-6 Trifolium_pratense",0,0,0,0,0,0,0,2,0
"4-9 Trifolium_pratense",0,0,2,0,0,0,0,0,0
"5-15 Trifolium_pratense",0,0,0,1,0,0,0,0,0
"5-16 Trifolium_pratense",0,0,0,1,0,0,0,0,0
"6-15 Trifolium_pratense",0,0,0,2,0,0,0,0,0
"6-16 Trifolium_pratense",0,0,0,1,0,0,0,0,0
"7-10 Trifolium_pratense",0,0,0,0,0,0,1,0,0
"7-16 Trifolium_pratense",0,0,0,4,0,0,0,0,0
"7-20 Trifolium_pratense",0,0,0,0,1,0,0,0,0
"9-10 Trifolium_pratense",0,2,0,0,0,0,0,0,0
"9-13 Trifolium_pratense",5,0,0,0,0,0,0,0,0
