"","Bombus_lapidarius_106","Bombus_lapidarius_32","Bombus_lapidarius_33","Bombus_lapidarius_84","Bombus_lapidarius_86","Bombus_lapidarius_88","Bombus_lapidarius_91","Bombus_lapidarius_92","Bombus_pascuorum_17","Bombus_pascuorum_205","Bombus_pascuorum_207","Bombus_pascuorum_208","Bombus_pascuorum_209","Bombus_pascuorum_211","Bombus_pascuorum_212","Bombus_pascuorum_213","Bombus_pascuorum_214","Bombus_pascuorum_215","Bombus_pascuorum_216","Bombus_pascuorum_217","Bombus_pascuorum_23","Bombus_pascuorum_25","Bombus_pascuorum_31","Bombus_pascuorum_34","Bombus_pascuorum_35","Bombus_pascuorum_37","Bombus_pascuorum_38","Bombus_pascuorum_41","Bombus_pascuorum_77","Bombus_pascuorum_99","Bombus_terrestris_39","Bombus_terrestris_40"
"10-10 Vicia_pyrenaica",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2
"10-11 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"10-12 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-13 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-14 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"10-2 Vicia_pyrenaica",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-8 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"11-17 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"11-20 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-6 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"12-10 Vicia_pyrenaica",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-11 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"12-12 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-14 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12-15 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"12-17 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,1,0,7,0,3,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
"12-19 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-20 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"12-8 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"13-13 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-14 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"13-16 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"13-17 Vicia_pyrenaica",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"13-18 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-20 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13-21 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-23 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-3 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"14-10 Vicia_pyrenaica",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
