"","Cheilosia_nigripes_407","Eristalis_sp_399","Eristalis_sp_403","Eristalis_sp_409","Eristalis_sp_425","Eristalis_sp_427","Eristalis_sp_450","Eristalis_tenax_246","Eristalis_tenax_293","Eristalis_tenax_331","Eristalis_tenax_434","Eristalis_tenax_449","Eupeodes_corollae_406","Eupeodes_corollae_430","Eupeodes_corollae_442","Lasioglossum_sp_297","Platycheirus_albimanus_244","Platycheirus_albimanus_280","Platycheirus_albimanus_305","Platycheirus_albimanus_306","S118_417","Seladonia_confusa_296","Sphaerophoria_scripta_231","Sphaerophoria_scripta_233","Sphaerophoria_scripta_237","Sphaerophoria_scripta_242","Sphaerophoria_scripta_243","Sphaerophoria_scripta_245","Sphaerophoria_scripta_247","Sphaerophoria_scripta_250","Sphaerophoria_scripta_253","Sphaerophoria_scripta_254","Sphaerophoria_scripta_261","Sphaerophoria_scripta_262","Sphaerophoria_scripta_264","Sphaerophoria_scripta_267","Sphaerophoria_scripta_273","Sphaerophoria_scripta_277","Sphaerophoria_scripta_279","Sphaerophoria_scripta_291","Sphaerophoria_scripta_294","Sphaerophoria_scripta_307","Sphaerophoria_scripta_308","Sphaerophoria_scripta_313","Sphaerophoria_scripta_334","Sphaerophoria_scripta_336","Sphaerophoria_scripta_397","Sphaerophoria_scripta_411","Sphaerophoria_scripta_429","Sphaerophoria_scripta_435","Sphaerophoria_scripta_437","Sphaerophoria_scripta_445","Sphaerophoria_scripta_50","Syrphus_ribesii_405"
"0-0 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0-17 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-0 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-17 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-19 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-20 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"10-22 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-9 Bellis_perennis",0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"11-14 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-9 Bellis_perennis",0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
