"","Bombus_lapidarius_340","Bombus_lapidarius_410","Bombus_pascuorum_439","Bombus_pratorum_343","Pieris_sp_234","S113_401","Sphaerophoria_scripta_270","Sphaerophoria_scripta_299","Sphaerophoria_scripta_307","Sphaerophoria_scripta_308"
"1-23 Geranium_robertianum",0,0,0,0,3,0,0,0,0,0
"12-22 Geranium_robertianum",0,0,1,0,0,0,0,0,0,0
"17-21 Geranium_robertianum",0,0,0,0,0,1,0,0,0,0
"18-22 Geranium_robertianum",0,0,0,0,0,1,0,0,0,0
"3-21 Geranium_robertianum",0,0,0,1,0,0,0,0,0,0
"3-22 Geranium_robertianum",0,0,0,1,0,0,0,0,0,0
"4-20 Geranium_robertianum",0,0,0,0,0,0,0,1,0,0
"4-24 Geranium_robertianum",0,1,0,0,0,0,0,0,0,0
"5-23 Geranium_robertianum",0,0,0,0,0,0,2,0,0,0
"6-24 Geranium_robertianum",3,0,0,0,0,0,0,0,0,0
"7-24 Geranium_robertianum",1,0,0,0,0,0,0,0,0,0
"9-17 Geranium_robertianum",0,0,0,0,0,0,0,0,1,1
"9-24 Geranium_robertianum",1,0,0,0,0,0,0,0,0,0
