"","Andrena_bucephala_438","Andrena_wikella_414","Bombus_lapidarius_410","Bombus_pascuorum_338","Bombus_pascuorum_347","Bombus_pascuorum_428","Bombus_pascuorum_439","Bombus_pascuorum_444","Bombus_pascuorum_446","Bombus_pascuorum_448","Bombus_pascuorum_453","Bombus_pascuorum_456","Bombus_pratorum_341","Bombus_pratorum_343"
"0-19 Lotus_corniculatus",4,0,0,0,0,0,0,0,0,0,0,0,0,0
"0-23 Lotus_corniculatus",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"1-21 Lotus_corniculatus",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10-22 Lotus_corniculatus",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10-23 Lotus_corniculatus",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"11-22 Lotus_corniculatus",0,0,0,2,0,0,2,0,1,0,0,0,0,0
"11-23 Lotus_corniculatus",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"12-10 Lotus_corniculatus",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"12-22 Lotus_corniculatus",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"13-21 Lotus_corniculatus",0,0,0,0,0,0,0,0,0,0,0,0,4,0
"17-16 Lotus_corniculatus",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"17-17 Lotus_corniculatus",0,0,0,0,0,0,0,0,0,0,6,0,0,0
"18-17 Lotus_corniculatus",0,0,0,0,0,0,0,0,0,0,5,0,0,0
"2-19 Lotus_corniculatus",0,0,1,0,10,0,0,0,0,0,0,0,0,0
"2-20 Lotus_corniculatus",0,0,0,0,2,0,0,0,0,0,0,0,0,2
"2-21 Lotus_corniculatus",0,0,2,0,0,0,0,0,0,0,0,0,0,2
"3-22 Lotus_corniculatus",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6-6 Lotus_corniculatus",0,0,0,0,0,0,0,0,0,0,0,10,0,0
"6-7 Lotus_corniculatus",0,0,0,0,0,0,0,0,0,2,0,1,0,0
"7-6 Lotus_corniculatus",0,0,0,0,0,0,0,0,0,6,0,0,0,0
"7-7 Lotus_corniculatus",0,1,0,0,0,2,0,0,0,0,0,0,0,0
"8-6 Lotus_corniculatus",0,0,0,0,0,6,0,0,0,0,0,0,0,0
"8-7 Lotus_corniculatus",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"9-20 Lotus_corniculatus",0,0,0,0,0,0,0,2,0,0,0,0,0,0
