"","Apis_mellifera_325","Apis_mellifera_326","Apis_mellifera_327","Apis_mellifera_328","Apis_mellifera_329","Apis_mellifera_330","Apis_mellifera_332","Apis_mellifera_333","Apis_mellifera_344","Apis_mellifera_400","Apis_mellifera_421","Bombus_pascuorum_428","Cheilosia_nigripes_398","Eupeodes_corollae_430","Eupeodes_corollae_452","Eupeodes_latifasciatus_412","S118_417","Sirfido_ojos_rojos_423","Sirfido_ojos_rojos_426"
"11-14 Plantago_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"12-14 Plantago_sp",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"15-19 Plantago_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15-20 Plantago_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15-4 Plantago_sp",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"17-13 Plantago_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"19-13 Plantago_sp",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"19-2 Plantago_sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-1 Plantago_sp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-13 Plantago_sp",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"20-2 Plantago_sp",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23-11 Plantago_sp",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"23-21 Plantago_sp",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3-1 Plantago_sp",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-14 Plantago_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"4-1 Plantago_sp",0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-9 Plantago_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"5-0 Plantago_sp",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-0 Plantago_sp",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-2 Plantago_sp",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"8-3 Plantago_sp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-5 Plantago_sp",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"8-6 Plantago_sp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9-5 Plantago_sp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"9-6 Plantago_sp",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
