"","Bombus_lapidarius_410","Bombus_pascuorum_424","Bombus_pascuorum_428","Bombus_pascuorum_439","Bombus_pascuorum_448","Bombus_pascuorum_453","Bombus_pascuorum_456","Bombus_pascuorum_457","Cheilosia_nigripes_413","Sphaerophoria_scripta_429"
"12-3 Prunella_vulgaris",0,0,0,0,0,0,0,0,0,1
"13-10 Prunella_vulgaris",0,0,0,0,0,0,1,0,0,0
"14-10 Prunella_vulgaris",0,0,0,0,0,0,2,0,0,0
"14-22 Prunella_vulgaris",0,0,0,0,0,0,0,1,0,0
"14-8 Prunella_vulgaris",0,0,0,0,0,0,1,0,0,0
"15-10 Prunella_vulgaris",0,0,0,0,0,0,2,0,0,0
"15-9 Prunella_vulgaris",0,10,0,0,0,0,0,0,0,0
"16-9 Prunella_vulgaris",0,2,0,0,0,0,0,0,0,0
"17-16 Prunella_vulgaris",0,0,0,0,0,2,0,0,0,0
"2-14 Prunella_vulgaris",0,0,0,2,0,0,0,0,0,0
"2-15 Prunella_vulgaris",0,0,0,1,0,0,0,0,0,0
"2-19 Prunella_vulgaris",1,0,0,0,0,0,0,0,0,0
"4-12 Prunella_vulgaris",0,0,0,0,0,0,0,0,1,0
"5-16 Prunella_vulgaris",0,0,0,1,0,0,0,0,0,0
"6-17 Prunella_vulgaris",0,0,0,1,0,0,0,0,0,0
"6-6 Prunella_vulgaris",0,0,0,0,0,0,1,0,0,0
"7-18 Prunella_vulgaris",0,0,0,1,0,0,0,0,0,0
"7-6 Prunella_vulgaris",0,0,0,0,2,0,0,0,0,0
"8-19 Prunella_vulgaris",0,0,0,2,0,0,0,0,0,0
"8-6 Prunella_vulgaris",0,0,1,0,0,0,0,0,0,0
