"","Bombus_pascuorum_439","Bombus_pascuorum_440","Bombus_pascuorum_443","Bombus_pascuorum_444","Bombus_pascuorum_446","Bombus_pascuorum_456","Bombus_pratorum_433","Eristalis_sp_427","Eupeodes_corollae_442"
"0-23 Trifolium_pratense",0,0,0,1,0,0,0,0,0
"13-10 Trifolium_pratense",0,0,0,0,0,4,0,0,0
"17-19 Trifolium_pratense",0,0,1,0,0,0,0,0,0
"17-24 Trifolium_pratense",0,0,3,0,0,0,0,0,0
"2-14 Trifolium_pratense",1,0,0,0,0,0,0,0,0
"2-21 Trifolium_pratense",0,0,0,2,2,0,0,0,0
"22-22 Trifolium_pratense",0,0,1,0,0,0,5,0,1
"22-23 Trifolium_pratense",0,0,2,0,0,0,0,0,0
"4-16 Trifolium_pratense",2,0,0,0,0,0,0,0,0
"5-16 Trifolium_pratense",2,0,0,0,0,0,0,0,0
"5-17 Trifolium_pratense",2,0,0,0,0,0,0,0,0
"7-23 Trifolium_pratense",0,1,0,0,0,0,0,1,0
"9-7 Trifolium_pratense",0,0,0,0,0,1,0,0,0
