"","Abeja_culo_rayas_436","Andrena_wikella_414","Apis_mellifera_330","Apis_mellifera_332","Apis_mellifera_335","Apis_mellifera_400","Apis_mellifera_408","Apis_mellifera_416","Apis_mellifera_422","Apis_mellifera_441","Apis_mellifera_451","Apis_mellifera_455","Bombus_lapidarius_410","Bombus_pascuorum_439","Bombus_pascuorum_443","S136_454"
"10-3 Trifolium_repens",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"15-3 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"15-6 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"16-4 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"17-16 Trifolium_repens",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-4 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"18-10 Trifolium_repens",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18-11 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"18-12 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"18-18 Trifolium_repens",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-2 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"18-21 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"18-3 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"18-4 Trifolium_repens",0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"19-2 Trifolium_repens",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"19-3 Trifolium_repens",0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0
"19-4 Trifolium_repens",0,0,0,0,0,0,2,0,0,4,0,4,0,0,0,0
"2-0 Trifolium_repens",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"20-4 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"3-22 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"4-1 Trifolium_repens",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8-18 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8-19 Trifolium_repens",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8-3 Trifolium_repens",0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
"8-9 Trifolium_repens",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
