"","?=S30_195","Bombus_lapidarius_2","Bombus_lapidarius_3","Bombus_lapidarius_4","Bombus_pratorum_505","Bombus_terrestris_1","Bombus_terrestris_51"
"0-15 Lathyrus_linifolius",0,0,0,0,0,0,1
"0-16 Lathyrus_linifolius",0,0,0,0,2,0,0
"10-7 Lathyrus_linifolius",0,0,1,0,0,0,0
"12-7 Lathyrus_linifolius",0,0,0,1,0,0,0
"12-9 Lathyrus_linifolius",0,0,1,0,0,0,0
"13-9 Lathyrus_linifolius",0,0,2,0,0,0,0
"16-5 Lathyrus_linifolius",0,1,0,0,0,0,0
"17-7 Lathyrus_linifolius",0,1,0,1,0,0,0
"18-7 Lathyrus_linifolius",0,1,0,0,0,0,0
"18-9 Lathyrus_linifolius",0,0,1,0,0,0,0
"19-8 Lathyrus_linifolius",0,0,1,0,0,0,0
"19-9 Lathyrus_linifolius",0,1,0,0,0,0,0
"20-10 Lathyrus_linifolius",0,0,1,0,0,0,0
"20-7 Lathyrus_linifolius",0,1,0,0,0,0,0
"20-8 Lathyrus_linifolius",0,1,0,0,0,0,0
"24-14 Lathyrus_linifolius",0,0,0,1,0,0,0
"24-24 Lathyrus_linifolius",0,0,0,0,0,1,0
"3-13 Lathyrus_linifolius",0,0,0,0,0,0,1
"4-6 Lathyrus_linifolius",0,0,1,0,0,0,0
"5-18 Lathyrus_linifolius",1,0,0,0,0,0,0
