"","?=S30_185","Abeja_culo_rayas_468","Abeja_culo_rayas_480","Bombus_pratorum_497","Seladonia_confusa_181","Sphaerophoria_scripta_190","Sphaerophoria_scripta_470","Sphaerophoria_scripta_473","Sphaerophoria_scripta_474","Sphaerophoria_scripta_479","Sphaerophoria_scripta_486","Sphaerophoria_scripta_493","Sphaerophoria_scripta_499","Sphaerophoria_scripta_507"
"15-11 Thymus_praecox",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"15-8 Thymus_praecox",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"16-13 Thymus_praecox",0,0,3,0,0,0,0,0,0,1,0,0,0,0
"16-9 Thymus_praecox",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"18-2 Thymus_praecox",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-8 Thymus_praecox",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"19-11 Thymus_praecox",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"20-2 Thymus_praecox",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21-0 Thymus_praecox",0,0,0,0,0,0,0,1,2,0,0,0,0,0
"21-2 Thymus_praecox",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21-21 Thymus_praecox",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"23-0 Thymus_praecox",0,0,0,0,0,0,0,0,0,0,0,0,3,0
"24-20 Thymus_praecox",0,0,0,0,0,0,0,0,0,0,0,2,0,0
