"","?=S120_389","Lasioglossum_calceatum_391","Lasioglossum_calceatum_392","Lasioglossum_calceatum_393","Lasioglossum_calceatum_394","Mosquita_punto_4_553","Mosquita_punto_4_555","Mosquita_punto_4_558","Mosquita_punto_4_559","S120_386","S22_140","Seladonia_confusa_122","Sphaerophoria_scripta_123","Sphaerophoria_scripta_124","Sphaerophoria_scripta_125","Sphaerophoria_scripta_126","Sphaerophoria_scripta_127","Sphaerophoria_scripta_128","Sphaerophoria_scripta_129","Sphaerophoria_scripta_130","Sphaerophoria_scripta_131","Sphaerophoria_scripta_132","Sphaerophoria_scripta_133","Sphaerophoria_scripta_134","Sphaerophoria_scripta_135","Sphaerophoria_scripta_136","Sphaerophoria_scripta_137","Sphaerophoria_scripta_139","Sphaerophoria_scripta_141","Sphaerophoria_scripta_142","Sphaerophoria_scripta_143","Sphaerophoria_scripta_322","Sphaerophoria_scripta_385","Sphaerophoria_scripta_395","Sphaerophoria_scripta_554","Sphaerophoria_scripta_557","Tachinidae_388"
"0-6 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10-5 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"12-20 Potentilla_erecta",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-3 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"12-7 Potentilla_erecta",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-20 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-7 Potentilla_erecta",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"14-20 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-21 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-4 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"14-7 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"16-4 Potentilla_erecta",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-21 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
