"","Apis_mellifera_512","Apis_mellifera_513","Bombus_hortorum_514","Bombus_hortorum_516","Bombus_hortorum_519","Bombus_hortorum_520","Bombus_ruderatus_353","Nimphalidae_348"
"0-18 Erica_cinerea",0,0,0,0,0,1,0,0
"1-5 Erica_cinerea",0,0,0,0,0,0,1,0
"10-4 Erica_cinerea",0,0,0,0,0,0,0,1
"12-0 Erica_cinerea",4,0,0,0,0,0,0,0
"13-0 Erica_cinerea",1,0,0,0,0,0,0,0
"15-21 Erica_cinerea",0,0,3,0,0,0,0,0
"2-5 Erica_cinerea",0,0,0,0,0,0,1,0
"2-6 Erica_cinerea",0,0,0,0,0,0,1,0
"24-15 Erica_cinerea",0,0,0,0,3,0,0,0
"4-4 Erica_cinerea",0,1,0,1,0,6,0,0
"4-5 Erica_cinerea",0,0,0,0,0,2,0,0
"4-8 Erica_cinerea",0,0,0,3,0,0,0,0
"5-4 Erica_cinerea",0,2,0,1,0,4,0,0
"9-0 Erica_cinerea",0,0,0,0,0,2,0,0
